"Reservoir","Site","Site_description","Latitude","Longitude"
"BVR",40,"Pelagic site in Beaverdam Reservoir at the location of the upstream pipe outflow leading to Falling Creek Reservoir",37.314783,-79.820864
"BVR",50,"Deep hole or site nearest to dam",37.31288,-79.8159
"CCR",7,"Carvins Creek Stream cove",37.4056,-79.9741
"CCR",8,"Sawmill Branch cove",37.4071,-79.9681
"CCR",10,"Upstream site near two cove confluence",37.40417,-79.96814
"CCR",20,"Mid reservoir near Angel Branch cove",37.39677,-79.95061
"CCR",21,"Angel Branch Cove",37.3978,-79.9488
"CCR",30,"Mid reservoir site",37.38369,-79.95029
"CCR",50,"Deepest site of reservoir near dam",37.3706,-79.9582
"FCR",10,"Upstream pelagic site at deepest point of transect across the reservoir",37.308619,-79.836774
"FCR",20,"Upstream pelagic site at deepest point of transect across the reservoir",37.30769,-79.8371
"FCR",30,"Upstream pelagic site at deepest point of transect across the reservoir",37.30534,-79.8383
"FCR",40,"Upstream pelagic site at deepest point of transect across the reservoir",37.3045477861234,-79.8384818899407
"FCR",45,"Upstream pelagic site at deepest point of transect across the reservoir",37.30418,-79.8383
"FCR",47,"Upstream pelagic site at deepest point of transect across eastern cove of reservoir",37.3036559790386,-79.837237344957
"FCR",50,"Deep hole or site nearest to dam",37.30325,-79.8373
"GWR",50,"Deep hole or site nearest to dam",37.0443528070071,-80.8632991493157
"SHR",50,"Deep hole or site nearest to dam",37.2308522269357,-80.1759001355518
