"Reservoir","Site","DateTime","Depth_m","Temp_C","DO_mgL","DOSat","Cond_uScm","PAR_umolm2s","ORP_mV","pH","Flag_DateTime","Flag_Temp","Flag_DO","Flag_DOSat","Flag_Cond","Flag_PAR","Flag_ORP","Flag_pH"
"BVR",50,2019-04-08 12:25:00,0.1,"14.4",11.72,113.6,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-08 12:25:00,1,"13.8",11.87,114.2,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-08 12:25:00,2,"13",11.94,112.5,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-08 12:25:00,3,"12.2",12.04,111.2,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-08 12:25:00,4,"10.4",12.42,110,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-08 12:25:00,5,"9.9",12.22,107.4,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-08 12:25:00,6,"9.3",11.96,103.2,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-08 12:25:00,7,"8.8",11.66,98.7,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-08 12:25:00,8,"8.1",10.53,88.4,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-08 12:25:00,9,"7.9",9.84,82.5,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-08 12:25:00,10,"7.7",9.67,80.1,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-08 12:25:00,11,"7.7",9.21,76.4,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-29 13:42:00,0.1,"16.5",10.56,106.5,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-29 13:42:00,1,"16.1",10.76,107.7,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-29 13:42:00,2,"15.8",10.82,107.4,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-29 13:42:00,3,"15.4",10.87,106.8,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-29 13:42:00,4,"14.3",11.02,104.5,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-29 13:42:00,5,"13.5",11.1,105,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-29 13:42:00,6,"11.6",11.45,103,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-29 13:42:00,7,"10.2",10.3,89.6,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-29 13:42:00,8,"9.3",6.8,57.7,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-29 13:52:00,9,"8.5",4.53,37.6,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-29 13:52:00,10,"8.3",3.88,32.7,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-04-29 13:52:00,11,"8.2",3.73,31.3,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-05-16 12:21:00,0.1,"19.6",9.18,98.2,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-05-16 12:22:00,1,"19.4",9.12,98.5,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
"BVR",50,2019-05-16 12:23:00,2,"19.2",9.13,98.6,"NA","NA","NA","NA",NA,0,0,0,1,1,1,1
