Reservoir,Site,DateTime,Depth_m,SpCond_uS
FCR,F20,4/29/19,0.1,30.39222725
FCR,F30,4/29/19,0.1,30.49216256
FCR,F45,4/29/19,0.1,30.5
FCR,F50,4/29/19,0.1,30.6
FCR,F200,4/29/19,0.1,40.5
FCR,F99,4/29/19,0.1,24.8
FCR,F100,4/29/19,0.1,24.2
FCR,F101,4/29/19,0.1,24.9
FCR,F102,4/29/19,0.1,24.5
FCR,F01,4/29/19,0.1,30.7
FCR,F45,5/30/19,0.1,33.3
FCR,F30,5/30/19,0.1,33.3
FCR,F20,5/30/19,0.1,33.3
FCR,F01,5/30/19,0.1,57.6
FCR,F50,5/30/19,0.1,33.2
FCR,F99,5/30/19,0.1,29.8
FCR,F200,5/30/19,0.1,46
FCR,F100,5/30/19,0.1,29.6
FCR,F101,5/30/19,0.1,28.6
FCR,F102,5/30/19,0.1,27.4
BVR,B50,4/29/19,0.1,24
BVR,B45,4/29/19,0.1,24.1
BVR,B01,4/29/19,0.1,24.1
BVR,B20,4/29/19,0.1,24
BVR,B100,4/29/19,0.1,30.6
BVR,B30,4/29/19,0.1,24.3
BVR,B200,4/29/19,0.1,26.1
BVR,B50,5/30/19,0.1,25.3
BVR,B45,5/30/19,0.1,25.7
BVR,B01,5/30/19,0.1,25.7
BVR,B20,5/30/19,0.1,26.2
BVR,B100,5/30/19,0.1,37.4
BVR,B30,5/30/19,0.1,30.6
BVR,B200,5/30/19,0.1,30.5
BVR,B45,6/27/19,0.1,26.4
BVR,B01,6/27/19,0.1,26.5
BVR,B20,6/27/19,0.1,26.4
BVR,B100,6/27/19,0.1,36.7
BVR,B30,6/27/19,0.1,27
BVR,B200,6/27/19,0.1,31.1
FCR,F01,6/27/19,0.1,57.5
FCR,F30,6/27/19,0.1,34.7
FCR,F100,6/27/19,0.1,31.2
FCR,F200,6/27/19,0.1,47.1
FCR,F101,6/27/19,0.1,31
BVR,B50,7/18/19,0.1,27.7
BVR,B45,7/18/19,0.1,27.6
BVR,B01,7/18/19,0.1,27.7
BVR,B20,7/18/19,0.1,27.8
BVR,B100,7/18/19,0.1,39.2
BVR,B30,7/18/19,0.1,27.8
BVR,B200,7/18/19,0.1,33.6
FCR,F20,7/18/19,0.1,36.4
FCR,F30,7/18/19,0.1,36.6
FCR,F45,7/18/19,0.1,36.5
FCR,F01,7/18/19,0.1,79.4
FCR,F200,7/18/19,0.1,56.5
FCR,F99,7/18/19,0.1,36.5
FCR,F100,7/18/19,0.1,35.9
FCR,F101,7/18/19,0.1,35.4
FCR,F102,7/18/19,0.1,47.6
FCR,F45,6/27/19,0.1,34.7
FCR,F20,6/27/19,0.1,35
FCR,F99,6/27/19,0.1,31.5
FCR,F100,6/27/19,0.1,31.2
FCR,F200,6/27/19,0.1,47.1
FCR,F102,6/27/19,0.1,29.5
FCR,F45,9/20/19,0.1,38.3
FCR,F30,9/20/19,0.1,39.2
FCR,F20,9/20/19,0.1,39
FCR,F50,9/20/19,0.1,38.8
FCR,F200,10/4/19,0.1,50.6
FCR,F20,10/4/19,0.1,40.5
FCR,F30,10/4/19,0.1,40.2
FCR,F45,10/4/19,0.1,40.8
FCR,F01,10/4/19,0.1,150
FCR,F99,10/4/19,0.1,42.5
FCR,F100,10/4/19,0.1,42.2
FCR,F101,10/4/19,0.1,41.6
FCR,F102,10/4/19,0.1,50.1
FCR,F01,8/22/19,0.1,89.3
FCR,F50,8/22/19,0.1,38.7
FCR,F45,8/22/19,0.1,39.1
FCR,F30,8/22/19,0.1,38.7
FCR,F20,8/22/19,0.1,39.3
FCR,F200,8/22/19,0.1,50.3
FCR,F99,8/22/19,0.1,38.6
FCR,F100,8/22/19,0.1,37.9
FCR,F101,8/22/19,0.1,37.4
FCR,F102,8/22/19,0.1,41.4
BVR,B100,6/22/19,0.1,35.4
BVR,B200,6/20/19,0.1,29.9
BVR,B45,9/20/19,0.1,NA
BVR,B01,9/21/19,0.1,NA
BVR,B20,9/22/19,0.1,NA
BVR,B30,9/23/19,0.1,NA
BVR,B45,8/22/19,0.1,27.3
BVR,B01,8/22/19,0.1,27.4
BVR,B20,8/22/19,0.1,27.4
BVR,B100,8/22/19,0.1,39.5
BVR,B30,8/22/19,0.1,27.4
BVR,B200,8/22/19,0.1,33.9
BVR,B50,8/22/19,0.1,30
BVR,B45,10/4/19,0.1,28.5
BVR,B01,10/4/19,0.1,28.4
BVR,B20,10/4/19,0.1,28.7
BVR,B100,10/4/19,0.1,43.5
BVR,B30,10/4/19,0.1,28.9
BVR,B200,10/4/19,0.1,42.3
BVR,B50,10/4/19,0.1,28.6
