attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	"Three-letter code corresponding to sampled reservoir, FCR=Falling Creek Reservoir"	categorical	dimensionless		NA	value is missing
Site	"Sampling site within each reservoir, 50=Deepest part of the reservoir "	numeric	dimensionless		NA	value is missing
Station	Code corresponding to data set nickname;CAT=sensors deployed off the Catwalk 	categorical	dimensionless		NA	value is missing
DateTime_start	"Date and time maintenance began. All data were collected in the GMT -5 time zone (Eastern Standard Time), No time zone shifts were observed throughout the dataset."	Date		YYYY-MM-DD hh:mm:ss	NA	value is missing
DateTime_end	"Date and time maintenance ended. All data were collected in the GMT -5 time zone (Eastern Standard Time), No time zone shifts were observed throughout the dataset."	Date		YYYY-MM-DD hh:mm:ss	NA	value is missing
Parameter	Name of variable corresponding to meteorological data table names	categorical			NA	value is missing
ColumnNumber	Column number associated with parameters in the raw file during QAQC	categorical	dimensionless		NA	value is missing
Flag	Data flag applied to associated variable	categorical	dimensionless		NA	value is missing
FlagColumn	Column number associated with  the Flag column for the parameter in raw file during QAQC	categorical	dimensionless		NA	value is missing
Notes	Additional information describing Flag for associated variable	character			NA	No note recorded
