"Reservoir","Date","Site","Duration_days","Depth_m","CombinedXSA_m2","Filter1ID","Filter2ID","CombinedCollectionVol_L","CombinedFilterVol_L","CombinedSedMass_g","ICPTLi_mgL","ICPTNa_mgL","ICPTMg_mgL","ICPTAl_mgL","ICPTSi_mgL","ICPTK_mgL","ICPTCa_mgL","ICPTFe_mgL","ICPTMn_mgL","ICPTCu_mgL","ICPTSr_mgL","ICPTBa_mgL","AcidVol_L","DilutionFactor","TLi_g","TNa_g","TMg_g","TAl_g","TSi_g","TK_g","TCa_g","TFe_g","TMn_g","TCu_g","TSr_g","TBa_g","TLiFlux_gm2d","TNaFlux_gm2d","TMgFlux_gm2d","TAlFlux_gm2d","TSiFlux_gm2d","TKFlux_gm2d","TCaFlux_gm2d","TFeFlux_gm2d","TMnFlux_gm2d","TCuFlux_gm2d","TSrFlux_gm2d","TBaFlux_gm2d","TOC_g","TN_g","TOCFlux_gm2d","TNFlux_gm2d","Flag_Filter2ID","Flag_CombinedCollectionVol_L","Flag_CombinedSedMass_g","Flag_TOC_g","Flag_TN_g","Flag_ICPTLi_mgL","Flag_ICPTNa_mgL","Flag_ICPTMg_mgL","Flag_ICPTAl_mgL","Flag_ICPTSi_mgL","Flag_ICPTK_mgL","Flag_ICPTCa_mgL","Flag_ICPTFe_mgL","Flag_ICPTMn_mgL","Flag_ICPTCu_mgL","Flag_ICPTSr_mgL","Flag_ICPTBa_mgL","Flag_Duration_days"
"FCR",2018-05-21,50,14,4,0.008143,"F_sed_4m_R1_F2_21May18","F_sed_4m_R2_F5_21May18",3.4,0.399,0.02371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0267398496240601,0.0161989974937343,0.234555969404573,0.142093976366505,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"FCR",2018-05-21,50,14,4,0.008143,"F_Sed_4m_R1_F1_21May18","F_Sed_4m_R2_F4_21May18",3.4,0.397,0.02341,NA,0.64910757228429,0.425753212540183,7.22855469307607,0.178311845134508,0.467563136430151,2.95987176453052,8.32920907331407,0.607973431667262,0.0491244270310153,0.0202966095247649,0.0895755533243538,0.01,20,NA,0.00111182153439123,0.000729249835081422,0.0123814035045132,0.000305420792673716,0.000800863810510082,0.00506980554126134,0.0142666553396815,0.0010413650718734,8.41425954183637e-05,3.47649734933001e-05,0.0001534291593465,NA,0.00975264937800413,0.00639681615306242,0.108606897287005,0.00267908275884385,0.0070249978992481,0.0444711982356568,0.125143903963804,0.00913462107571267,0.000738079993494533,0.000304950557826179,0.00134584620749198,NA,NA,NA,NA,1,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2
"FCR",2018-05-28,50,14,8,0.008143,"F_sed_8m_R2_F4_28May18","F_sed_8m_R1_F2_28May18",3.4,0.298,0.01408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0219767785234899,0.0201832214765101,0.192775376953825,0.177042696413309,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"FCR",2018-05-28,50,14,8,0.008143,"F_Sed_8m_R1_F1_28May18","F_Sed_8m_R2_F3_28May18",3.4,0.3,0.01534,NA,0.538183905553627,0.285083186872547,3.62256038573993,0.0873982228115549,0.306581637285261,1.33036476619186,7.07625194351406,0.846134472770279,0.0322880490880566,0.00936872417179308,0.0591245048496367,0.01,20,NA,0.00121988351925489,0.000646188556911107,0.00821113687434384,0.000198102638372858,0.000694918377846592,0.00301549347003488,0.0160395044052985,0.00191790480494597,7.3186244599595e-05,2.12357747893977e-05,0.000134015544325843,NA,0.010700544896185,0.00566822123218107,0.0720262528231421,0.00173771195569251,0.00609566830271918,0.026451233048849,0.140694938731764,0.0168234312112592,0.000641973339060674,0.000186275458232291,0.00117555432646658,NA,NA,NA,NA,1,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"FCR",2018-06-04,50,14,4,0.008143,"F_sed_4m_R2_F4_04Jun18","F_sed_4m_R1_F2_04Jun18",3.4,0.2,0.02649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0523056,0.0300322,0.458813003280644,0.263435729197733,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"FCR",2018-06-04,50,14,4,0.008143,"F_Sed_4m_R1_F1_04Jun18","F_Sed_4m_R2_F3_04Jun18",3.4,0.201,0.02344,NA,0.423140901559039,0.298036146447892,3.95631108425798,0.0915850454170276,0.29317090207003,1.15210376744815,9.0003643070033,0.876630488195865,0.0343993891230733,0.00900818857913375,0.0716269411339964,0.01,20,NA,0.00143152145801068,0.00100828149047048,0.01338453501142,0.00030983995464467,0.000991821957251843,0.00389766448688926,0.030448993675434,0.00296571508444372,0.000116376042804427,3.04754638498057e-05,0.000242319999856306,NA,0.0125569854740327,0.00884441931256013,0.117406142097683,0.00271784665746803,0.00870003997519204,0.0341894395439489,0.267091749929247,0.0260145882040992,0.00102082457153758,0.000267323940367763,0.00212557674300719,NA,NA,NA,NA,1,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"FCR",2018-06-11,50,14,8,0.008143,"F_sed_8m_R1_F2_11Jun18","F_sed_8m_R2_F4_11Jun18",3.4,0.202,0.0173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0474821782178218,0.0227362376237624,0.416503028173381,0.199437182012266,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"FCR",2018-06-11,50,14,8,0.008143,"F_Sed_8m_R1_F1_11Jun18","F_Sed_8m_R2_F3_11Jun18",3.4,0.199,0.01771,NA,0.503384421020209,0.211148427189296,3.06250011056779,0.137172796375163,0.279761571606971,1.21192736569908,11.5113161588777,1.0013634132083,0.0413948538345314,0.00849313750437806,0.0601206569811828,0.01,20,NA,0.00172010756931529,0.000721512213511162,0.0104648244984226,0.000468731163493019,0.000955969189410755,0.00414125934007726,0.0393351506936524,0.00342174432654092,0.000141449751796389,2.90217763968698e-05,0.000205437420840223,NA,0.0150883981799906,0.00632894347038791,0.0917950956862388,0.0041116047393293,0.00838554752908506,0.0363261990147301,0.345039128205228,0.0300147745350163,0.00124076552864326,0.000254572519752897,0.00180205102401908,NA,NA,NA,NA,1,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"FCR",2018-06-25,50,14,8,0.008143,"F_sed_8m_R2_F8_25Jun18","F_sed_8m_R1_F6_25Jun18",3.4,0.159,0.00985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0409710691823899,0.0397735849056604,0.359389038634322,0.348884974874655,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"FCR",2018-06-25,50,21,4,0.008143,"F_sed_4m_R2_F4_25Jun18","F_sed_4m_R1_F2_25Jun18",3.4,0.173,0.00667999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0318263583815029,0.0168270520231214,0.186115789673298,0.0984020866483125,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
