"Reservoir","DateTime","Site","Duration_days","Depth_m","TrapXSA_m2","Filter1ID","Filter2ID","CombinedCollectionVol_L","CombinedFilterVol_L","CombinedSedMass_g","ICPTFe_mgL","ICPTMn_mgL","AcidVol_L","DilutionFactor","TFe_g","TMn_g","TOC_g","TN_g","TOCFlux_gm2d","TNFlux_gm2d"
"BVR",2022-05-31,50,14,8,NA,"B_sed_8m_R1_F3_31May22","B_sed_8m_R2_F3_31May22",3622,156,0.013,NA,NA,NA,NA,NA,NA,0.0588064205128205,0.0545761102564103,0.515836744204668,0.478729410505169
"BVR",2022-05-31,50,14,4,NA,"B_sed_4m_R1_F3_31May22","B_sed_4m_R2_F3_31May22",3612,278,0.014,NA,NA,NA,NA,NA,NA,0.0425514388489209,0.0213341870503597,0.373251687241635,0.187138708534585
"FCR",2022-05-31,50,14,8,NA,"F_sed_8m_R1_F3_31May22","F_sed_8m_R2_F3_31May22",3419,164,0.018,NA,NA,NA,NA,NA,NA,0.0729372768292683,0.0441551341463415,0.639789449564642,0.387318943056626
"FCR",2022-05-31,50,14,4,0.0040715,"F_sed_4m_R1_F1_31May22","F_sed_4m_R1_F2_31May22",3498,282,0.01,4.06209661759256,0.573990842036099,0.01,20,0.0100774567151339,0.00142398579109381,NA,NA,NA,NA
"FCR",2022-05-31,50,14,4,0.0040715,"F_sed_4m_R2_F1_31May22","F_sed_4m_R2_F2_31May22",3550,277,0.00900000000000001,4.98791728609623,0.670934283765874,0.01,20,0.0127849143434235,0.00171972325441794,NA,NA,NA,NA
"FCR",2022-05-31,50,14,8,0.0040715,"F_sed_8m_R1_F1_31May22","F_sed_8m_R1_F2_31May22",3510,164,0.016,5.09690451464216,0.438806414489825,0.01,20,0.0218172376175537,0.00187830550592596,NA,NA,NA,NA
"FCR",2022-05-31,50,14,8,0.0040715,"F_sed_8m_R2_F1_31May22","F_sed_8m_R2_F2_31May22",3328,161,0.014,8.28892281171584,0.627210130889377,0.01,20,0.0342677454874414,0.00259298796968925,NA,NA,NA,NA
"BVR",2022-05-31,50,14,4,0.0040715,"B_sed_4m_R1_F1_31May22","B_sed_4m_R1_F2_31May22",3598,282,0.016,4.46396940793963,0.935973516372932,0.01,20,0.0113910368296218,0.00238839199426228,NA,NA,NA,NA
"BVR",2022-05-31,50,14,4,0.0040715,"B_sed_4m_R2_F1_31May22","B_sed_4m_R2_F2_31May22",3626,279,0.00800000000000001,4.17083265109635,0.860395278134232,0.01,20,0.0108411750486562,0.0022364109523403,NA,NA,NA,NA
"BVR",2022-05-31,50,14,8,0.0040715,"B_sed_8m_R1_F1_31May22","B_sed_8m_R1_F2_31May22",3610,161,0.013,8.518905970084,0.116368999420676,0.01,20,0.0382027957167742,0.000521853525352349,NA,NA,NA,NA
"BVR",2022-05-31,50,14,8,0.0040715,"B_sed_8m_R2_F1_31May22","B_sed_8m_R2_F2_31May22",3634,160,0.018,9.22633035504002,0.12297231759783,0.01,20,0.0419106056377693,0.000558601752688141,NA,NA,NA,NA
"BVR",2022-06-13,50,13,4,NA,"B_sed_4m_R1_F3_13Jun22","B_sed_4m_R2_F3_13Jun22",3493,277,0.017,NA,NA,NA,NA,NA,NA,0.0325946079422383,0.0224459927797834,0.307905874250071,0.212036697680721
"FCR",2022-06-13,50,13,8,NA,"F_sed_8m_R1_F3_13Jun22","F_sed_8m_R2_F3_13Jun22",3555,161,0.006,NA,NA,NA,NA,NA,NA,0.137889838509317,0.0549015652173913,1.30258021055665,0.518629169153226
"FCR",2022-06-13,50,13,4,NA,"F_sed_4m_R1_F3_13Jun22","F_sed_4m_R2_F3_13Jun22",3638,278,0.033,NA,NA,NA,NA,NA,NA,0.0214903726618705,0.0119582892086331,0.203009405547667,0.112964312988344
"BVR",2022-06-13,50,13,8,NA,"B_sed_8m_R1_F3_13Jun22","B_sed_8m_R2_F3_13Jun22",3554,168,0.014,NA,NA,NA,NA,NA,NA,0.0545200523809524,0.0411248571428572,0.515025197488663,0.388487111562145
"FCR",2022-06-13,50,13,4,0.0040715,"F_sed_4m_R1_F1_13Jun22","F_sed_4m_R1_F2_13Jun22",3646,282,0.028,7.27643000441951,1.58988403860858,0.01,20,0.0188155062383784,0.00411114695373538,NA,NA,NA,NA
"FCR",2022-06-13,50,13,4,0.0040715,"F_sed_4m_R2_F1_13Jun22","F_sed_4m_R2_F2_13Jun22",3630,286,0.034,6.20735293590343,0.560434109838307,0.01,20,0.0157571266834472,0.00142264043266647,NA,NA,NA,NA
"FCR",2022-06-13,50,13,8,0.0040715,"F_sed_8m_R1_F1_13Jun22","F_sed_8m_R1_F2_13Jun22",3542,161,0.00600000000000001,10.2789659521994,0.119328898873557,0.01,20,0.0452274501896774,0.000525047155043651,NA,NA,NA,NA
"FCR",2022-06-13,50,13,8,0.0040715,"F_sed_8m_R2_F1_13Jun22","F_sed_8m_R2_F2_13Jun22",3568,159,0.00600000000000001,12.6171336677755,0.159984306860854,0.01,20,0.0566263307253118,0.000718017618716384,NA,NA,NA,NA
"BVR",2022-06-13,50,13,4,0.0040715,"B_sed_4m_R1_F1_13Jun22","B_sed_4m_R1_F2_13Jun22",3402,282,0.019,9.67614574171717,1.22954522321533,0.01,20,0.0233462750449091,0.00296660485771528,NA,NA,NA,NA
"BVR",2022-06-13,50,13,4,0.0040715,"B_sed_4m_R2_F1_13Jun22","B_sed_4m_R2_F2_13Jun22",3584,284,0.018,8.02196711540344,1.04598964123705,0.01,20,0.020246993057469,0.00264001892548844,NA,NA,NA,NA
"BVR",2022-06-13,50,13,8,0.0040715,"B_sed_8m_R1_F1_13Jun22","B_sed_8m_R1_F2_13Jun22",3500,166,0.013,9.51975850294632,0.149208337935619,0.01,20,0.0401435599521833,0.000629191786475503,NA,NA,NA,NA
"BVR",2022-06-13,50,13,8,0.0040715,"B_sed_8m_R2_F1_13Jun22","B_sed_8m_R2_F2_13Jun22",3608,166,0.012,9.74221754957994,0.123883224255797,0.01,20,0.042349302311909,0.000538518883270982,NA,NA,NA,NA
"FCR",2022-06-27,50,14,8,NA,"F_sed_8m_R1_F3_27Jun22","F_sed_8m_R2_F3_27Jun22",3487,164,0.019,NA,NA,NA,NA,NA,NA,0.0790315792682927,0.0319528268292683,0.693247305032304,0.280283037396434
"FCR",2022-06-27,50,14,4,NA,"F_sed_4m_R1_F3_27Jun22","F_sed_4m_R2_F3_27Jun22",3614,277,0.009,NA,NA,NA,NA,NA,NA,0.0352632462093863,0.028601483032491,0.309321294445591,0.250885800534122
"BVR",2022-06-27,50,14,8,NA,"B_sed_8m_R1_F3_27Jun22","B_sed_8m_R2_F3_27Jun22",3544,161,0.038,NA,NA,NA,NA,NA,NA,0.0826346335403727,0.0494883279503106,0.72485248978415,0.434100524116336
"BVR",2022-06-27,50,14,4,NA,"B_sed_4m_R1_F3_27Jun22","B_sed_4m_R2_F3_27Jun22",3601,283,0.065,NA,NA,NA,NA,NA,NA,0.0813876897526502,0.0271105674911661,0.71391457827626,0.237807823469466
"FCR",2022-06-27,50,14,4,0.0040715,"F_sed_4m_R1_F1_27Jun22","F_sed_4m_R1_F2_27Jun22",3594,280,0.00900000000000001,7.28257530374901,0.239267824056447,0.01,20,0.0186954111726243,0.000614234685470622,NA,NA,NA,NA
"FCR",2022-06-27,50,14,4,0.0040715,"F_sed_4m_R2_F1_27Jun22","F_sed_4m_R2_F2_27Jun22",3634,276,0.01,6.3685627836169,0.173863582864737,0.01,20,0.0167705486635245,0.000457840768210474,NA,NA,NA,NA
"FCR",2022-06-27,50,14,8,0.0040715,"F_sed_8m_R1_F1_27Jun22","F_sed_8m_R1_F2_27Jun22",3634,156,0.019,26.171165839712,0.932417472099507,0.01,20,0.121930790591684,0.00434410909437129,NA,NA,NA,NA
"FCR",2022-06-27,50,14,8,0.0040715,"F_sed_8m_R2_F1_27Jun22","F_sed_8m_R2_F2_27Jun22",3340,158,0.02,22.5124849585108,1.03419291723592,0.01,20,0.0951793667866152,0.00437241056147847,NA,NA,NA,NA
"BVR",2022-06-27,50,14,4,0.0040715,"B_sed_4m_R1_F1_27Jun22","B_sed_4m_R1_F2_27Jun22",3568,282,0.072,22.8226178239535,1.04209241194945,0.01,20,0.0577525534722454,0.00263701115307492,NA,NA,NA,NA
"BVR",2022-06-27,50,14,4,0.0040715,"B_sed_4m_R2_F1_27Jun22","B_sed_4m_R2_F2_27Jun22",3634,277,0.055,17.3629296652266,0.635141352088192,0.01,20,0.0455573187028399,0.00166650084728411,NA,NA,NA,NA
"BVR",2022-06-27,50,14,8,0.0040715,"B_sed_8m_R1_F1_27Jun22","B_sed_8m_R1_F2_27Jun22",3550,166,0.04,20.5293747425891,0.26949122125057,0.01,20,0.0878063618508331,0.00115264317522834,NA,NA,NA,NA
"BVR",2022-06-27,50,14,8,0.0040715,"B_sed_8m_R2_F1_27Jun22","B_sed_8m_R2_F2_27Jun22",3538,155,0.04,20.453433762839,0.271983066004444,0.01,20,0.0933732240682895,0.00124164656454674,NA,NA,NA,NA
"BVR",2022-07-11,50,14,8,NA,"B_sed_8m_R1_F3_11Jul22","B_sed_8m_R2_F3_11Jul22",3140,160,0.027,NA,NA,NA,NA,NA,NA,0.069162425,0.0410398,0.606677295135173,0.359991929966141
"BVR",2022-07-11,50,14,4,NA,"B_sed_4m_R1_F3_11Jul22","B_sed_4m_R2_F3_11Jul22",3316,280,0.027,NA,NA,NA,NA,NA,NA,0.0432666942857143,0.0151280657142857,0.379525747668587,0.132700002756844
"FCR",2022-07-11,50,14,8,NA,"F_sed_8m_R1_F3_11Jul22","F_sed_8m_R2_F3_11Jul22",3422,154,0.028,NA,NA,NA,NA,NA,NA,0.0917229324675325,0.0469880597402597,0.804573011592187,0.412168731603478
"FCR",2022-07-11,50,14,4,NA,"F_sed_4m_R1_F3_11Jul22","F_sed_4m_R2_F3_11Jul22",3341,276,0.008,NA,NA,NA,NA,NA,NA,0.0251591826086956,0.0261493775362319,0.220690712519918,0.229376480555007
"FCR",2022-07-11,50,14,4,0.0040715,"F_sed_4m_R1_F1_11Jul22","F_sed_4m_R1_F2_11Jul22",3420,280,0.00800000000000001,5.26461061536281,0.0817936778890629,0.01,20,0.0128606916461006,0.000199810270271854,NA,NA,NA,NA
"FCR",2022-07-11,50,14,4,0.0040715,"F_sed_4m_R2_F1_11Jul22","F_sed_4m_R2_F2_11Jul22",3262,288,0.00800000000000001,5.48403905646467,0.121519923280189,0.01,20,0.0124228718070748,0.000275276381763872,NA,NA,NA,NA
"FCR",2022-07-11,50,14,8,0.0040715,"F_sed_8m_R1_F1_11Jul22","F_sed_8m_R1_F2_11Jul22",3324,164,0.032,50.6509326395005,0.98525600630496,0.01,20,0.205321585480122,0.0039938914206801,NA,NA,NA,NA
"FCR",2022-07-11,50,14,8,0.0040715,"F_sed_8m_R2_F1_11Jul22","F_sed_8m_R2_F2_11Jul22",3520,158,0.029,44.6225727816367,0.978336754233894,0.01,20,0.198824628090331,0.0043591713606371,NA,NA,NA,NA
"BVR",2022-07-11,50,14,4,0.0040715,"B_sed_4m_R1_F1_11Jul22","B_sed_4m_R1_F2_11Jul22",3268,278,0.025,7.61240458316756,0.732000118143499,0.01,20,0.0178973655955335,0.00172099020582227,NA,NA,NA,NA
"BVR",2022-07-11,50,14,4,0.0040715,"B_sed_4m_R2_F1_11Jul22","B_sed_4m_R2_F2_11Jul22",3364,282,0.03,9.98454153088264,0.725624783852323,0.01,20,0.0238212749715526,0.00173120693112001,NA,NA,NA,NA
"BVR",2022-07-11,50,14,8,0.0040715,"B_sed_8m_R1_F1_11Jul22","B_sed_8m_R1_F2_11Jul22",3044,164,0.028,26.8552038504818,0.393106637507319,0.01,20,0.0996917567327642,0.00145928854216132,NA,NA,NA,NA
"BVR",2022-07-11,50,14,8,0.0040715,"B_sed_8m_R2_F1_11Jul22","B_sed_8m_R2_F2_11Jul22",3236,156,0.026,22.1900397857784,0.28202074244995,0.01,20,0.0920602163420243,0.00117002451611287,NA,NA,NA,NA
"BVR",2022-07-25,50,14,4,NA,"B_sed_4m_R1_F3_25Jul22","B_sed_4m_R2_F3_25Jul22",3604,284,0.033,NA,NA,NA,NA,NA,NA,0.063247661971831,0.0244919718309859,0.554794319150813,0.214838089077261
"FCR",2022-07-25,50,14,8,NA,"F_sed_8m_R1_F3_25Jul22","F_sed_8m_R2_F3_25Jul22",3617,164,0.04,NA,NA,NA,NA,NA,NA,0.146369403658537,0.05154225,1.2839196124501,0.452117068121612
"BVR",2022-07-25,50,14,8,NA,"B_sed_8m_R1_F3_25Jul22","B_sed_8m_R2_F3_25Jul22",3551,159,0.026,NA,NA,NA,NA,NA,NA,0.0861798666666667,0.0331918,0.755950480400929,0.291151032438027
"FCR",2022-07-25,50,14,4,NA,"F_sed_4m_R1_F3_25Jul22","F_sed_4m_R2_F3_25Jul22",3614,282,0.014,NA,NA,NA,NA,NA,NA,0.0530668482269504,0.0326464666666667,0.465490502157422,0.286367490628819
"FCR",2022-07-25,50,14,4,0.0040715,"F_sed_4m_R1_F1_25Jul22","F_sed_4m_R1_F2_25Jul22",3634,281,0.017,15.07636767866,0.354784760764768,0.01,20,0.0389946762592529,0.000917642576953144,NA,NA,NA,NA
