Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent.Rate..m.s.,Flag,Density_mg_m3
2018-04-20T19:53:23Z,0.1,14.7479,0.4552,0.8311,37.983,30.175773,9.6452,95.08,7.407,238.1048,1452.9,2.5428131056992545,0.041,0,NA
2018-04-20T19:53:23Z,0.3,14.7731,0.4682,1.082,38.835,30.888008,7.9108,78.062,7.411,241.5203,927.46,2.6017823212422826,0.067,0,NA
2018-04-20T19:53:23Z,0.6,14.7668,0.5637,1.0186,39.132,31.126806,8.0811,79.746,7.413,244.5791,657.81,2.6233387724994657,0.037,0,NA
2018-04-20T19:53:23Z,1,14.7933,0.5988,1.1128,39.65,31.558019,8.532,84.24,7.397,250.4174,513.18,2.6584618219871365,0.041,0,NA
2018-04-20T19:53:23Z,1.3,13.5172,1.0528,1.0244,37.92,29.157796,9.023,86.492,7.38,252.7965,537.98,2.619554810346331,0.053,0,NA
2018-04-20T19:53:23Z,1.6,13.1259,1.4313,1.1003,37.574,28.636174,9.7114,92.39,7.363,254.0235,273.23,2.6206353567705762,0.036,0,NA
2018-04-20T19:53:23Z,2,13.0031,1.7897,1.0682,37.153,28.208286,9.7509,92.468,7.342,260.2995,251.62,2.5977433714915774,0.046,0,NA
2018-04-20T19:53:23Z,2.3,12.8302,1.7971,1.0358,37.141,28.085266,9.7408,92.054,7.33,260.3385,166.3,2.6085969497958343,0.046,0,NA
2018-04-20T19:53:23Z,2.6,12.7358,1.9786,1.1239,36.837,27.788066,9.81,92.518,7.303,264.8197,123.19,2.5923114859649776,0.031,0,NA
2018-04-20T19:53:23Z,3,11.9593,2.3038,1.0839,36.725,27.114579,9.8322,91.061,7.277,264.5751,104.48,2.6373954691452806,0.041,0,NA
2018-04-20T19:53:23Z,3.3,9.6456,2.58,1.0785,37.733,26.116759,9.757,85.643,7.216,267.9778,86.864,2.8898996022488146,0.023,0,NA
2018-04-20T19:53:23Z,3.6,9.1157,4.0698,1.0465,37.976,25.83672,9.9659,86.255,7.089,270.9202,63.032,2.952785242543994,0.058,0,NA
2018-04-20T19:53:23Z,4,8.6759,4.4444,0.9942,38.164,25.667293,9.2562,79.363,7.062,270.9531,48.278,3.0050831591690668,0.046,0,NA
2018-04-20T19:53:23Z,4.3,8.2393,5.2549,1.2326,38.308,25.398827,9.1451,77.508,7.01,275.9294,34.476,3.0545141691162803,0.056,0,NA
2018-04-20T19:53:23Z,4.6,7.9164,5.5271,1.3365,38.402,25.282516,8.5857,72.354,6.923,278.1966,24.796,3.090681214863032,0.036,0,NA
2018-04-20T19:53:23Z,5,7.5213,5.815,1.3722,38.457,24.982069,8.2633,68.895,6.895,279.4949,18.909,3.1305227019113673,0.07,0,NA
2018-04-20T19:53:23Z,5.3,7.3639,5.6299,1.2443,38.536,24.934309,8.1927,68.087,6.855,283.2475,15.162,3.1515600079803114,0.058,0,NA
2018-04-20T19:53:23Z,5.6,7.2727,5.1905,1.2883,38.488,24.839831,8.2333,68.287,6.821,283.6884,11.564,3.1556406160943595,0.044,0,NA
2018-04-20T19:53:23Z,6,7.186,4.966,1.4503,38.545,24.815608,8.0957,67.013,6.792,283.32,8.4894,3.1685034260844582,0.039,0,NA
