DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR_umolm2s,DescRate_ms,Flag,Reservoir,Site,SN,CDOM_ugL,Phycoerythrin_ugL,Phycocyanin_ugL
2025-02-10T12:23:34Z,-0.004,6.2386,4.8731,3.0123,24.376168,38.979,10.9346,90.693,7.193,255.0058,216.53,0.013,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.003,6.2396,4.8183,3.121,24.262251,38.804,10.9653,91.313,7.196,255.0473,208.88,0.013,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.006,6.2515,4.8246,3.1465,24.222531,38.752,11.0343,91.789,7.2,254.8808,232.76,0.013,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.007,6.2668,4.9161,3.1148,24.276409,38.842,11.1233,92.094,7.203,254.9712,255.45,0.009,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.008,6.27,5.1091,3.0794,24.279506,38.847,11.2162,92.157,7.207,255.3657,271.57,0.005,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.011,6.2636,5.2351,3.0948,24.196557,38.724,11.2962,91.967,7.211,255.8652,266.19,0.004,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.011,6.2493,5.2664,3.1643,24.224712,38.787,11.3588,91.663,7.215,256.1927,273.64,0.006,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.008,6.2456,5.3039,3.1348,24.302839,38.925,11.4014,91.33,7.218,256.3998,292.39,0.01,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.009,6.2546,5.3643,3.0445,24.316765,38.952,11.4114,90.977,7.22,256.3048,263.88,0.012,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.016,6.2435,5.3972,3.03,24.266263,38.871,11.3784,90.627,7.223,255.9898,226.28,0.013,0,FCR,50,7809,NA,NA,NA
