"Date","Depth_m","Temp_C","Chla_ugL","Turb_NTU","Cond_uScm","Spec_Cond_uScm","DO_mgL","DO_pSat","pH","ORP_mV","PAR","Salinity","Descent.Rate..m.s.","Flag"
"2022-06-20T08:39:46Z","-0.044","23.3891","1.4794","14.2383","29.15","28.216661","6.4155","74.577","9.841","183.5097","317.93","1.56608323320146","0.016","0"
"2022-06-20T08:39:46Z","-0.041","23.392","1.4879","14.0438","29.148","28.21309","6.3899","74.617","9.839","183.5062","316.98","1.56586956032222","0.01","0"
"2022-06-20T08:39:46Z","-0.041","23.3942","1.493","13.9338","29.156","28.219575","6.3652","74.732","9.838","183.5488","318.43","1.56624768603875","0.005","0"
"2022-06-20T08:39:46Z","-0.042","23.3947","1.4837","13.8984","29.168","28.231694","6.3506","74.85","9.836","183.6807","323.64","1.56691156272063","0","0"
"2022-06-20T08:39:46Z","-0.044","23.3937","1.4756","13.8894","29.168","28.232837","6.346","74.824","9.833","183.8968","323.79","1.56694613757716","-0.002","0"
"2022-06-20T08:39:46Z","-0.046","23.3904","1.4942","13.9961","29.168","28.233394","6.3504","74.554","9.832","184.1822","325.37","1.56706015104994","-0.001","0"
"2022-06-20T08:39:46Z","-0.046","23.3876","1.5338","14.1978","29.172","28.23843","6.3615","74.069","9.831","184.2918","330.15","1.56738397918467","0","0"
"2022-06-20T08:39:46Z","-0.046","23.3874","1.555","14.3122","29.162","28.230353","6.3779","73.48","9.83","184.1902","328.5","1.56682318562758","0.002","0"
"2022-06-20T08:39:46Z","-0.045","23.3896","1.5427","14.3549","29.128","28.199123","6.3789","72.907","9.827","184.1585","323.5","1.56481725297596","0.003","0"
"2022-06-20T08:39:46Z","-0.043","23.3925","1.5347","14.4409","29.105","28.177764","6.3542","72.449","9.825","184.2528","320.54","1.56341181023053","0.003","0"
"2022-06-20T08:39:46Z","-0.041","23.3948","1.5417","14.5317","29.089","28.162273","6.3086","72.165","9.824","184.47","315.52","1.56242451653334","0.003","0"
"2022-06-20T08:39:46Z","-0.04","23.398","1.5356","14.5639","29.064","28.138591","6.2545","72.033","9.823","184.7196","312.42","1.56089572317501","0.002","0"
"2022-06-20T08:39:46Z","-0.04","23.4008","1.5271","14.5914","29.069","28.144966","6.2024","71.967","9.823","184.6898","316.53","1.56108306596923","0","0"
"2022-06-20T08:39:46Z","-0.041","23.402","1.54","14.899","29.101","28.175966","6.1611","71.902","9.822","184.453","317.76","1.56285744132543","-0.001","0"
"2022-06-20T08:39:46Z","-0.042","23.4026","1.5581","15.4817","29.121","28.196482","6.1376","71.797","9.821","184.3521","317.38","1.56397162673133","-0.002","0"
"2022-06-20T08:39:46Z","-0.043","23.4031","1.5621","15.7954","29.126","28.202862","6.1296","71.572","9.82","184.4166","321.03","1.56423812238002","-0.002","0"
"2022-06-20T08:39:46Z","-0.043","23.404","1.556","15.7886","29.111","28.189732","6.1265","71.198","9.818","184.63","322.57","1.56335599312313","-0.001","0"
"2022-06-20T08:39:46Z","-0.043","23.4052","1.567","15.9125","29.082","28.164493","6.1197","70.679","9.817","184.9532","320.44","1.56166928545689","0.001","0"
"2022-06-20T08:39:46Z","-0.042","23.4071","1.6036","16.1657","29.064","28.151259","6.1154","70.019","9.816","185.1417","312.69","1.56058271915486","0.002","0"
"2022-06-20T08:39:46Z","-0.041","23.4093","1.6246","16.2535","29.064","28.156495","6.0957","69.237","9.815","185.1025","306.07","1.56050705586019","0.002","0"
"2022-06-20T08:39:46Z","-0.04","23.4121","1.6129","16.1891","29.066","28.164427","6.0634","68.374","9.813","184.909","308.37","1.56052418009968","0.002","0"
"2022-06-20T08:39:46Z","-0.04","23.4159","1.6115","16.0015","29.08","28.183791","6.0191","67.509","9.812","184.61","307.12","1.56118756822809","0.001","0"
"2022-06-20T08:39:46Z","-0.04","23.4222","1.6415","15.7272","29.092","28.200464","5.961","66.68","9.812","184.4124","305.54","1.56165142048196","0.001","0"
"2022-06-20T08:39:46Z","-0.04","23.4325","1.6667","15.5715","29.063","28.175865","5.8936","65.909","9.812","184.498","311.24","1.55965278369703","0.001","0"
"2022-06-20T08:39:46Z","-0.041","23.4443","1.6671","15.5195","29.022","28.139923","5.8143","65.207","9.81","184.6995","310.25","1.55692357295538","0.001","0"
"2022-06-20T08:39:46Z","-0.041","23.4549","1.6547","15.4742","29.024","28.146213","5.7396","64.529","9.809","184.7829","308.28","1.55667348170296","0.001","0"
"2022-06-20T08:39:46Z","-0.04","23.4632","1.6327","15.3312","29.063","28.188531","5.668","63.864","9.808","184.7322","310.29","1.55859855512186","0","0"
"2022-06-20T08:39:46Z","-0.039","23.4692","1.6095","15.1563","29.079","28.207896","5.6001","63.27","9.807","184.6882","308.32","1.55929905934994","0","0"
"2022-06-20T08:39:46Z","-0.039","23.4742","1.608","15.1019","29.059","28.190197","5.5423","62.736","9.807","184.6816","308.64","1.55799447881851","0","0"
"2022-06-20T08:39:46Z","-0.04","23.4814","1.6136","15.049","29.03","28.164702","5.4857","62.223","9.807","184.6526","309.34","1.55610520908482","-0.001","0"
"2022-06-20T08:39:46Z","-0.041","23.4901","1.6109","14.8593","29.015","28.153177","5.4233","61.73","9.807","184.5946","310.69","1.55495795986456","-0.001","0"
"2022-06-20T08:39:46Z","-0.041","23.4966","1.6164","14.5843","29.037","28.177634","5.3741","61.245","9.806","184.4972","315.9","1.55598099164587","-0.002","0"
"2022-06-20T08:39:46Z","-0.041","23.5005","1.6306","14.4562","29.063","28.206865","5.3304","60.762","9.804","184.4213","317.8","1.55731930650486","-0.002","0"
"2022-06-20T08:39:46Z","-0.042","23.5042","1.6324","14.4724","29.043","28.189671","5.285","60.296","9.804","184.4508","315.65","1.55606039007053","-0.001","0"
"2022-06-20T08:39:46Z","-0.042","23.5093","1.6134","14.5408","29.009","28.159916","5.2442","59.877","9.805","184.5101","312.75","1.55396151614665","-0.001","0"
"2022-06-20T08:39:46Z","-0.042","23.5153","1.5999","14.7019","29.01","28.164034","5.202","59.506","9.805","184.4501","309.53","1.55381297951697","0","0"
"2022-06-20T08:39:46Z","-0.043","23.5215","1.6031","14.8149","29.02","28.176078","5.1603","59.162","9.805","184.4994","306.37","1.55416684741928","0","0"
"2022-06-20T08:39:46Z","-0.043","23.527","1.6109","14.8142","29.02","28.17877","5.1185","58.848","9.805","184.6756","307.13","1.55397879498862","0.001","0"
"2022-06-20T08:39:46Z","-0.042","23.531","1.6026","14.898","29.035","28.196595","5.0827","58.566","9.805","184.7742","311.09","1.55469057809129","0.002","0"
"2022-06-20T08:39:46Z","-0.041","23.5353","1.5687","15.1105","29.037","28.201439","5.0522","58.316","9.805","185.003","312.69","1.55465664824308","0.002","0"
"2022-06-20T08:39:46Z","-0.04","23.5403","1.5424","15.2315","29.006","28.173952","5.0216","58.114","9.805","185.1191","309.45","1.55273244789358","0.003","0"
"2022-06-20T08:39:46Z","-0.04","23.5456","1.5433","15.2684","29.011","28.18119","4.9945","57.963","9.804","184.8007","302.37","1.55283419080273","0.003","0"
"2022-06-20T08:39:46Z","-0.039","23.5508","1.5624","15.2491","29.055","28.225562","4.9706","57.855","9.804","183.4763","296.37","1.55514458597052","0.004","0"
"2022-06-20T08:39:46Z","-0.038","23.5555","1.5901","15.1351","29.03","28.203364","4.9478","57.761","9.805","177.9687","295.1","1.55357033722364","0.008","0"
"2022-06-20T08:39:46Z","-0.038","23.5604","1.6117","15.0857","28.929","28.10295","4.9305","57.658","9.803","162.9497","296.63","1.5476939202655","0.019","0"
"2022-06-20T08:39:46Z","-0.037","23.5639","1.6246","15.0965","28.857","28.02565","4.9173","57.617","9.793","144.0194","293.46","1.54350624147206","0.042","0"
"2022-06-20T08:39:46Z","-0.033","23.568","1.6292","15.0938","28.805","27.965981","4.9086","57.792","9.779","133.982","282.73","1.54042936018169","0.075","0"
"2022-06-20T08:39:46Z","-0.02","23.5712","1.6592","15.3606","28.735","27.888574","4.9022","58.316","9.77","131.8443","264.41","1.53636711122078","0.113","0"
"2022-06-20T08:39:46Z","0.014","23.5716","1.7287","15.8975","28.706","27.850334","4.8914","59.218","9.766","131.3367","232.96","1.53471531302935","0.151","0"
"2022-06-20T08:39:46Z","0.07","23.5554","1.7704","16.189","28.748","27.883924","4.8834","60.402","9.765","131.1992","194.65","1.53763379325239","0.178","0"
"2022-06-20T08:39:46Z","0.136","23.5357","1.7721","16.1516","28.763","27.914389","4.8965","61.835","9.765","130.9564","163.19","1.53914682935018","0.188","0"
"2022-06-20T08:39:46Z","0.2","23.5237","1.7742","15.5474","28.633","27.838382","4.9394","63.615","9.768","130.7236","142.19","1.53220296811571","0.178","0"
"2022-06-20T08:39:46Z","0.255","23.506","1.7884","14.4516","28.462","27.72564","5.0232","65.732","9.771","130.88","131.54","1.5231316208431","0.154","0"
"2022-06-20T08:39:46Z","0.288","23.4764","1.8105","13.8679","28.402","27.692253","5.129","67.927","9.772","131.1267","130.64","1.52073030470522","0.125","0"
"2022-06-20T08:39:46Z","0.3","23.4845","1.8335","13.8872","28.398","27.688278","5.2433","69.793","9.773","131.0401","134.48","1.52023301773362","0.098","0"
"2022-06-20T08:39:46Z","0.307","23.607","1.858","14.1039","28.396","27.677579","5.3828","71.099","9.773","131.1232","134.87","1.5160311489631","0.076","0"
"2022-06-20T08:39:46Z","0.323","23.7292","1.8825","14.405","28.41","27.689642","5.5561","71.838","9.771","131.5294","129.73","1.51275787188998","0.062","0"
"2022-06-20T08:39:46Z","0.346","23.7602","1.8961","14.5565","28.422","27.707362","5.7552","72.032","9.769","131.8217","125.36","1.51240416057414","0.056","0"
"2022-06-20T08:39:46Z","0.363","23.7496","1.8976","14.569","28.491","27.765074","5.9203","71.832","9.766","131.9896","122.79","1.5166342160711","0.051","0"
"2022-06-20T08:39:46Z","0.376","23.7219","1.8836","14.4868","28.671","27.88033","6.032","71.998","9.765","131.9247","119.39","1.52768350165015","0.043","0"
"2022-06-20T08:39:46Z","0.387","23.7206","1.861","14.2808","28.864","27.959887","6.094","73.655","9.769","131.6395","117.09","1.53859178610191","0.031","0"
"2022-06-20T08:39:46Z","0.393","23.7415","1.8486","14.1273","28.976","27.9662","6.1086","76.98","9.774","131.6385","116.41","1.54419121852208","0.021","0"
"2022-06-20T08:39:46Z","0.393","23.7578","1.8411","14.1338","29.031","27.956513","6.0705","81.065","9.776","132.0845","117.08","1.54673498246579","0.016","0"
