Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR_umolm2s,Desc_rate,Flag,Reservoir,Site
2022-02-24T08:01:48Z,-0.682,2.1184,-0.1466,-0.3236,4.551,2.467838,13.2803,96.277,3.615,18.5859,47.48,0,0,BVR,50
2022-02-24T08:01:48Z,-0.682,2.1172,-0.1437,-0.3633,4.553,2.468656,13.2768,96.307,3.614,109.2201,48.934,0,0,BVR,50
2022-02-24T08:01:48Z,-0.682,2.1149,-0.1524,-0.3938,4.614,2.501723,13.2726,96.342,3.614,210.7352,50.625,0,0,BVR,50
2022-02-24T08:01:48Z,-0.683,2.1146,-0.1524,-0.3849,4.819,2.614414,13.2719,96.368,3.612,303.1787,51.906,0.003,0,BVR,50
2022-02-24T08:01:48Z,-0.683,2.111,-0.1524,-0.3584,6.571,3.577954,13.2724,96.339,3.622,346.8506,52.686,0.011,0,BVR,50
2022-02-24T08:01:48Z,-0.683,2.1135,-0.1598,-0.3799,13.486,7.440457,13.2789,96.229,3.702,353.3131,54.037,0.028,0,BVR,50
2022-02-24T08:01:48Z,-0.682,2.1071,-0.1671,-0.4066,29.853,16.766359,13.284,96.065,3.926,356.1926,56.081,0.054,0,BVR,50
2022-02-24T08:01:48Z,-0.673,2.1161,-0.1576,-0.3734,47.756,27.199444,13.2884,95.914,4.294,359.0378,58.202,0.089,0,BVR,50
2022-02-24T08:01:48Z,-0.648,2.1008,-0.0706,-0.1486,52.433,30.234424,13.2919,95.826,4.659,358.9776,60.06,0.13,0,BVR,50
2022-02-24T08:01:48Z,-0.607,2.2172,0.744,1.901,46.773,27.294034,13.2313,95.734,4.92,357.787,62.066,0.171,0,BVR,50
2022-02-24T08:01:48Z,-0.553,2.7578,2.217,5.6201,41.103,24.231366,13.016,95.619,5.138,356.2571,61.724,0.205,0,BVR,50
2022-02-24T08:01:48Z,-0.487,3.4119,3.033,7.654,37.725,22.424875,12.7603,95.537,5.319,349.5145,58.278,0.225,0,BVR,50
2022-02-24T08:01:48Z,-0.413,3.884,3.2024,7.7721,35.715,21.359729,12.599,95.515,5.425,337.4374,56.05,0.223,0,BVR,50
2022-02-24T08:01:48Z,-0.344,4.2307,4.1149,6.8098,34.526,20.731779,12.4744,95.66,5.491,331.3765,54.39,0.201,0,BVR,50
2022-02-24T08:01:48Z,-0.288,4.5114,5.7685,4.9683,34.12,20.535647,12.3612,96.36,5.552,331.8141,53.482,0.165,0,BVR,50
2022-02-24T08:01:48Z,-0.248,4.7525,6.6736,3.9179,34.14,20.57253,12.2779,98.325,5.611,333.3506,56.027,0.121,0,BVR,50
2022-02-24T08:01:48Z,-0.231,4.9299,6.7521,3.8119,34.287,20.67082,12.2108,101.375,5.658,341.7792,60.237,0.081,0,BVR,50
2022-02-24T08:01:48Z,-0.231,5.0407,6.7269,3.959,34.349,20.710213,12.1883,103.93,5.694,356.5467,63.224,0.049,0,BVR,50
2022-02-24T08:01:48Z,-0.232,5.1021,6.6678,4.1941,34.279,20.668633,12.2071,104.594,5.728,364.2602,62.888,0.028,0,BVR,50
2022-02-24T08:01:48Z,-0.228,5.1358,6.6374,4.332,34.286,20.674998,12.4351,103.075,5.764,358.0377,60.18,0.016,0,BVR,50
2022-02-24T08:01:48Z,-0.221,5.148,6.6427,4.3615,34.676,20.913904,12.9295,100.248,5.799,345.3233,57.35,0.012,0,BVR,50
2022-02-24T08:01:48Z,-0.213,5.1466,6.6316,4.2778,36.012,21.719578,13.3137,97.267,5.831,344.6673,54.325,0.014,0,BVR,50
2022-02-24T08:01:48Z,-0.21,5.1451,6.603,4.1397,38.257,23.065378,13.4164,94.414,5.858,355.5262,52.442,0.019,0,BVR,50
2022-02-24T08:01:48Z,-0.212,5.1486,6.5882,4.058,39.417,23.750823,13.178,91.721,5.879,356.3345,51.917,0.026,0,BVR,50
2022-02-24T08:01:48Z,-0.212,5.1572,6.5855,4.0765,38.898,23.416319,12.7336,89.456,5.901,351.8599,47.952,0.038,0,BVR,50
2022-02-24T08:01:48Z,-0.201,5.1615,6.5955,4.1241,38.795,23.330494,12.3657,87.765,5.931,356.4893,41.277,0.055,0,BVR,50
2022-02-24T08:01:48Z,-0.183,5.1457,6.7092,4.1215,39.049,23.473696,12.0087,86.608,5.966,361.3719,37.618,0.072,0,BVR,50
2022-02-24T08:01:48Z,-0.162,5.1303,6.9114,4.079,38.562,23.18311,11.6493,85.782,6.001,361.4233,35.022,0.086,0,BVR,50
2022-02-24T08:01:48Z,-0.132,5.102,7.0265,4.0539,38.016,22.859053,11.3671,85.09,6.035,359.5197,30.041,0.092,0,BVR,50
2022-02-24T08:01:48Z,-0.098,5.058,7.0439,4.0916,37.892,22.78768,11.1635,84.485,6.066,353.4984,26.14,0.09,0,BVR,50
2022-02-24T08:01:48Z,-0.073,5.0489,7.0047,4.0565,37.643,22.637014,11.0306,83.938,6.094,345.4924,24.727,0.079,0,BVR,50
2022-02-24T08:01:48Z,-0.055,5.0598,6.9194,3.903,36.568,21.98794,10.9337,83.375,6.114,340.843,23.332,0.06,0,BVR,50
2022-02-24T08:01:48Z,-0.04,5.063,6.8704,3.806,34.956,21.023407,10.844,82.814,6.131,339.4428,22.243,0.04,0,BVR,50
2022-02-24T08:01:48Z,-0.033,5.0713,6.8696,3.8068,33.716,20.290256,10.7632,82.304,6.148,339.2314,22.997,0.023,0,BVR,50
2022-02-24T08:01:48Z,-0.037,5.0689,6.8508,3.8445,33.155,19.967163,10.7028,81.885,6.165,339.835,24.684,0.011,0,BVR,50
2022-02-24T08:01:48Z,-0.042,5.0565,6.8014,3.886,32.925,19.841643,10.6301,81.617,6.183,344.505,25.604,0.003,0,BVR,50
2022-02-24T08:01:48Z,-0.042,5.0659,6.7717,3.899,32.713,19.723091,10.5539,81.499,6.201,348.6322,26.459,-0.001,0,BVR,50
2022-02-24T08:01:48Z,-0.038,5.0886,6.7664,3.898,32.623,19.674318,10.4834,81.464,6.22,343.9637,27.52,-0.001,0,BVR,50
2022-02-24T08:01:48Z,-0.038,5.1114,6.7951,3.909,32.55,19.632131,10.4173,81.405,6.239,338.908,28.092,0.002,0,BVR,50
2022-02-24T08:01:48Z,-0.039,5.1316,6.8523,3.8952,32.378,19.529824,10.3806,81.339,6.258,338.3533,28.023,0.005,0,BVR,50
2022-02-24T08:01:48Z,-0.039,5.1476,6.8754,3.8337,32.349,19.514514,10.3615,81.431,6.274,338.2892,27.645,0.007,0,BVR,50
2022-02-24T08:01:48Z,-0.038,5.1554,6.8757,3.8134,32.342,19.51038,10.3637,81.764,6.289,338.3043,27.592,0.008,0,BVR,50
