Date,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin,Phycocyanin,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR,Salinity,Descent Rate (m/s),Flag
2023-06-05T09:51:47Z,8.985,10.143,3.69,0.2507,0.0426,0.1692,2.3121,29.539779,42.025,10.8967,96.943,0.11628,3.19645139758479,0.02,0
2023-06-05T09:51:47Z,8.99,10.1431,3.69,0.2545,0.0852,0,2.267,29.534836,42.018,10.8996,96.959,0.1162,3.1958757047727944,0.02,0
2023-06-05T09:51:47Z,8.996,10.1431,3.69,0.3194,0.0852,0,2.3722,29.534218,42.017,10.902,96.983,0.11595,3.195794448133266,0.021,0
2023-06-05T09:51:47Z,9.001,10.1432,3.69,0.3003,0.0852,0,2.4624,29.537758,42.022,10.9035,97.014,0.11617,3.1961902534464097,0.021,0
2023-06-05T09:51:47Z,9.007,10.1432,3.69,0.3079,0.0852,0,2.4925,29.542442,42.029,10.9046,97.052,0.11617,3.196756697414564,0.021,0
2023-06-05T09:51:47Z,9.012,10.1432,3.78,0.3041,0.0426,0.0846,2.4774,29.545558,42.033,10.9065,97.093,0.11605,3.1970803056851005,0.021,0
2023-06-05T09:51:47Z,9.017,10.1431,3.78,0.2355,0.0426,0.0846,2.2069,29.543976,42.031,10.9091,97.129,0.11628,3.19692689357306,0.021,0
2023-06-05T09:51:47Z,9.023,10.1431,3.78,0.2278,0.0426,0.0846,2.3572,29.541237,42.027,10.9126,97.159,0.11592,3.196602794006507,0.022,0
2023-06-05T09:51:47Z,9.028,10.1431,3.78,0.2698,0.0426,0.0846,2.1919,29.536608,42.021,10.917,97.188,0.11612,3.196116723002988,0.022,0
2023-06-05T09:51:47Z,9.034,10.143,3.78,0.2355,0.0426,0.1692,2.2069,29.524895,42.004,10.9216,97.211,0.1161,3.194748896471099,0.022,0
2023-06-05T09:51:47Z,9.04,10.143,3.78,0.2355,0.0426,0.1692,2.237,29.510896,41.984,10.9257,97.22,0.1161,3.1931294345024055,0.023,0
2023-06-05T09:51:47Z,9.046,10.143,3.78,0.2393,0.0426,0.1692,2.1768,29.498797,41.967,10.9291,97.215,0.11612,3.191752895315309,0.023,0
2023-06-05T09:51:47Z,9.052,10.143,3.78,0.2545,0.0426,0.1692,2.2971,29.489332,41.953,10.9323,97.199,0.11612,3.190619255776988,0.023,0
2023-06-05T09:51:47Z,9.057,10.143,3.78,0.2355,0.0426,0,2.2971,29.487896,41.951,10.935,97.177,0.11615,3.1904571064169565,0.023,0
2023-06-05T09:51:47Z,9.063,10.143,3.78,0.2507,0.0426,0,2.237,29.494107,41.96,10.936,97.156,0.11992,3.191185384702927,0.024,0
2023-06-05T09:51:47Z,9.069,10.1431,3.78,0.2584,0.0426,0,2.267,29.49774,41.965,10.9354,97.14,0.11617,3.1915811116965918,0.025,0
2023-06-05T09:51:47Z,9.075,10.1432,3.78,0.2431,0.0426,0,2.267,29.495805,41.962,10.9336,97.128,0.11612,3.1913292110346076,0.027,0
2023-06-05T09:51:47Z,9.082,10.1432,3.78,0.2431,0.0426,0,2.2069,29.503626,41.973,10.931,97.121,0.11607,3.192219409056355,0.029,0
2023-06-05T09:51:47Z,9.089,10.1432,3.78,0.2202,0.0852,0.1269,2.4624,29.527248,42.007,10.9287,97.122,0.11612,3.194971562749851,0.031,0
2023-06-05T09:51:47Z,9.097,10.1432,3.78,0.2507,0.0852,0.1269,2.5526,29.55317,42.044,10.9269,97.123,0.11615,3.1979667855179863,0.033,0
2023-06-05T09:51:47Z,9.106,10.1433,3.78,0.2469,0.0852,0.1269,2.5676,29.568505,42.066,10.9255,97.112,0.1163,3.1997388978237398,0.034,0
2023-06-05T09:51:47Z,9.116,10.1433,3.78,0.2622,0.0852,0.1269,2.4925,29.569423,42.067,10.9247,97.086,0.11607,3.199819423464133,0.036,0
2023-06-05T09:51:47Z,9.125,10.1433,3.78,0.2393,0.0852,0.0846,2.4925,29.560129,42.054,10.9249,97.047,0.11612,3.1987663524492413,0.036,0
2023-06-05T09:51:47Z,9.135,10.1433,3.78,0.2584,0.0852,0.0846,2.4925,29.550022,42.04,10.925,97.002,0.11605,3.1976323918075225,0.036,0
2023-06-05T09:51:47Z,9.144,10.1432,3.78,0.2469,0.0852,0.0846,2.4474,29.54829,42.037,10.9237,96.959,0.1162,3.1973978187312504,0.036,0
2023-06-05T09:51:47Z,9.153,10.1432,3.78,0.2812,0.0852,0.0846,2.4474,29.550508,42.04,10.9207,96.926,0.11607,3.1976402696185278,0.035,0
2023-06-05T09:51:47Z,9.162,10.1432,3.69,0.3194,0.0426,0.0423,2.4624,29.54539,42.033,10.9164,96.907,0.11612,3.197073077822291,0.035,0
2023-06-05T09:51:47Z,9.17,10.1432,3.69,0.3423,0.0426,0.0423,2.4624,29.53553,42.019,10.9113,96.905,0.11628,3.195939208364619,0.035,0
2023-06-05T09:51:47Z,9.179,10.1433,3.69,0.2927,0.0426,0.0423,2.4925,29.53414,42.017,10.9065,96.911,0.11628,3.1957681345595814,0.036,0
2023-06-05T09:51:47Z,9.188,10.1433,3.69,0.3079,0.0426,0.0423,2.5376,29.544807,42.032,10.9027,96.918,0.116,3.19698212385823,0.037,0
2023-06-05T09:51:47Z,9.198,10.1433,3.78,0.2355,0.0852,0.1269,2.9734,29.562458,42.058,10.9007,96.922,0.1162,3.199086727023123,0.039,0
2023-06-05T09:51:47Z,9.208,10.1433,3.78,0.2393,0.0852,0.1269,2.8832,29.591799,42.1,10.9004,96.92,0.11607,3.202486987412611,0.04,0
2023-06-05T09:51:47Z,9.219,10.1432,3.78,0.266,0.0852,0.1269,2.8532,29.636693,42.164,10.9011,96.902,0.11617,3.207677894131956,0.04,0
2023-06-05T09:51:47Z,9.229,10.143,3.78,0.2469,0.0852,0.1269,2.9584,29.689313,42.24,10.9019,96.853,0.11625,3.2138501796934267,0.041,0
2023-06-05T09:51:47Z,9.239,10.1428,3.78,0.2736,0.0852,0.1269,3.1688,29.747851,42.324,10.9025,96.764,0.116,3.2206714594037877,0.041,0
2023-06-05T09:51:47Z,9.25,10.1424,3.78,0.2393,0.0426,0.1269,3.0786,29.814057,42.42,10.9024,96.626,0.11623,3.228483781904145,0.042,0
2023-06-05T09:51:47Z,9.26,10.1418,3.78,0.2393,0.0426,0.1269,3.1838,29.877865,42.513,10.9004,96.414,0.11612,3.2360723258823656,0.042,0
2023-06-05T09:51:47Z,9.271,10.141,3.78,0.266,0.0426,0.1269,3.1087,29.92263,42.578,10.8951,96.092,0.11623,3.2414107276272945,0.042,0
2023-06-05T09:51:47Z,9.282,10.14,3.78,0.327,0.0426,0.1269,5.5286,29.944449,42.61,10.8854,95.624,0.1162,3.2440927729808773,0.042,0
2023-06-05T09:51:47Z,9.293,10.1388,3.78,0.2927,0.0852,0.0846,5.5286,29.9531,42.623,10.8701,94.983,0.11623,3.245252714395466,0.041,0
2023-06-05T09:51:47Z,9.303,10.1375,3.78,0.3232,0.0852,0.0846,5.4835,29.954852,42.626,10.8466,94.15,0.11625,3.245611045498458,0.039,0
2023-06-05T09:51:47Z,9.313,10.1362,3.78,0.3232,0.0852,0.0846,5.4835,29.95017,42.62,10.8106,93.147,0.1162,3.2452397919190954,0.037,0
2023-06-05T09:51:47Z,9.322,10.1352,3.78,0.3613,0.0852,0.0846,10.4885,29.945727,42.613,10.7583,92.041,0.11612,3.244760814449217,0.034,0
2023-06-05T09:51:47Z,9.33,10.1346,3.87,0.3423,0.1278,0.2115,10.4735,29.948258,42.617,10.6863,90.926,0.11612,3.2451380593929,0.031,0
2023-06-05T09:51:47Z,9.338,10.1342,3.87,0.3652,0.1278,0.2115,10.4133,29.954477,42.625,10.5927,89.912,0.11623,3.245821864262994,0.028,0
2023-06-05T09:51:47Z,9.345,10.1341,3.87,0.3728,0.1278,0.2115,10.5336,29.962084,42.636,10.4799,89.101,0.11605,3.2467222184347824,0.026,0
2023-06-05T09:51:47Z,9.351,10.134,3.87,0.472,0.1278,0.2115,20.5587,29.973106,42.652,10.3556,88.561,0.11643,3.24802802724137,0.024,0
2023-06-05T09:51:47Z,9.356,10.1341,3.87,0.4911,0.1278,0.1692,20.709,29.990482,42.678,10.2301,88.311,0.1164,3.2501269142107394,0.022,0
2023-06-05T09:51:47Z,9.362,10.1344,3.87,0.5445,0.1278,0.1692,20.6038,30.022807,42.725,10.1159,88.328,0.11623,3.2539108491420086,0.02,0
2023-06-05T09:51:47Z,9.366,10.1347,3.87,0.4911,0.1278,0.1692,20.7992,30.074741,42.8,10.0247,88.548,0.11617,3.2599657136003666,0.019,0
2023-06-05T09:51:47Z,9.371,10.1346,3.87,0.6932,0.1278,0.1692,34.9425,30.136372,42.889,9.9639,88.888,0.11617,3.2671926591302234,0.018,0
