Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR,Salinity,Descent Rate (m/s),Flag,CDOM_ugL,Phycoerythrin,Phycocyanin
2022-07-14T10:01:20Z,11.887,11.1837,2.5434,3.3516,73.001478,100.873,6.2462,57.205,1.7631,7.936338064109211,0.057,0,3.8701,0.0472,0.1614
2022-07-14T10:01:20Z,11.895,11.1836,2.5419,3.4206,73.017859,100.896,6.2583,57.252,1.7288,7.938309117068114,0.057,0,3.8686,0.0807,0.0921
2022-07-14T10:01:20Z,11.908,11.1833,2.5389,3.5476,73.046253,100.936,6.2647,57.301,1.7034,7.94176399796972,0.063,0,3.8729,0.0879,0.0808
2022-07-14T10:01:20Z,11.923,11.1826,2.5372,3.617,73.074199,100.976,6.2743,57.329,1.6844,7.945305029928587,0.072,0,3.8649,0.0835,0.0855
2022-07-14T10:01:20Z,11.944,11.1818,2.5369,3.6238,73.085161,100.994,6.2807,57.331,1.6519,7.94700094734815,0.076,0,3.8786,0.0862,0.0862
2022-07-14T10:01:20Z,11.972,11.1818,2.5279,3.6283,73.043497,100.935,6.2842,57.339,1.5895,7.941993491603553,0.07,0,3.9513,0.0846,0.125
2022-07-14T10:01:20Z,12,11.1823,2.51,3.6357,72.976328,100.83,6.2915,57.347,1.5285,7.932978472325136,0.054,0,3.9655,0.0857,0.1272
2022-07-14T10:01:20Z,12.02,11.1813,2.5006,3.64,72.949494,100.768,6.2954,57.33,1.5243,7.927932561800203,0.034,0,3.9564,0.0847,0.1283
2022-07-14T10:01:20Z,12.024,11.1801,2.5006,3.6446,72.989643,100.798,6.293,57.311,1.5591,7.930733143645636,0.019,0,3.9626,0.0857,0.1234
2022-07-14T10:01:20Z,12.011,11.1794,2.5042,3.6979,73.055914,100.882,6.2945,57.312,1.5824,7.93800887806646,0.013,0,3.9579,0.0845,0.0884
2022-07-14T10:01:20Z,11.995,11.1826,2.5103,3.7964,73.074322,100.922,6.2973,57.317,1.5834,7.940717514233414,0.018,0,3.9622,0.0862,0.0822
2022-07-14T10:01:20Z,11.991,11.1936,2.5135,3.8503,73.076915,100.948,6.292,57.333,1.5485,7.940563541539433,0.029,0,3.9572,0.0836,0.0862
2022-07-14T10:01:20Z,12.007,11.206,2.5136,3.8577,73.087241,100.976,6.2863,57.374,1.4732,7.940275874248608,0.042,0,3.9642,0.0877,0.0834
2022-07-14T10:01:20Z,12.038,11.2096,2.5155,3.8852,73.063867,100.946,6.2878,57.404,1.4064,7.936957214039106,0.054,0,3.9536,0.0811,0.0856
