
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.000004,-0.000244,1.003512,-0.000072,0.004134,0.037016,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.6"
Session Name,FCR_BV_20220627,,Exported,"Aqua4Plus 1.9.6"
# Records,  2019 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,14.50,13.819,
,Maximum,35.56,14.027,
,Mean,24.88,13.926,
,Variance,24.873,0.0019,
,Std Deviation,4.987,0.0431,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
110,28-Jun-22 13:53:46,28.69,14.000
111,28-Jun-22 14:08:46,28.56,13.998
112,28-Jun-22 14:23:46,28.69,13.996
113,28-Jun-22 14:38:46,28.63,13.995
114,28-Jun-22 14:53:46,29.00,13.993
115,28-Jun-22 15:08:46,29.06,13.990
116,28-Jun-22 15:23:46,28.81,13.991
117,28-Jun-22 15:38:46,28.94,13.988
118,28-Jun-22 15:53:46,29.13,13.987
119,28-Jun-22 16:08:46,29.06,13.985
120,28-Jun-22 16:23:46,28.88,13.984
121,28-Jun-22 16:38:46,28.75,13.983
122,28-Jun-22 16:53:46,28.75,13.980
123,28-Jun-22 17:08:46,29.00,13.981
124,28-Jun-22 17:23:46,29.00,13.980
125,28-Jun-22 17:38:46,29.00,13.978
126,28-Jun-22 17:53:46,29.06,13.975
127,28-Jun-22 18:08:46,29.38,13.976
128,28-Jun-22 18:23:46,29.81,13.975
129,28-Jun-22 18:38:46,29.63,13.978
130,28-Jun-22 18:53:46,29.13,13.980
131,28-Jun-22 19:08:46,29.06,13.982
132,28-Jun-22 19:23:46,28.44,13.984
133,28-Jun-22 19:38:46,27.50,13.985
134,28-Jun-22 19:53:46,26.44,13.988
135,28-Jun-22 20:08:46,25.19,13.991
136,28-Jun-22 20:23:46,24.06,13.993
137,28-Jun-22 20:38:46,23.19,13.993
138,28-Jun-22 20:53:46,22.44,13.994
139,28-Jun-22 21:08:46,21.69,13.996
140,28-Jun-22 21:23:46,21.13,13.997
141,28-Jun-22 21:38:46,20.63,14.000
142,28-Jun-22 21:53:46,20.25,14.001
143,28-Jun-22 22:08:46,19.88,14.001
144,28-Jun-22 22:23:46,19.56,14.004
145,28-Jun-22 22:38:46,19.31,14.002
146,28-Jun-22 22:53:46,19.13,14.003
147,28-Jun-22 23:08:46,18.88,14.004
148,28-Jun-22 23:23:46,18.63,14.004
149,28-Jun-22 23:38:46,18.50,14.006
150,28-Jun-22 23:53:46,18.44,14.008
151,29-Jun-22 00:08:46,18.38,14.007
152,29-Jun-22 00:23:46,18.25,14.009
153,29-Jun-22 00:38:46,18.13,14.009
154,29-Jun-22 00:53:46,18.13,14.009
155,29-Jun-22 01:08:46,18.06,14.009
