attributeName	code	definition
Flag_EXOTurbidity_FNU_1.5	4	value removed due to fouling and set to NA
Flag_EXOTurbidity_FNU_1.5	5	questionable value but left in the dataset
Flag_EXOTurbidity_FNU_1.5	7	missing data
Flag_EXOWiper_V	0	no flag
Flag_EXOWiper_V	1	value removed due to maintenance and set to NA
Flag_EXOWiper_V	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_EXOWiper_V	5	questionable value but left in the dataset
Flag_EXOWiper_V	7	missing data
Flag_LvlPressure_psi_13	0	no flag
Flag_LvlPressure_psi_13	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_LvlPressure_psi_13	5	questionable value but left in the dataset
Flag_LvlTemp_C_13	0	no flag
Flag_LvlTemp_C_13	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_LvlTemp_C_13	7	missing data
Flag_RDO_mgL_13	0	no flag
Flag_RDO_mgL_13	1	value removed due to maintenance and set to NA
Flag_RDO_mgL_13	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_RDO_mgL_13	3	negative values set to 0 except for temperature
Flag_RDO_mgL_13	7	missing data
Flag_RDO_mgL_6	0	no flag
Flag_RDO_mgL_6	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_RDO_mgL_6	3	negative values set to 0 except for temperature
Flag_RDO_mgL_6	5	questionable value but left in the dataset
Flag_RDOsat_percent_13	0	no flag
Flag_RDOsat_percent_13	1	value removed due to maintenance and set to NA
Flag_RDOsat_percent_13	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_RDOsat_percent_13	3	negative values set to 0 except for temperature
Flag_RDOsat_percent_13	7	missing data
Flag_RDOsat_percent_6	0	no flag
Flag_RDOsat_percent_6	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_RDOsat_percent_6	3	negative values set to 0 except for temperature
Flag_RDOsat_percent_6	5	questionable value but left in the dataset
Flag_RDOTemp_C_13	0	no flag
Flag_RDOTemp_C_13	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_RDOTemp_C_13	7	missing data
Flag_RDOTemp_C_6	0	no flag
Flag_RDOTemp_C_6	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_ThermistorTemp_C_1	0	no flag
Flag_ThermistorTemp_C_1	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_ThermistorTemp_C_1	7	missing data
Flag_ThermistorTemp_C_10	0	no flag
Flag_ThermistorTemp_C_10	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_ThermistorTemp_C_11	0	no flag
Flag_ThermistorTemp_C_11	1	value removed due to maintenance and set to NA
Flag_ThermistorTemp_C_11	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_ThermistorTemp_C_12	0	no flag
Flag_ThermistorTemp_C_12	1	value removed due to maintenance and set to NA
Flag_ThermistorTemp_C_12	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_ThermistorTemp_C_13	0	no flag
Flag_ThermistorTemp_C_13	1	value removed due to maintenance and set to NA
Flag_ThermistorTemp_C_13	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_ThermistorTemp_C_2	0	no flag
Flag_ThermistorTemp_C_2	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_ThermistorTemp_C_2	7	missing data
Flag_ThermistorTemp_C_3	0	no flag
Flag_ThermistorTemp_C_3	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_ThermistorTemp_C_4	0	no flag
Flag_ThermistorTemp_C_4	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_ThermistorTemp_C_5	0	no flag
Flag_ThermistorTemp_C_5	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_ThermistorTemp_C_5	5	questionable value but left in the dataset
Flag_ThermistorTemp_C_6	0	no flag
Flag_ThermistorTemp_C_6	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_ThermistorTemp_C_7	0	no flag
Flag_ThermistorTemp_C_7	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_ThermistorTemp_C_8	0	no flag
Flag_ThermistorTemp_C_8	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Flag_ThermistorTemp_C_9	0	no flag
Flag_ThermistorTemp_C_9	2	"negative or outlier value removed and set to NA, see Methods section for more detail on QAQC process"
Site	50	"Deep Hole site 37.31288, -79.8159"
