"Rep","Date","Start","End","co2_slope_ppmS","co2_R2","Temp_C","co2_flux_umolCm2s","Reservoir","Site","ch4_slope_ppmS","ch4_R2","ch4_flux_umolCm2s","co2_flux_umolCm2s_flag","ch4_flux_umolCm2s_flag"
1,2024-01-29,"12:00","12:03",0.089,0.96,16.46,0.539,"FCR",50,0.001,0.96,0.006,0,0
2,2024-01-29,"12:06","12:10",0.118,0.89,16.04,0.715,"FCR",50,0.001,0.89,0.006,0,0
1,2024-02-27,"12:00","12:03",0.019,0.96,19.72,0.114,"FCR",50,0,0.99,0,0,0
2,2024-02-27,"12:00","12:04",0.026,0.96,19.35,0.156,"FCR",50,0,0.98,0,0,0
1,2024-03-05,"10:12","10:15",-0.028,0.42,22.18,-0.166,"BVR",50,0,0.32,0,0,0
2,2024-03-05,"10:18","10:22",0.017,0.94,22.68,0.101,"BVR",50,0.001,0.97,0.006,0,0
1,2024-03-05,"12:00","12:03",0.039,0.96,26.9,0.228,"FCR",50,0.001,0.97,0.006,0,0
2,2024-03-05,"12:00","12:04",0.027,0.88,26.8,0.158,"FCR",50,0,0.89,0,0,0
1,2024-03-18,"12:00","12:03",0.039,0.95,15.98,0.236,"FCR",50,0.001,0.97,0.006,0,0
2,2024-03-18,"12:00","12:04",0.037,0.97,16.3,0.224,"FCR",50,0.001,0.99,0.006,0,0
1,2024-03-25,"12:00","12:03",0.082,0.98,20.92,0.489,"FCR",50,0.001,0.98,0.006,0,0
2,2024-03-25,"12:00","12:04",0.09,0.93,20.76,0.537,"FCR",50,0.001,0.95,0.006,0,0
1,2024-04-01,"11:50","11:53",-0.021,0.96,25.13,-0.123,"BVR",50,0,0.98,0,0,0
2,2024-04-01,"11:58","12:02",-0.026,0.91,26.75,-0.152,"BVR",50,0,0.95,0,0,0
1,2024-04-01,"15:10","15:13",0.052,0.97,31.31,0.299,"FCR",50,0,0.97,0,0,0
2,2024-04-01,"15:18","15:22",0.053,0.99,31.69,0.305,"FCR",50,0,0.99,0,0,0
1,2024-04-08,"11:22","11:25",0.023,0.9,21.09,0.137,"FCR",50,0,0.9,0,0,0
2,2024-04-08,"11:30","11:34",0.015,0.73,21.88,0.089,"FCR",50,0,0.73,0,0,0
1,2024-04-15,"13:06","13:09",0.02,0.94,31.46,0.115,"FCR",50,0,0.99,0,0,0
2,2024-04-15,"13:13","13:17",0.025,0.97,32.78,0.143,"FCR",50,0,0.99,0,0,0
1,2024-04-22,"12:00","12:03",0.034,0.98,19.95,0.203,"FCR",50,0.001,0.99,0.006,0,0
2,2024-04-22,"12:09","12:13",0.019,0.94,20.81,0.113,"FCR",50,0.001,0.99,0.006,0,0
1,2024-04-29,"10:40","10:43",-0.036,0.98,27.53,-0.21,"BVR",50,0.001,0.97,0.006,0,0
2,2024-04-29,"10:45","10:49",-0.075,0.99,29.14,-0.435,"BVR",50,0.002,0.99,0.012,0,0
1,2024-04-29,"12:00","12:03",0.009,0.74,31.3,0.052,"FCR",50,0.001,0.88,0.006,0,0
2,2024-04-29,"12:00","12:04",0.022,0.92,34.29,0.125,"FCR",50,0.001,0.98,0.006,0,0
1,2024-05-13,"13:45","13:48",0.019,0.96,27.07,0.111,"FCR",50,0.002,0.99,0.012,0,0
2,2024-05-13,"13:50","13:54",0.024,0.95,27.75,0.14,"FCR",50,0.002,1,0.012,0,0
1,2024-05-20,"12:00","12:03",0.002,0.11,26.87,0.012,"FCR",50,0,0.87,0,0,0
2,2024-05-20,"12:00","12:04",0.002,0.19,28.02,0.012,"FCR",50,0,0.97,0,0,0
1,2024-05-27,"12:00","12:03",-0.068,0.97,26.13,-0.398,"BVR",50,0.002,0.99,0.012,0,0
2,2024-05-27,"12:00","12:04",-0.059,0.98,28.17,-0.343,"BVR",50,0.001,0.98,0.006,0,0
1,2024-06-05,"11:55","11:58",0.011,0.8,29.83,0.064,"FCR",50,0.001,0.97,0.006,0,0
2,2024-06-05,"12:01","12:05",0.018,0.9,31.08,0.104,"FCR",50,0.001,1,0.006,0,0
1,2024-06-10,"12:00","12:03",-0.027,0.95,26.8,-0.158,"FCR",50,0.001,0.95,0.006,0,0
2,2024-06-10,"12:00","12:04",-0.009,0.03,27.87,-0.052,"FCR",50,0,0.95,0,0,0
1,2024-06-17,"12:00","12:03",-0.076,0.99,33.53,-0.434,"FCR",50,0.002,0.98,0.011,0,0
2,2024-06-17,"12:00","12:04",-0.051,0.99,34.32,-0.291,"FCR",50,0.001,0.96,0.006,0,0
1,2024-06-24,"12:40","12:43",-0.081,0.99,33.2,-0.463,"FCR",50,0.004,0.97,0.023,0,0
2,2024-06-24,"12:48","12:52",-0.092,0.99,34.87,-0.523,"FCR",50,0.005,0.99,0.028,0,0
1,2024-07-01,"12:00","12:03",-0.1,0.97,28.67,-0.581,"FCR",50,0.005,0.98,0.029,0,0
2,2024-07-01,"12:00","12:04",-0.079,1,30.67,-0.456,"FCR",50,0.002,1,0.012,0,0
1,2024-07-08,"12:00","12:03",-0.063,0.99,35.2,-0.358,"FCR",50,0.003,0.9,0.017,0,0
2,2024-07-08,"12:00","12:04",-0.049,0.99,37.32,-0.277,"FCR",50,0.003,0.97,0.017,0,0
1,2024-07-15,"12:00","12:03",0.005,0.36,27.45,0.029,"FCR",50,0.001,0.99,0.006,0,0
2,2024-07-15,"12:00","12:04",0.008,0.2,30.02,0.046,"FCR",50,0.001,0.96,0.006,0,0
1,2024-07-22,"10:20","10:23",0.091,0.97,24.8,0.535,"FCR",50,0.001,0.97,0.006,0,0
2,2024-07-22,"10:25","10:29",0.063,0.99,25.99,0.369,"FCR",50,0.001,0.99,0.006,0,0
1,2024-07-29,"09:40","09:43",-0.015,0.96,27.93,-0.087,"FCR",50,0.001,0.99,0.006,0,0
2,2024-07-29,"09:47","09:51",-0.015,0.96,28.89,-0.087,"FCR",50,0.001,1,0.006,0,0
1,2024-08-05,"12:00","12:03",-0.001,0.09,31.44,-0.006,"FCR",50,0.001,0.91,0.006,0,0
2,2024-08-05,"12:00","12:04",0.003,0.44,33.18,0.017,"FCR",50,0.001,0.98,0.006,0,0
1,2024-08-12,"12:00","12:03",0.021,0.96,26.12,0.123,"FCR",50,0,0.99,0,0,0
2,2024-08-12,"12:00","12:04",0.032,0.98,27.81,0.186,"FCR",50,0.001,0.99,0.006,0,0
1,2024-08-19,"12:00","12:03",0.016,0.94,31.46,0.092,"FCR",50,0.002,1,0.012,0,0
2,2024-08-19,"12:00","12:04",0.018,0.94,32.14,0.103,"FCR",50,0.002,0.98,0.011,0,0
1,2024-08-26,"12:00","12:03",0.007,0.74,32.14,0.04,"FCR",50,0,0.98,0,0,0
2,2024-08-26,"12:00","12:04",0.006,0.68,33.34,0.034,"FCR",50,0.001,0.99,0.006,0,0
1,2024-09-02,"10:40","10:43",-0.037,0.98,27.37,-0.216,"BVR",50,0.001,0.99,0.006,0,0
2,2024-09-02,"10:46","10:49",-0.028,0.97,28.95,-0.162,"BVR",50,0.001,0.99,0.006,0,0
1,2024-09-09,"11:09","11:12",0.095,0.98,24.63,0.559,"FCR",50,0.001,0.98,0.006,0,0
2,2024-09-09,"11:16","11:20",0.172,0.99,25.84,1.008,"FCR",50,0.001,1,0.006,0,0
1,2024-09-23,"12:03","12:06",0.006,0.06,26.86,0.035,"BVR",50,0.003,0.94,0.018,0,0
2,2024-09-23,"12:09","12:13",-0.003,0.07,27.25,-0.018,"BVR",50,0.012,0.93,0.07,0,0
1,2024-09-23,"14:30","14:33",0.002,0.18,27.54,0.012,"FCR",50,0.002,0.97,0.012,0,0
2,2024-09-23,"14:36","14:40",0.002,0.24,28.84,0.012,"FCR",50,0.001,0.92,0.006,0,0
