Reservoir,Site,Depth_m,Time,Filter,Date,Fe_mgL,Mn_mgL,count_Fe_mgL,count_Mn_mgL
FCR,100.1,0.1,12:00:00,T,2019-06-17,1.016,0.135,2,2
FCR,100.1,0.1,NA,T,2019-06-24,3.434,0.662,2,2
FCR,100.1,0.1,NA,T,2019-07-08,0.007,0.001,2,2
FCR,100.1,0.1,NA,T,2019-07-15,1.5735000000000001,0.22149999999999997,2,2
FCR,100.1,0.1,NA,T,2019-07-22,2.0215,0.326,2,2
FCR,100.1,0.1,NA,T,2019-07-29,1.447,0.221,2,2
FCR,100.1,0.1,NA,T,2019-08-05,4.3255,0.6565,2,2
FCR,100.1,0.1,NA,T,2019-08-12,2.206,0.2965,2,2
FCR,100.1,0.1,NA,T,2019-08-19,1.1844999999999999,0.202,2,2
FCR,100.1,0.1,NA,T,2019-08-28,0.5485,0.078,2,2
FCR,100.1,0.1,NA,T,2019-09-02,0.7304999999999999,0.2375,2,2
FCR,100.1,0.1,NA,T,2019-09-20,0.48750000000000004,0.07450000000000001,2,2
FCR,100.1,0.1,NA,T,2019-09-27,0.7535,0.1095,2,2
FCR,100.1,0.1,NA,T,2019-10-04,1.0805,0.16949999999999998,2,2
FCR,100.1,0.1,NA,T,2019-10-11,0.7809999999999999,0.123,2,2
FCR,100.1,0.1,NA,T,2019-10-16,0.8895,0.14350000000000002,2,2
FCR,100.1,0.1,NA,T,2019-10-23,1.673,0.2535,2,2
FCR,100.1,0.1,NA,T,2019-10-30,1.077,0.14100000000000001,2,2
FCR,100.1,0.1,NA,T,2019-11-08,1.884,0.2525,2,2
