Reservoir,Site,Date,Rep,Start_time,End_time,Temp_C,co2_slope_ppmS,co2_R2,co2_flux_umolCm2s,ch4_slope_ppmS,ch4_R2,ch4_flux_umolCm2s,co2_flux_umolCm2s_flag,ch4_flux_umolCm2s_flag
FCR,50,2020-07-06T05:00:00Z,1,13:25:51,13:29:50,33.76,0.048,0.97,0.274,0.007,0.96,0.04,0,0
FCR,50,2020-07-06T05:00:00Z,2,13:41:05,13:45:04,37.1,0.073,0.99,0.412,0.008,0.99,0.045,0,0
FCR,50,2020-07-13T05:00:00Z,1,13:04:43,13:08:42,34.67,0.025,0.98,0.142,0.003,1,0.017,0,0
FCR,50,2020-07-20T05:00:00Z,1,11:02:29,11:06:28,37.13,-0.041,0.98,-0.232,0.004,0.99,0.023,0,0
FCR,50,2020-07-20T05:00:00Z,2,11:08:00,11:11:59,37.93,-0.061,0.98,-0.344,0.006,0.97,0.034,0,0
FCR,50,2020-07-27T05:00:00Z,1,09:58:58,10:02:57,30.6,-0.076,0.95,-0.438,0.011,0.95,0.063,0,0
FCR,50,2020-07-27T05:00:00Z,2,10:07:11,10:11:09,32.51,-0.078,0.99,-0.447,0.003,0.98,0.017,0,0
FCR,50,2020-08-10T05:00:00Z,1,13:26:54,13:30:53,38.33,-0.059,0.98,-0.332,0.004,0.97,0.023,0,0
FCR,50,2020-08-24T05:00:00Z,1,12:42:23,12:46:22,31.43,-0.026,0.97,-0.15,0.002,0.98,0.012,0,0
FCR,50,2020-08-24T05:00:00Z,2,12:54:16,12:58:15,33.01,-0.048,0.99,-0.275,0.004,1,0.023,0,0
FCR,50,2020-09-02T05:00:00Z,1,12:43:21,12:47:20,36.07,-0.013,0.92,-0.074,0.003,0.98,0.017,0,0
FCR,50,2020-09-02T05:00:00Z,2,12:55:18,12:59:17,36.91,-0.01,0.91,-0.057,0.002,0.98,0.011,0,0
FCR,50,2020-09-11T05:00:00Z,1,08:13:31,08:17:30,25.69,-0.05,0.99,-0.293,0.001,0.99,0.006,0,0
FCR,50,2020-09-11T05:00:00Z,2,08:22:17,08:26:16,27.09,-0.054,0.99,-0.315,0.001,0.96,0.006,0,0
FCR,50,2020-10-30T05:00:00Z,1,11:39:59,11:43:58,20.29,0.02,0.91,0.119,0.001,0.92,0.006,0,0
FCR,50,2020-10-30T05:00:00Z,2,11:51:42,11:55:41,20.55,0.045,0.98,0.269,-0.005,0.06,-0.03,0,0
