sep=,
No. ,Hole  Pos.,Weight  [mg],Name  ,Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Memo  ,Info  ,Date,Time,
18,18,45.27,f24aug21r1_init,very low,1601,15776,1.234,10.514,0.9185,0.9801,0,0,8.5180,,,2022/02/10,06:42:07 PM,
19,19,88.42,b12jul21_sedTrap_init,very low,7525,57339,2.710,19.473,0.9185,0.9801,0,0,7.1867,,,2022/02/10,06:52:51 PM,
20,20,87.39,f16aug21_sedTrap_con,very low,3720,30469,1.391,10.483,0.9185,0.9801,0,0,7.5367,,,2022/02/10,07:03:39 PM,
21,21,65.11,b21jul21_sedTrap_ext,very low,5419,41463,2.676,19.130,0.9185,0.9801,0,0,7.1489,,,2022/02/10,07:14:21 PM,
22,22,10.16,aa as unknown,very low,3284,12186,10.631,36.271,0.9185,0.9801,0,0,3.4117,,,2022/02/10,07:25:09 PM,
23,23,56.08,f8jul21_sedTrap_ext,very low,2910,25230,1.720,13.536,0.9185,0.9801,0,0,7.8712,,,2022/02/10,07:35:57 PM,
24,24,75.07,f8jul21_sedTrap_con,very low,3779,31605,1.643,12.656,0.9185,0.9801,0,0,7.7010,,,2022/02/10,07:46:51 PM,
25,25,88.99,b31mar21cm1_con,very low,2813,28618,1.050,9.671,0.9185,0.9801,0,0,9.2129,,,2022/02/10,07:57:33 PM,
26,26,75.47,f16aug21_sedTrap_ext,very low,3229,28656,1.409,11.418,0.9185,0.9801,0,0,8.1046,,,2022/02/10,08:08:29 PM,
27,27,90.66,f21jun21_sedTrap_init,very low,3439,39723,1.245,13.164,0.9185,0.9801,0,0,10.5771,,,2022/02/10,08:19:16 PM,
28,28,87.31,f21jun21_sedTrap_con,very low,2936,29379,1.114,10.118,0.9185,0.9801,0,0,9.0859,,,2022/02/10,08:30:09 PM,
29,29,90.99,b31mar21cm1_init,very low,3803,35690,1.364,11.787,0.9185,0.9801,0,0,8.6407,,,2022/02/10,08:41:00 PM,
30,30,68.73,f21jun21_sedtrap_ext,very low,2333,24734,1.143,10.829,0.9185,0.9801,0,0,9.4758,,,2022/02/10,08:51:52 PM,
31,31,89.62,oar3d13_topOrange_init,very low,1278,16114,0.507,5.424,0.9185,0.9801,0,0,10.6984,,,2022/02/10,09:02:38 PM,
32,32,92.61,f16aug21_sedTrap_init,very low,4613,41334,1.611,13.408,0.9185,0.9801,0,0,8.3209,,,2022/02/10,09:13:35 PM,
33,33,86.56,b21jul21_sedTrap_con,very low,6543,49314,2.416,17.110,0.9185,0.9801,0,0,7.0831,,,2022/02/10,09:24:23 PM,
34,34,10.95,aa as unknown,very low,3528,13178,10.556,36.368,0.9185,0.9801,0,0,3.4453,,,2022/02/10,09:35:12 PM,
35,35,56.98,f24aug21r1_ext,very low,1562,14817,0.959,7.850,0.9185,0.9801,0,0,8.1839,,,2022/02/10,09:45:59 PM,
36,36,69.08,f8jul21_sedTrap_init,very low,4077,35354,1.920,15.380,0.9185,0.9801,0,0,8.0119,,,2022/02/10,09:56:57 PM,
37,37,65.34,b31mar21cm1_ext,very low,2163,23049,1.122,10.618,0.9185,0.9801,0,0,9.4672,,,2022/02/10,10:07:42 PM,
38,38,62.88,f24aug21r1_con,very low,1789,17670,0.981,8.471,0.9185,0.9801,0,0,8.6362,,,2022/02/10,10:18:34 PM,
39,39,92.55,oar3d13_topOrange_con,very low,1157,13919,0.445,4.542,0.9185,0.9801,0,0,10.2118,,,2022/02/10,10:29:18 PM,
40,40,20.00,f29apr19_4m_f2,very low,4057,9756,6.599,14.790,0.9185,0.9801,0,0,2.2413,,,2022/02/10,10:40:05 PM,
41,41,20.00,b28oct19_5m_f2,very low,1396,5213,2.480,7.474,0.9185,0.9801,0,0,3.0133,,,2022/02/10,10:50:55 PM,
42,42,20.00,b4sep19_10m_f2,very low,4742,10456,7.662,15.836,0.9185,0.9801,0,0,2.0668,,,2022/02/10,11:01:39 PM,
43,43,20.00,b12jun19_8m_f2,very low,3554,11002,5.820,16.654,0.9185,0.9801,0,0,2.8613,,,2022/02/10,11:12:24 PM,
44,44,20.00,b20jun19_5m_f1,very low,1809,5416,3.116,7.721,0.9185,0.9801,0,0,2.4776,,,2022/02/10,11:23:08 PM,
45,45,20.00,f2sep19_8m_f2,very low,4005,15013,6.519,22.657,0.9185,0.9801,0,0,3.4753,,,2022/02/10,11:33:49 PM,
46,46,9.70,aa as unknown,very low,3131,11604,10.648,36.195,0.9185,0.9801,0,0,3.3992,,,2022/02/10,11:44:35 PM,
47,47,20.00,f8nov19_8m_f2,very low,5044,10440,8.130,15.812,0.9185,0.9801,0,0,1.9449,,,2022/02/10,11:55:21 PM,
48,48,20.00,b13jun19_10m_f2,very low,3794,25088,6.192,37.743,0.9185,0.9801,0,0,6.0953,,,2022/02/11,12:06:11 AM,
