No. ,Hole  Pos.,Weight  [mg],Name  ,Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Memo  ,Info  ,Date,Time
1,1,100,clean out blank,blank [O2],226,3180,0.082,0.973,1,1,0,0,11.8153,,,2019-MAR-28,4:42:03 PM
2,2,100,clean out blank,blank [O2],0,1180,0,0.348,1,1,0,0,0,,Nnp,2019-MAR-28,4:49:57 PM
3,3,100,clean out blank,blank [O2],36,92,0.006,0.018,1,1,0,0,2.8389,,Cu,2019-MAR-28,4:57:31 PM
4,4,24.62,RunIn,aspartic acid 1,7499,28866,10.559,35.974,1,1,0,0,3.4068,,,2019-MAR-28,5:08:15 PM
5,5,25.19,RunIn,aspartic acid 1,7433,29638,10.232,36.097,1,1,0,0,3.5279,,,2019-MAR-28,5:19:02 PM
6,6,24.99,aspartic acid,aspartic acid 1,7620,29457,10.52,36.06,0.9956,0.9971,0,0,3.4278,,,2019-MAR-28,5:29:41 PM
7,7,25.46,aspartic acid,aspartic acid 1,7862,30182,10.52,36.06,0.9839,0.9915,0,0,3.4278,,,2019-MAR-28,5:40:30 PM
8,8,25.14,aspartic acid,aspartic acid 1,7453,29411,10.52,36.06,1.0235,1.0047,0,0,3.4278,,,2019-MAR-28,5:51:10 PM
9,9,45.02,F_sed_8m_r2_31Jul17,soil,1233,13462,1.061,9.197,1.001,0.9978,0,0,8.6671,,,2019-MAR-28,5:59:52 PM
10,10,46.07,F_sed_4m_r2_13Nov17,soil,1098,13284,0.924,8.869,1.001,0.9978,0,0,9.6019,,,2019-MAR-28,6:08:27 PM
11,11,42.88,F_sed_4m_r1_29may17,soil,1410,14040,1.273,10.067,1.001,0.9978,0,0,7.908,,,2019-MAR-28,6:17:07 PM
12,12,32.39,F_sed_4m_r1_18sep17,soil,883,10365,1.056,9.869,1.001,0.9978,0,0,9.3432,,,2019-MAR-28,6:25:45 PM
13,13,43.08,F_sed_4m_r2_29may17,soil,1349,14815,1.213,10.568,1.001,0.9978,0,0,8.7149,,,2019-MAR-28,6:34:25 PM
14,14,45.24,F_sed_4m_r1_26jun17,soil,1101,21602,0.943,14.637,1.001,0.9978,0,0,15.5162,,,2019-MAR-28,6:43:03 PM
15,15,10.84,F_sed_4m_r1_4sep17,soil,1032,6790,3.69,19.442,1.001,0.9978,0,0,5.2694,,,2019-MAR-28,6:51:44 PM
16,16,43.25,F_sed_4m_r1_12jun17,soil,974,13915,0.872,9.893,1.001,0.9978,0,0,11.339,,,2019-MAR-28,7:00:22 PM
17,17,51.86,F_sed8m_r2_22may17,soil,1841,17119,1.331,10.133,1.001,0.9978,0,0,7.6154,,,2019-MAR-28,7:09:08 PM
18,18,42.77,F_sed_8m_r2_11sep17,soil,858,9558,0.777,6.899,1.001,0.9978,0,0,8.8803,,,2019-MAR-28,7:17:47 PM
19,19,47.64,DUP_F_sed_8m_r2_22may17,soil,1652,15505,1.314,9.998,1.001,0.9978,0,0,7.6064,,,2019-MAR-28,7:26:29 PM
20,20,24.75,aa run as unknown,aspartic acid 1,7542,29104,10.573,35.999,1.001,0.9978,0,0,3.4049,,,2019-MAR-28,7:37:11 PM
21,21,45.4,F_sed_4m_r2_6nov17,soil,1000,12563,0.853,8.517,1.001,0.9978,0,0,9.9814,,,2019-MAR-28,7:45:55 PM
22,22,44.36,F_sed_8m_r1_9oct17,soil,897,10435,0.783,7.255,1.001,0.9978,0,0,9.2664,,,2019-MAR-28,7:54:36 PM
23,23,27.36,F_sed_4m_r1_7aug17,soil,1021,10425,1.447,11.751,1.001,0.9978,0,0,8.1205,,,2019-MAR-28,8:03:23 PM
24,24,18.28,F_sed_4m_r1_2Oct17,soil,429,5731,0.893,9.017,1.001,0.9978,0,0,10.1021,,,2019-MAR-28,8:12:08 PM
25,25,48.22,F_sed_8m_r1_23Oct17,soil,1204,12458,0.968,7.952,1.001,0.9978,0,0,8.2145,,,2019-MAR-28,8:21:00 PM
26,26,11.14,F_sed_4m_r2_2Oct17,soil,413,4445,1.41,11.88,1.001,0.9978,0,0,8.4261,,,2019-MAR-28,8:29:45 PM
27,27,42.34,F_sed_8m_r2_5Jul17,soil,1754,16449,1.56,11.929,1.001,0.9978,0,0,7.6482,,,2019-MAR-28,8:38:39 PM
28,28,47.99,F_sed_8m_r2_19Jun17,soil,1218,13664,0.984,8.756,1.001,0.9978,0,0,8.8991,,,2019-MAR-28,8:47:26 PM
29,29,43.78,F_sed_8m_r1_5Jul17,soil,1469,16984,1.298,11.91,1.001,0.9978,0,0,9.1728,,,2019-MAR-28,8:56:16 PM
30,30,46.56,F_sed_8m_r1_28Aug17,soil,980,10206,0.816,6.762,1.001,0.9978,0,0,8.2883,,,2019-MAR-28,9:05:03 PM
31,31,44.36,DUP_F_sed_8m_r1_28Aug17,soil,1019,9852,0.89,6.854,1.001,0.9978,0,0,7.6973,,,2019-MAR-28,9:13:53 PM
32,32,25.05,aa run as unknown,aspartic acid 1,7655,29512,10.599,36.064,1.001,0.9978,0,0,3.4025,,,2019-MAR-28,9:24:40 PM
33,33,0,,,0,0,0,0,1.001,0.9978,0,0,0,,,,
