attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Date_processed	Date when samples were run	Date		YYYY-MM-DD	NA	value is missing
ResSite	Three-letter code corresponding to sampled reservoir and site number; see site_descriptions.csv provided in this data package for further information regarding sampling sites	character			NA	value is missing
DataStream	Nickname for each data package; for this package it is filt-chla	character			NA	value is missing
Rep	Indicates if sample is a duplicate	categorical			NA	value is missing
Sample.ID	Identification for the sample on the spectrophotometer	character			NA	value is missing
Sample_date	Date when samples were collected	Date		YYYY-MM-DD	NA	value is missing
start_parameter	The name of the first column of the affected observation	character			NA	value is missing
end_parameter	The name of the last column of the affected observations	character			NA	value is missing
flag	The flag number associated with the maintenance	categorical			NA	value is missing
updated_value	The value to change an observation to or if you are using an offset to change an observation	character			NA	value is missing
notes	A description of why the values were removed or changed	character			NA	value is missing
