"","Reservoir","Site","DateTime","Depth_m","Chla_ugL","Pheo_ugL","Flag_DateTime","Flag_Chla_ugL","Flag_Pheo_ugL"
"84","SHR",50,2014-07-10 12:00:00,0.1,1.7,NA,1,0,2
"85","SHR",50,2014-07-10 12:00:00,7,1.7,NA,1,0,2
"86","SHR",50,2014-07-10 12:00:00,28,0.6,NA,1,0,2
"87","CCR",50,2014-07-10 12:00:00,0.1,4,NA,1,0,2
"88","CCR",50,2014-07-10 12:00:00,6,10.9,NA,1,0,2
"89","CCR",50,2014-07-10 12:00:00,20,17.3,NA,1,0,2
"90","SML",50,2014-07-22 12:00:00,0.1,5.2,NA,1,0,2
"91","SML",50,2014-07-22 12:00:00,7,4,NA,1,0,2
"92","SML",50,2014-07-22 12:00:00,25,3.5,NA,1,0,2
"93","SHR",50,2014-07-24 12:00:00,0.1,1.7,NA,1,0,2
"94","SHR",50,2014-07-24 12:00:00,7,1.2,NA,1,0,2
"95","SHR",50,2014-07-24 12:00:00,28,1.7,NA,1,0,2
"96","CCR",50,2014-07-24 12:00:00,0.1,2.9,NA,1,0,2
"97","CCR",50,2014-07-24 12:00:00,6,10.4,NA,1,0,2
"98","CCR",50,2014-07-24 12:00:00,20,23,NA,1,0,2
"99","GWR",50,2014-07-25 12:00:00,0.1,8.1,NA,1,0,2
"100","GWR",50,2014-07-25 12:00:00,5,8.1,NA,1,0,2
"101","GWR",50,2014-07-25 12:00:00,12,13.2,NA,1,0,2
"102","SML",50,2014-08-05 12:00:00,0.1,4.6,NA,1,0,2
"103","SML",50,2014-08-05 12:00:00,6,4.6,NA,1,0,2
"104","SML",50,2014-08-05 12:00:00,28,0.6,NA,1,0,2
"105","SHR",50,2014-08-07 12:00:00,0.1,1.2,NA,1,0,2
"106","SHR",50,2014-08-07 12:00:00,7,1.7,NA,1,0,2
"107","SHR",50,2014-08-07 12:00:00,28,0.6,NA,1,0,2
"108","CCR",50,2014-08-07 12:00:00,0.1,2.9,NA,1,0,2
"109","CCR",50,2014-08-07 12:00:00,6,10.9,NA,1,0,2
"110","CCR",50,2014-08-07 12:00:00,20,23,NA,1,0,2
"111","GWR",50,2014-08-11 12:00:00,0.1,24.2,NA,1,0,2
"112","GWR",50,2014-08-11 12:00:00,5,20.7,NA,1,0,2
"113","GWR",50,2014-08-11 12:00:00,10,16.3,NA,1,0,2
"114","CLY",50,2014-08-13 12:00:00,0.1,15.5,NA,1,0,2
"115","CLY",50,2014-08-13 12:00:00,7,16.1,NA,1,0,2
"116","CLY",50,2014-08-13 12:00:00,34,5,NA,1,0,2
"117","SML",50,2014-08-19 12:00:00,0.1,7.5,NA,1,0,2
"118","SML",50,2014-08-19 12:00:00,7,2.3,NA,1,0,2
"119","SML",50,2014-08-19 12:00:00,25,1.2,NA,1,0,2
"120","CCR",50,2014-08-21 12:00:00,0.1,3.5,NA,1,0,2
"121","CCR",50,2014-08-21 12:00:00,6,8.6,NA,1,0,2
"122","CCR",50,2014-08-21 12:00:00,19,10.4,NA,1,0,2
"123","GWR",50,2014-08-22 12:00:00,0.1,10.4,NA,1,0,2
"124","GWR",50,2014-08-22 12:00:00,5,19,NA,1,0,2
"125","GWR",50,2014-08-22 12:00:00,10,18.2,NA,1,0,2
"126","SHR",50,2014-09-05 12:00:00,0.1,1.2,NA,1,0,2
"127","SHR",50,2014-09-05 12:00:00,7,1.7,NA,1,0,2
"128","SHR",50,2014-09-05 12:00:00,28,0,NA,1,0,2
"129","CCR",50,2014-09-05 12:00:00,0.1,2.3,NA,1,0,2
"130","CCR",50,2014-09-05 12:00:00,6,15,NA,1,0,2
"131","CCR",50,2014-09-05 12:00:00,19,9.8,NA,1,0,2
"132","GWR",50,2014-09-07 12:00:00,0.1,6.3,NA,1,0,2
"133","GWR",50,2014-09-07 12:00:00,5,28.2,NA,1,0,2
"134","GWR",50,2014-09-07 12:00:00,12,32.8,NA,1,0,2
"135","CCR",50,2014-09-19 12:00:00,0.1,7.5,NA,1,0,2
"136","CCR",50,2014-09-19 12:00:00,6,7.5,NA,1,0,2
"137","CCR",50,2014-09-19 12:00:00,18,11.5,NA,1,0,2
"138","SML",50,2014-09-23 12:00:00,0.1,13.2,NA,1,0,2
"139","SML",50,2014-09-23 12:00:00,8,5.1,NA,1,0,2
"140","SML",50,2014-09-23 12:00:00,28,1.2,NA,1,0,2
"141","GWR",50,2014-09-30 12:00:00,0.1,14.4,NA,1,0,2
"142","GWR",50,2014-09-30 12:00:00,5,16.1,NA,1,0,2
