"Reservoir","Site","DateTime","Depth_m","Chla_ugL","Pheo_ugL","Flag_Chla_ugL","Flag_Pheo_ugL"
"CCR",50,2014-05-27 12:00:00,0.1,2.3,NA,0,2
"CCR",50,2014-05-27 12:00:00,6,9.8,NA,0,2
"CCR",50,2014-05-27 12:00:00,14,8.1,NA,0,2
"SHR",50,2014-05-30 12:00:00,0.1,0.6,NA,0,2
"SHR",50,2014-05-30 12:00:00,8,2.9,NA,0,2
"SHR",50,2014-05-30 12:00:00,25,1.2,NA,0,2
"SML",50,2014-06-03 12:00:00,0.1,8.6,NA,0,2
"SML",50,2014-06-03 12:00:00,0.1,10.4,NA,0,2
"SML",50,2014-06-03 12:00:00,8,13.8,NA,0,2
"SML",50,2014-06-03 12:00:00,8,6.3,NA,0,2
"SML",50,2014-06-03 12:00:00,25,1.2,NA,0,2
"GWR",50,2014-06-04 12:00:00,0.1,2.9,NA,0,2
"GWR",50,2014-06-04 12:00:00,5,10.9,NA,0,2
"GWR",50,2014-06-04 12:00:00,12,5.2,NA,0,2
"CCR",50,2014-06-04 12:00:00,0.1,1.7,NA,0,2
"CCR",50,2014-06-04 12:00:00,6,3.5,NA,0,2
"CCR",50,2014-06-04 12:00:00,20,3.5,NA,0,2
"SML",50,2014-06-10 12:00:00,0.1,2.9,NA,0,2
"SML",50,2014-06-10 12:00:00,8,9.2,NA,0,2
"SHR",50,2014-06-12 12:00:00,0.1,1.2,NA,0,2
"SHR",50,2014-06-12 12:00:00,8,2.9,NA,0,2
"SHR",50,2014-06-12 12:00:00,28,1.7,NA,0,2
"CCR",50,2014-06-12 12:00:00,0.1,3.5,NA,0,2
"CCR",50,2014-06-12 12:00:00,6,6.3,NA,0,2
"CCR",50,2014-06-12 12:00:00,20,2.3,NA,0,2
"GWR",50,2014-06-16 12:00:00,0.1,1.2,NA,0,2
"GWR",50,2014-06-16 12:00:00,5,8.1,NA,0,2
"GWR",50,2014-06-16 12:00:00,12,8.6,NA,0,2
"CLY",50,2014-06-18 12:00:00,0.1,13.2,NA,0,2
"CLY",50,2014-06-18 12:00:00,6,19,NA,0,2
"CLY",50,2014-06-18 12:00:00,30,3.5,NA,0,2
"SML",50,2014-06-24 12:00:00,0.1,2.9,NA,0,2
"SML",50,2014-06-24 12:00:00,7,2.9,NA,0,2
"SML",50,2014-06-24 12:00:00,25,2.3,NA,0,2
