"Reservoir","Site","DateTime","Depth_m","Temp_C","DO_mgL","DOSat","Cond_uScm","Sp_cond_uScm","PAR_umolm2s","ORP_mV","pH","Flag_DateTime","Flag_Temp","Flag_DO","Flag_DOSat","Flag_Cond","Flag_Sp_Cond","Flag_PAR","Flag_ORP","Flag_pH"
"BVR",50,2022-01-26 13:40:00,0.1,"2.8",12.45,91.6,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-01-26 13:42:00,1,"2.7",12.55,92.1,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-01-26 13:44:00,2,"2.7",12.52,91.5,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-01-26 13:46:00,3,"2.7",12.53,91.6,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-01-26 13:48:00,4,"2.7",12.48,91.3,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-01-26 13:50:00,5,"2.7",12.41,91.4,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-01-26 13:52:00,6,"2.7",12.48,90.9,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-01-26 13:54:00,7,"2.7",12.33,91.2,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-01-26 13:56:00,8,"2.7",12.38,91,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-01-26 13:58:00,9,"2.7",12.32,90.6,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-01-26 14:00:00,10,"2.8",12.05,90.2,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-02-24 12:42:00,0.1,"6.4",12.41,100.6,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-02-24 12:44:00,1,"6.7",12.38,99.7,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-02-24 12:47:00,2,"6.2",12.17,96.8,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-02-24 12:48:00,3,"5.8",11.95,94.6,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-02-24 12:50:00,4,"5.8",11.92,94,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-02-24 12:51:00,5,"5.7",11.8,92.8,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-02-24 12:52:00,6,"5.5",11.72,91.8,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-02-24 12:54:00,7,"6.4",11.64,91,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-02-24 12:55:00,8,"5.1",11.58,89.4,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-02-24 12:56:00,9,"5",11.48,88.5,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-03-22 11:51:00,0.1,"12.1",11.58,106.9,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-03-22 11:53:00,1,"11.1",11.63,105.5,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-03-22 11:54:00,2,"10.3",11.57,102.7,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-03-22 11:55:00,3,"9.8",11.43,100.4,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-03-22 11:56:00,4,"9.2",11.2,96.9,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-03-22 11:57:00,5,"8.7",10.89,93.5,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-03-22 11:58:00,6,"8.4",10.46,89,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-03-22 11:59:00,7,"7.9",10.16,85.6,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-03-22 12:00:00,8,"7.4",9.55,79.2,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-03-22 12:01:00,9,"7.2",9.33,76.8,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-03-22 12:02:00,10,"7.2",8.46,69.4,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-05-02 10:18:00,3,"15.6",10.55,106,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-05-02 11:12:00,0.1,"16.4",10.47,106.6,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-05-02 11:16:00,1,"15.9",10.51,106.5,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-05-02 11:17:00,2,"15.7",10.65,10.6,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-05-02 11:20:00,4,"15.3",10.52,105.1,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-05-02 11:21:00,5,"12.5",8.82,81.4,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-05-02 11:23:00,6,"11.3",6.73,59.1,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-05-02 11:24:00,7,"10.3",3.17,27.1,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-05-02 11:25:00,8,"9.7",0.78,6.5,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-05-02 11:26:00,9,"9.5",0.56,4.7,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-07-11 11:24:00,0.1,"26",4.66,57.6,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-07-11 11:26:00,1,"23.9",4.31,51.2,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-07-11 11:38:00,2,"22.8",2.45,27.7,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-07-11 11:39:00,2.1,"22.7",1.59,17.8,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-07-11 11:40:00,3,"18.7",0.35,3.7,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
"BVR",50,2022-07-11 11:41:00,4,"14.5",0.28,2.8,"NA","NA","NA",NA,"NA",NA,0,0,0,1,1,1,1,1
