Reservoir ,Site,DateTime,Depth_m,Temp_C,DO_mgL,DOSat,Cond_uScm,SpCond_uScm,PAR_umolm2s,ORP_mV,pH,Flag_Temp,Flag_DO,Flag_DOSat,Flag_Cond,Flag_PAR,Flag_ORP,Flag_pH,Notes
BVR,50,10/24/22 11:43,7,11.2,5.54,50.3,NA,,,,,,,,,,,,
BVR,50,10/24/22 11:43,7.5,11.1,5.15,46.9,NA,,,,,,,,,,,,
FCR,100,11/8/22 14:36,0.1,13.7,9.34,88.1,NA,,,,,,,,,,,,
FCR,100,11/28/22 13:45,0.1,9,11.65,101.2,NA,,,,,,,,,,,,
FCR,200,11/28/22 13:58,0.1,10.2,10.9,97.4,NA,,,,,,,,,,,,
FCR,100,11/16/22 15:30,0.1,8.1,11.58,98.5,NA,,,,,,,,,,,,
FCR,100,12/12/22 10:41,0.1,5.8,11.58,92.5,,,,,,,,,,,,,
FCR,200,12/12/22 11:04,0.1,5.7,11.92,93.7,,,,,,,,,,,,,
CCR,501,12/12/22 12:00,0.1,9.2,11.6,98.7,,139.9,,,,,,,,,,,There is no time recorded 
CCR,301,2/28/22 12:00,0.1,8.9,11.8,100.2,,16.1,,,,,,,,,,,There is no time recorded 
CCR,201,11/17/22 9:30,0.1,8.8,11.57,97.8,,46.9,,,,,,,,,,,
CCR,201,10/22/22 10:20,0.1,12.3,9.59,87.5,,108.7,,,,,,,,,,,
CCR,301,10/22/22 11:25,0.1,12.2,10.4,94.8,,30.6,,,,,,,,,,,
CCR,301,11/17/22 11:00,0.1,9.1,12.2,102.7,,15.9,,,,,,,,,,,
CCR,501,11/17/22 10:30,0.1,7,12.87,103.3,,334.1,,,,,,,,,,,
FCR,200,11/22/22 13:32,0.1,8.2,NA,NA,,46.3,,,,,,,,,,,
FCR,100,11/22/22 13:32,0.1,7.8,10.05,NA,,25,,,,,,,,,,,
