"Reservoir","Site","DateTime","Secchi_m","Flag_DateTime","Flag_Secchi"
"BVR",50,2022-01-26 13:19:00,1.75,0,0
"BVR",50,2022-02-24 10:43:00,1.5,0,0
"BVR",50,2022-03-22 11:09:00,1.6,0,0
"BVR",50,2022-04-12 15:18:00,1.4,0,0
"BVR",50,2022-05-02 11:06:00,1.95,0,0
"BVR",50,2022-05-09 09:58:00,2.2,0,0
"BVR",50,2022-05-09 11:03:00,1.5,0,0
"BVR",50,2022-05-09 11:03:00,1.6,0,0
"BVR",50,2022-05-17 11:50:00,1.75,0,0
"BVR",40,2022-05-17 11:50:00,1.75,0,0
"BVR",50,2022-05-17 11:50:00,1.75,0,0
"BVR",50,2022-05-23 11:03:00,1.6,0,0
"BVR",50,2022-05-23 12:00:00,1.6,1,0
"BVR",50,2022-05-31 12:56:00,1,0,0
"BVR",40,2022-05-31 12:56:00,1,0,0
"BVR",50,2022-06-07 11:53:00,0.85,0,0
"BVR",40,2022-06-07 11:53:00,0.85,0,0
"BVR",50,2022-06-13 12:59:00,0.7,0,0
"BVR",50,2022-06-13 12:59:00,0.7,0,0
"BVR",50,2022-06-20 14:05:00,1.1,0,0
"BVR",50,2022-06-27 10:30:00,0.5,0,0
"BVR",50,2022-06-27 10:30:00,0.5,0,0
"BVR",50,2022-07-05 10:30:00,0.45,0,0
"BVR",40,2022-07-05 10:30:00,0.45,0,0
"BVR",50,2022-07-11 12:05:00,0.6,0,0
"BVR",50,2022-07-11 12:05:00,0.6,0,0
"BVR",50,2022-07-18 10:30:00,1.4,0,0
"BVR",40,2022-07-18 10:30:00,1.4,0,0
"BVR",50,2022-07-25 10:38:00,1.4,0,0
"BVR",50,2022-07-25 10:38:00,1.4,0,0
"BVR",50,2022-08-01 11:06:00,1.55,0,0
"BVR",50,2022-08-01 11:06:00,1.55,0,0
"BVR",50,2022-08-08 10:30:00,1.4,0,0
"BVR",50,2022-08-08 10:30:00,1.4,0,0
"BVR",50,2022-08-18 10:10:00,1.7,0,0
"BVR",50,2022-08-22 11:10:00,1.4,0,0
"BVR",50,2022-08-22 11:10:00,1.4,0,0
