attributeName	code	definition
Position	1	position of the sensor on the temperature chain
Position	10	position of the sensor on the temperature chain
Position	11	position of the sensor on the temperature chain
Position	12	position of the sensor on the temperature chain
Position	13	position of the sensor on the temperature chain
Position	2	position of the sensor on the temperature chain
Position	3	position of the sensor on the temperature chain
Position	4	position of the sensor on the temperature chain
Position	5	position of the sensor on the temperature chain
Position	6	position of the sensor on the temperature chain
Position	7	position of the sensor on the temperature chain
Position	8	position of the sensor on the temperature chain
Position	9	position of the sensor on the temperature chain
Reservoir	BVR	three letter code of the reservoir
Site	50	number of the site
