Reservoir,Site,Position,Depth_from_surface,Offset
CCR,50,1,0.1,
CCR,50,2,1,
CCR,50,3,2,
CCR,50,4,3,
CCR,50,5,4,
CCR,50,6,5,
CCR,50,7,6,
CCR,50,8,7,
CCR,50,9,8,
CCR,50,10,10,
CCR,50,11,11,
CCR,50,12,15,
CCR,50,13,19,0
