attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Flag_Temp_8	Data flag for temperature data at position 8 (ThermistorTemp_C_8)	categorical 				
Flag_Temp_9	Data flag for temperature data at position 9 (ThermistorTemp_C_9)	categorical 				
Flag_Temp_10	Data flag for temperature data at position 10 (ThermistorTemp_C_10)	categorical 				
Flag_Temp_11	Data flag for temperature data at position 11 (ThermistorTemp_C_11)	categorical 				
Flag_Temp_12	Data flag for temperature data at position 12 (ThermistorTemp_C_12)	categorical 				
Flag_Temp_13	Data flag for temperature data at position 13 (ThermistorTemp_C_13)	categorical 				
Flag_Pres_13	"Data flag for pressure sensors at position 13 (Lvl_psi_13 , Depth_m_13)"	categorical 				
Flag_EXOTemp_1	Data flag for EXO2 Temp data at 1.5 meter depth(EXOTemp_C_1)	categorical 				
Flag_EXOCond_1	Data flag for conductivity data at 1.5meter depth(EXOCond_uScm_1)	categorical 				
Flag_EXOSpCond_1	"Data flag for conductivity and specific conductivity data (EXOSpCond_uScm_1,)"	categorical 				
Flag_EXOTDS_1	Data flag for total dissolved solids data at 1.5 meter depth(EXOTDS_mgL_1)	categorical 				
Flag_EXODO_sat_1	Data flag for EXO2 dissolved oxygen saturation data at 1.5 meter depth (EXODOsat_percent_1)	categorical 				
Flag_EXODO_obs_1	Data flag for EXO2 dissolved oxygen observed data at 1.5 meter depth ( EXODO_mgL_1)	categorical 				
Flag_EXOChla_RFU_1	Data flag for chlorophyll data measured in RFU at 1.5meter depth (EXOChla_RFU_1)	categorical 				
Flag_EXOChla_ugL_1	Data flag for chlorophyll data measured in micrograms per a liter at 1.5meter depth (EXOChla_ugL_1)	categorical 				
Flag_EXOPhyco_RFU_1	Data flag for phycocyanin data measured in RFU at 1.5m depth ( EXOBGAPC_RFU_1) 	categorical 				
Flag_EXOPhyco_ugL_1	Data flag for phycocyanin data measured in micrograms per a liter at 1.5 meter depth (EXOBGAPC _ugL_1) 	categorical 				
Flag_EXOfDOM_1	"Data flag for fluorescent dissolved organic matter data at 1.5 meter depth (EXOfDOM_QSU_1, EXOfDOM_RFU_1)"	categorical 				
Flag_EXOPres_1	Data flag for EXO2 pressure sensor at 1.5 meter depth(EXO_pressure_psi_1)	categorical 				
Flag_EXOdep_1	Data flag for EXO2 depth sensor at 1.5meter depth(EXO_depth_m_1)	categorical 				
Flag_EXObat_1	Data flag for EXO2 internal battery at 1.5m depth(EXO_battery_V_1)	categorical 				
Flag_EXOcab_1	Data flag for EXO2 power cable attached from the sonde to the CR3000 datalogger(EXO_cablepower_V_1)	categorical 				
Flag_EXOwip_1	Data flag for the EXO2 wiper at 1.5 meter depth(EXO_wiper_V_1)	categorical 				
Flag_EXOTemp_9	Data flag for EXO3 Temp data at 9 meter depth(EXOTemp_C_9)	categorical 				
Flag_EXOCond_9	Data flag for conductivity data at 9 meter depth (EXOCond_uScm_9)	categorical 				
Flag_EXOSpCond_9	Data flag for conductivity and specific conductivity data (EXOSpCond_uScm_9)	categorical 				
Flag_EXOTDS_9	Data flag for total dissolved solids data at 9 meter depth(EXOTDS_mgL_9)	categorical 				
Flag_EXODO_sat_9	Data flag for EXO3 dissolved oxygen saturation data at 9 meter depth (EXODOsat_percent_9)	categorical 				
Flag_EXODO_obs_9	Data flag for EXO3 dissolved oxygen observed data at 9 meter depth ( EXODO_mgL_9)	categorical 				
Flag_EXOfDOM_9	"Data flag for fluorescent dissolved organic matter data at 9 meter depth (EXOfDOM_QSU_9, EXOfDOM_RFU_9)"	categorical 				
Flag_EXOPres_9	Data flag for EXO3 pressure sensor at 9 meter depth(EXO_pressure_psi_9)	categorical 				
Flag_EXOdep_9	Data flag for EXO3 depth sensor at 9 meter depth(EXO_depth_m_9)	categorical 				
Flag_EXObat_9	Data flag for EXO3 internal battery at 9meter depth(EXO_battery_V_9)	categorical 				
Flag_EXOcab_9	Data flag for EXO3 power cable attached from the sonde to the CR3000 datalogger(EXO_cablepower_V_9)	categorical 				
Flag_EXOwip_9	Data flag for the EXO3 wiper at 9 meter depth(EXO_wiper_V_9)	categorical 				
