"Reservoir","Site","DateTime","Depth_m","Rep","RunDate","TP_ugL","TN_ugL","Notes_lachat","Flag_DateTime","Flag_TP","Flag_TN"
"FCR",100.1,"2022-04-19 12:00:00",0.1,1,"2/23/23",149,497,"Flag_DateTime",1,"0",0
"FCR",100.1,"2022-05-02 16:22:00",0.1,1,"2/23/23",40.8,354,"",0,"0",0
"FCR",100.1,"2022-05-09 09:45:00",0.1,1,"2/23/23",2.7,325.6,"",0,"3",0
"FCR",100.1,"2022-05-17 16:34:00",0.1,1,"2/23/23",126,161,"",0,"0",0
"FCR",100.1,"2022-05-23 13:12:00",0.1,1,"2/23/23",79,371,"",0,"0",0
"FCR",100.1,"2022-06-07 15:27:00",0.1,1,"2/23/23",23.2,292,"",0,"0",0
"FCR",100.1,"2022-06-20 10:49:00",0.1,1,"3/20/23",146,837,"",0,"0",0
"FCR",100.1,"2022-06-27 13:06:00",0.1,1,"3/20/23",65.1,719,"",0,"0",0
"FCR",100.1,"2022-07-05 10:11:00",0.1,1,"3/20/23",102,682,"",0,"0",0
"FCR",100.1,"2022-07-18 10:00:00",0.1,1,"3/20/23",175.2,1080,"",0,"0",0
"FCR",100.1,"2022-08-29 10:53:00",0.1,1,"3/22/23",141,828,"",0,"0",0
"FCR",100.1,"2022-09-13 13:10:00",0.1,1,"3/22/23",532,3168,"",0,"0",0
"FCR",100.1,"2022-09-26 13:34:00",0.1,1,"3/22/23",69.2,339,"",0,"0",0
"FCR",100.1,"2022-10-03 14:00:00",0.1,1,"3/20/23",200,1050,"",0,"0",0
"FCR",100.1,"2022-10-17 13:08:00",0.1,1,"3/22/23",105,526,"",0,"0",0
"FCR",100.1,"2022-11-08 12:00:00",0.1,1,"3/22/23",56.7,313,"Flag_DateTime",1,"0",0
"FCR",100.1,"2022-11-16 15:15:00",0.1,1,"3/22/23",116,547,"",0,"0",0
"FCR",100.1,"2022-11-28 13:40:00",0.1,1,"3/20/23",55.1,232,"",0,"0",0
"FCR",100.1,"2022-12-12 11:04:00",0.1,1,"3/22/23",47,226,"",0,"0",0
