Reservoir,Site,DateTime,Depth_m,Rep,TN_ugL,TP_ugL,Flag_DateTime,Flag_TN,Flag_TP
FCR,100.1,2019-08-12 12:00:00,0.1,1,730.5,122.2,1,0,0
FCR,100.1,2019-08-12 12:00:00,0.1,2,827,159.3,1,0,0
FCR,100.1,2019-09-11 12:00:00,0.1,1,357,51.8,1,0,0
FCR,100.1,2019-09-11 12:00:00,0.1,2,96,20.3,1,0,0
FCR,100.1,2019-09-27 12:00:00,0.1,1,490.5,74.9,1,0,0
FCR,100.1,2019-09-27 12:00:00,0.1,2,411,66.9,1,0,0
FCR,100.1,2019-10-04 12:00:00,0.1,1,528,79.7,1,0,0
FCR,100.1,2019-10-04 12:00:00,0.1,2,308,81.2,1,0,0
FCR,100.1,2019-10-11 12:00:00,0.1,1,472.5,80.2,1,0,0
FCR,100.1,2019-10-11 12:00:00,0.1,2,320,92,1,0,0
FCR,100.1,2019-10-16 12:00:00,0.1,1,461,91.2,1,0,0
FCR,100.1,2019-10-16 12:00:00,0.1,2,387,74.6,1,0,0
FCR,100.1,2019-10-23 12:00:00,0.1,1,624,113.3,1,0,0
FCR,100.1,2019-10-23 12:00:00,0.1,2,452,117.2,1,0,0
FCR,100.1,2019-10-30 12:00:00,0.1,1,383,99.5,1,0,0
FCR,100.1,2019-10-30 12:00:00,0.1,2,708,108,1,0,0
FCR,100.1,2019-11-08 12:00:00,0.1,1,654,127.1,1,0,0
FCR,100.1,2019-11-08 12:00:00,0.1,2,726,120,1,0,0
FCR,100.1,2019-11-20 12:00:00,0.1,1,275,83.3,1,0,0
FCR,100.1,2019-11-20 12:00:00,0.1,2,284,77.1,1,0,0
FCR,100.1,2020-03-24 12:00:00,0.1,1,774,120,1,0,3
FCR,100.1,2020-04-20 12:00:00,0.1,1,592,105.1,1,3,3
FCR,100.1,2020-05-11 12:00:00,0.1,1,590,97.6,1,3,0
FCR,100.1,2020-05-25 12:00:00,0.1,1,569,97.4,1,3,0
FCR,100.1,2020-06-08 12:00:00,0.1,1,381,71.2,1,3,0
FCR,100.1,2020-06-22 12:00:00,0.1,1,508,98.4,1,3,0
FCR,100.1,2020-07-06 12:00:00,0.1,1,184,22.8,1,3,3
FCR,100.1,2020-07-06 12:00:00,0.1,2,225,28.6,1,3,3
FCR,100.1,2020-07-20 12:00:00,0.1,1,374,54.8,1,3,3
FCR,100.1,2020-07-20 12:00:00,0.1,2,669,97.6,1,3,0
FCR,100.1,2020-08-10 12:00:00,0.1,1,682,98.4,1,3,0
FCR,100.1,2020-08-10 12:00:00,0.1,2,1160,271.5,1,3,3
FCR,100.1,2020-09-02 12:00:00,0.1,1,1036,135,1,3,3
FCR,100.1,2020-09-02 12:00:00,0.1,2,822,131,1,0,3
FCR,100.1,2020-09-15 12:00:00,0.1,1,558,55.3,1,3,3
FCR,100.1,2020-09-15 12:00:00,0.1,2,655,90.2,1,3,0
FCR,100.1,2020-09-30 12:00:00,0.1,1,962,144,1,0,3
FCR,100.1,2020-10-05 12:00:00,0.1,1,922,140,1,0,3
FCR,100.1,2020-11-02 12:00:00,0.1,1,684,114,1,3,3
FCR,100.1,2020-11-09 12:00:00,0.1,1,295,57,1,3,3
FCR,100.1,2021-04-16 15:37:00,0.1,1,1190,314.4,1,3,0
FCR,100.1,2021-04-26 15:05:00,0.1,2,586,113,1,3,0
FCR,100.1,2021-05-06 15:30:00,0.1,1,1200,258.4,1,3,0
FCR,100.1,2021-05-24 14:40:00,0.1,1,832,153,1,0,0
FCR,100.1,2021-06-07 13:50:00,0.1,1,353.4,90,1,3,0
FCR,100.1,2021-06-21 13:20:00,0.1,1,540,106.2,1,3,0
FCR,100.1,2021-07-12 11:35:00,0.1,1,379.5,14.8,1,3,0
FCR,100.1,2021-07-21 12:00:00,0.1,1,1936,364.1,1,3,0
FCR,100.1,2021-08-02 13:00:00,0.1,2,2816,422.4,1,3,0
FCR,100.1,2021-08-16 13:49:00,0.1,1,3872,721.6,1,3,0
FCR,100.1,2021-08-31 13:38:00,0.1,1,1110,301.8,1,3,0
FCR,100.1,2021-09-14 16:19:00,0.1,1,750,187.2,1,3,0
FCR,100.1,2021-09-27 14:25:00,0.1,1,876,141.6,1,0,0
FCR,100.1,2021-10-11 15:15:00,0.1,1,389,47.1,1,3,0
FCR,100.1,2021-10-25 14:40:00,0.1,1,312,58.8,1,3,0
FCR,100.1,2021-11-08 13:20:00,0.1,1,1212,191.6,1,3,0
FCR,100.1,2021-11-22 12:00:00,0.1,1,649,134,1,3,0
