"Reservoir","Site","DateTime","Depth_m","Rep","TN_ugL","TP_ugL","NH4_ugL","NO3NO2_ugL","SRP_ugL","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_DateTime","Flag_TN_ugL","Flag_TP_ugL","Flag_NH4_ugL","Flag_NO3NO2_ugL","Flag_SRP_ugL","Flag_DOC_mgL","Flag_DIC_mgL","Flag_DC_mgL","Flag_DN_mgL"
"BVR",50,2014-04-04 12:00:00,0.1,"1",244,16,7,4,4,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-04-04 12:00:00,4,"1",225,15.1,9,4,4,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-04-04 12:00:00,8,"1",224,12,7,4,3,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-04-04 12:00:00,12,"1",211,16.5,7,1,1,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-04-16 12:00:00,0.1,"1",347,13.5,7,3,2,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-04-16 12:00:00,4,"1",326,15.8,14,3,3,2.2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-04-16 12:00:00,8,"1",279,15.8,14,6,3,2.2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-04-16 12:00:00,12,"1",295,11,25,3,2,2.3,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-04-30 12:00:00,0.1,"1",195,7.3,49,6,NA,0.2,NA,NA,NA,1,0,0,0,0,1,3,1,1,1
"BVR",50,2014-04-30 12:00:00,4,"1",206,6.1,13,6,6,2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-04-30 12:00:00,8,"1",191,9.2,12,8,2,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-04-30 12:00:00,12,"1",320,19.9,77,3,5,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-05-14 12:00:00,0.1,"1",202,9.6,8,4,2,2.1,NA,NA,NA,1,0,0,6,6,6,6,1,1,1
"BVR",50,2014-05-14 12:00:00,4,"1",211,9.1,7,0,3,2.1,NA,NA,NA,1,0,0,6,6,6,6,1,1,1
"BVR",50,2014-05-14 12:00:00,8,"1",182,7.6,11,4,3,2.1,NA,NA,NA,1,0,0,6,6,6,6,1,1,1
"BVR",50,2014-05-14 12:00:00,12,"1",219,7,58,4,2,2.1,NA,NA,NA,1,0,0,6,6,6,6,1,1,1
"BVR",50,2014-05-29 12:00:00,0.1,"1",199,5.9,3,3,3,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-05-29 12:00:00,4,"1",192,6.5,6,4,3,2.2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-05-29 12:00:00,8,"1",160,5.8,5,4,4,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-05-29 12:00:00,12,"1",378,26.8,58,2,5,2.9,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-06-04 12:00:00,0.1,"1",171,4.8,5,3,NA,2.3,NA,NA,NA,1,0,0,0,0,1,0,1,1,1
"BVR",50,2014-06-04 12:00:00,4,"1",166,5.2,7,3,3,2.4,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-06-04 12:00:00,8,"1",169,4.3,6,3,7,2.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-06-04 12:00:00,12,"1",696,30.5,377,4,NA,3.8,NA,NA,NA,1,0,0,0,0,1,0,1,1,1
"BVR",50,2014-06-18 12:00:00,0.1,"1",150.6,8.5,6,4,2,2.3,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-06-18 12:00:00,4,"1",136.7,7.6,5,3,2,2.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-06-18 12:00:00,8,"1",125.9,8.8,9,3,2,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-06-18 12:00:00,12,"1",1304.6,37.2,1040,3,13,4.4,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-06-25 12:00:00,0.1,"1",231,13.6,3,3,3,2.3,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-06-25 12:00:00,4,"1",253,15.5,4,3,3,2.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-06-25 12:00:00,8,"1",221,21.3,4,2,2,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-06-25 12:00:00,12,"1",NA,NA,1780,3,13,5.8,NA,NA,NA,1,1,1,0,0,0,0,1,1,1
"BVR",50,2014-07-02 12:00:00,0.1,"1",266,13.7,6,1,7,2.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-07-02 12:00:00,4,"1",215,12.2,12,1,5,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-07-02 12:00:00,8,"1",538,62.3,10,1,5,2.8,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-07-02 12:00:00,12,"1",1710,49,1380,5,24,5.8,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-07-09 12:00:00,0.1,"1",247,13.1,3,1,7,2.4,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-07-09 12:00:00,4,"1",209,12.9,4,1,9,2.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-07-09 12:00:00,8,"1",419,40.4,5,1,7,2.9,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-07-09 12:00:00,12,"1",1720,50.2,1340,7,32,5.3,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-07-16 12:00:00,0.1,"1",254.4,13,2,1,7,2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-07-16 12:00:00,4,"1",205.3,13.7,5,1,4,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-07-16 12:00:00,8,"1",320.2,29.7,2,2,6,3.2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-07-16 12:00:00,12,"1",950,32.3,658,3,17,4.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-07-23 12:00:00,0.1,"1",248,12.6,4,0,7,NA,NA,NA,NA,1,0,0,0,3,0,1,1,1,1
"BVR",50,2014-07-23 12:00:00,4,"1",240,15.8,5,1,6,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-07-23 12:00:00,8,"1",338,33,7,1,7,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-07-23 12:00:00,12,"1",2160,68.4,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,1,1,1
"BVR",50,2014-07-30 12:00:00,0.1,"1",NA,NA,38,5,4,NA,NA,NA,NA,1,1,1,0,0,0,1,1,1,1
"BVR",50,2014-07-30 12:00:00,4,"1",157.6,10.4,12,3,4,2.7,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-07-30 12:00:00,8,"1",313.1,26.3,24,2,4,3.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-07-30 12:00:00,12,"1",845.8,26.7,543,3,9,5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
