Reservoir,Site,Position,Offset,Distance_above_sediments
BVR,50,1,11.82,12.5
BVR,50,2,11.478,11.5
BVR,50,3,10.45,10.5
BVR,50,4,9.405,9.5
BVR,50,5,8.36,8.5
BVR,50,6,7.315,7.5
BVR,50,7,6.27,6.5
BVR,50,8,5.225,5.5
BVR,50,9,4.18,4.5
BVR,50,10,3.135,3.5
BVR,50,11,2.09,2.5
BVR,50,12,1.045,1.5
BVR,50,13,0.00,0.5
