Reservoir,Site,Position,Offset,Distance_above_sediments
BVR,50,1,11.82,12.5
BVR,50,2,11.478,11.5
BVR,50,3,10.44,10.5
BVR,50,4,9.402,9.5
BVR,50,5,8.364,8.5
BVR,50,6,7.326,7.5
BVR,50,7,6.288,6.5
BVR,50,8,5.25,5.5
BVR,50,9,4.212,4.5
BVR,50,10,3.174,3.5
BVR,50,11,2.136,2.5
BVR,50,12,1.098,1.5
BVR,50,13,0.06,0.5
