Advanced Calibration Data
,Temperature,date,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9
,,,0,0,0,0,0,0,0,0,0
,Pressure,date,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9
,,26-Jul-2012 19:21:15,0,-0.00018900001305155456,0.9953789710998535,-0.000032000003557186574,0.0035760002210736275,0.34736597537994385,0,1,0
,Power,date,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9
,,,1,0,0,0,0,0,0,0,0
,DO,date,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9
,,,1,0,0,0,0,0,0,0,0
,DO Temp,date,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9
,,,1,0,0,0,0,0,0,0,0

Field Calibration Data
,Temperature,date,coef1,coef2,coef3,coef4,coef5
,,,1,0,0,0,0
,Pressure,date,coef1,coef2,coef3,coef4,coef5
,,,1,0,0,0,0
,Power,date,coef1,coef2,coef3,coef4,coef5
,,,1,0,0,0,0
,DO,date,coef1,coef2,coef3,coef4,coef5
,,19-Feb-2018 12:38:03,1,0.12999999523162842,0,0,0
,DO Temp,date,coef1,coef2,coef3,coef4,coef5
,,,1,0,0,0,0

Sensor/File information
Sensor SN,0021230019,,Modbus Addr.,1
Sensor Type,DO2,,Initialized w/fw Rev,v2.130
Sensor Name,FCR DO (1)
File Name,FCR_DO_8m_20210416

# Records,4825
Statistical Data,,Temperature (°C),Pressure (psi),Power (V),DO (ppm),DO Temp (°C)
63,17-Apr-2021 03:55:15,7.500,26.297,12.549,4.730,7.42
64,17-Apr-2021 04:10:15,7.500,26.293,12.519,4.830,7.43
65,17-Apr-2021 04:25:15,7.500,26.291,12.519,4.590,7.43
66,17-Apr-2021 04:40:15,7.500,26.290,12.519,4.630,7.43
67,17-Apr-2021 04:55:15,7.563,26.281,12.519,5.010,7.44
68,17-Apr-2021 05:10:15,7.563,26.263,12.490,4.890,7.42
69,17-Apr-2021 05:25:15,7.563,26.294,12.490,4.230,7.41
70,17-Apr-2021 05:40:15,7.563,26.270,12.460,4.130,7.42
71,17-Apr-2021 05:55:15,7.500,26.277,12.460,4.350,7.43
72,17-Apr-2021 06:10:15,7.500,26.300,12.490,4.910,7.45
73,17-Apr-2021 06:25:15,7.563,26.295,12.460,5.100,7.45
74,17-Apr-2021 06:40:15,7.563,26.282,12.460,4.940,7.45
75,17-Apr-2021 06:55:15,7.563,26.281,12.460,5.020,7.45
76,17-Apr-2021 07:10:15,7.563,26.281,12.460,5.220,7.46
77,17-Apr-2021 07:25:15,7.500,26.289,12.460,5.150,7.45
78,17-Apr-2021 07:40:15,7.500,26.296,12.490,4.890,7.45
79,17-Apr-2021 07:55:15,7.500,26.303,12.519,5.130,7.47
80,17-Apr-2021 08:10:15,7.563,26.290,12.490,5.370,7.49
81,17-Apr-2021 08:25:15,7.563,26.288,12.579,5.560,7.53
82,17-Apr-2021 08:40:15,7.563,26.297,12.668,5.620,7.55
83,17-Apr-2021 08:55:15,7.625,26.295,12.728,5.790,7.57
84,17-Apr-2021 09:10:15,7.625,26.298,12.728,5.770,7.58
85,17-Apr-2021 09:25:15,7.625,26.269,12.847,5.760,7.57
86,17-Apr-2021 09:40:15,7.688,26.281,12.996,5.760,7.56
87,17-Apr-2021 09:55:15,7.625,26.286,13.086,5.140,7.44
88,17-Apr-2021 10:10:15,7.625,26.282,13.205,4.930,7.43
89,17-Apr-2021 10:25:15,7.625,26.278,13.235,4.780,7.42
90,17-Apr-2021 10:40:15,7.625,26.267,13.473,4.760,7.42
91,17-Apr-2021 10:55:15,7.625,26.287,13.563,4.680,7.42
92,17-Apr-2021 11:10:15,7.625,26.299,13.414,4.530,7.43
93,17-Apr-2021 11:25:15,7.625,26.293,13.622,4.990,7.45
94,17-Apr-2021 11:40:15,7.625,26.242,13.801,5.010,7.45
95,17-Apr-2021 11:55:15,7.625,26.258,13.771,4.980,7.44
96,17-Apr-2021 12:10:15,7.625,26.274,13.414,4.830,7.44
97,17-Apr-2021 12:25:15,7.563,26.282,13.920,4.860,7.43
98,17-Apr-2021 12:40:15,7.625,26.283,13.950,4.820,7.43
99,17-Apr-2021 12:55:15,7.625,26.280,13.920,4.820,7.43
100,17-Apr-2021 13:10:15,7.625,26.237,13.920,4.770,7.43
101,17-Apr-2021 13:25:15,7.625,26.256,13.920,4.790,7.44
102,17-Apr-2021 13:40:15,7.625,26.264,13.950,4.980,7.45
103,17-Apr-2021 13:55:15,7.625,26.252,13.384,4.890,7.46
104,17-Apr-2021 14:10:15,7.688,26.258,13.950,4.910,7.45
105,17-Apr-2021 14:25:15,7.625,26.249,13.920,4.520,7.43
106,17-Apr-2021 14:40:15,7.563,26.256,13.920,4.550,7.42
107,17-Apr-2021 14:55:15,7.563,26.252,13.920,4.570,7.42
108,17-Apr-2021 15:10:15,7.563,26.267,13.563,4.470,7.42
109,17-Apr-2021 15:25:15,7.563,26.258,13.950,4.680,7.44
110,17-Apr-2021 15:40:15,7.625,26.235,13.920,4.910,7.48
111,17-Apr-2021 15:55:15,7.625,26.253,13.384,5.020,7.45
112,17-Apr-2021 16:10:15,7.625,26.257,13.920,4.700,7.42
113,17-Apr-2021 16:25:15,7.563,26.215,13.533,4.290,7.41
114,17-Apr-2021 16:40:15,7.563,26.245,13.920,4.350,7.42
115,17-Apr-2021 16:55:15,7.563,26.240,13.265,4.650,7.45
116,17-Apr-2021 17:10:15,7.563,26.221,13.026,5.070,7.47
117,17-Apr-2021 17:25:15,7.563,26.240,12.966,4.540,7.42
118,17-Apr-2021 17:40:15,7.563,26.257,12.907,4.480,7.43
119,17-Apr-2021 17:55:15,7.563,26.247,12.877,4.670,7.44
120,17-Apr-2021 18:10:15,7.563,26.226,12.877,4.720,7.42
121,17-Apr-2021 18:25:15,7.563,26.192,12.817,4.600,7.41
122,17-Apr-2021 18:40:15,7.563,26.233,12.847,4.740,7.42
123,17-Apr-2021 18:55:15,7.563,26.241,12.847,4.750,7.44
124,17-Apr-2021 19:10:15,7.563,26.248,12.817,4.860,7.45
125,17-Apr-2021 19:25:15,7.563,26.236,12.817,5.080,7.46
126,17-Apr-2021 19:40:15,7.563,26.230,12.788,4.770,7.43
127,17-Apr-2021 19:55:15,7.563,26.228,12.788,4.730,7.44
128,17-Apr-2021 20:10:15,7.500,26.240,12.788,4.860,7.45
129,17-Apr-2021 20:25:15,7.563,26.259,12.788,4.900,7.45
130,17-Apr-2021 20:40:15,7.563,26.257,12.758,5.010,7.47
131,17-Apr-2021 20:55:15,7.563,26.236,12.758,5.110,7.49
132,17-Apr-2021 21:10:15,7.563,26.294,12.788,5.340,7.52
133,17-Apr-2021 21:25:15,7.625,26.259,12.758,5.600,7.56
134,17-Apr-2021 21:40:15,7.625,26.267,12.758,5.770,7.59
135,17-Apr-2021 21:55:15,7.625,26.258,12.758,5.840,7.61
136,17-Apr-2021 22:10:15,7.625,26.244,12.728,5.880,7.60
137,17-Apr-2021 22:25:15,7.625,26.299,12.758,5.810,7.59
138,17-Apr-2021 22:40:15,7.625,26.269,12.758,5.630,7.52
139,17-Apr-2021 22:55:15,7.625,26.278,12.758,4.530,7.41
140,17-Apr-2021 23:10:15,7.625,26.281,12.728,4.480,7.42
141,17-Apr-2021 23:25:15,8.563,26.325,12.728,4.720,7.48
142,17-Apr-2021 23:40:15,7.625,26.273,12.698,4.850,7.47
143,17-Apr-2021 23:55:15,7.625,26.288,12.728,4.930,7.48
144,18-Apr-2021 00:10:15,7.625,26.287,12.728,5.080,7.50
145,18-Apr-2021 00:25:15,7.625,26.290,12.728,5.150,7.50
146,18-Apr-2021 00:40:15,7.625,26.289,12.698,5.360,7.52
147,18-Apr-2021 00:55:15,7.625,26.262,12.698,5.120,7.47
148,18-Apr-2021 01:10:15,7.688,26.267,12.698,4.820,7.44
149,18-Apr-2021 01:25:15,7.688,26.274,12.698,4.590,7.40
150,18-Apr-2021 01:40:15,7.688,26.281,12.698,4.130,7.37
151,18-Apr-2021 01:55:15,7.625,26.280,12.668,4.030,7.36
152,18-Apr-2021 02:10:15,7.625,26.304,12.698,4.030,7.37
153,18-Apr-2021 02:25:15,7.563,26.285,12.698,4.280,7.40
154,18-Apr-2021 02:40:15,7.563,26.286,12.698,4.440,7.41
155,18-Apr-2021 02:55:15,7.500,26.298,12.698,4.650,7.41
156,18-Apr-2021 03:10:15,7.563,26.299,12.668,4.720,7.42
157,18-Apr-2021 03:25:15,7.563,26.294,12.668,4.720,7.42
158,18-Apr-2021 03:40:15,7.563,26.272,12.668,4.570,7.42
159,18-Apr-2021 03:55:15,7.563,26.292,12.668,4.540,7.42
160,18-Apr-2021 04:10:15,7.563,26.280,12.639,4.350,7.44
161,18-Apr-2021 04:25:15,7.563,26.291,12.639,4.230,7.44
162,18-Apr-2021 04:40:15,7.500,26.310,12.639,4.130,7.44
163,18-Apr-2021 04:55:15,7.500,26.306,12.639,4.520,7.45
164,18-Apr-2021 05:10:15,7.563,26.297,12.639,4.730,7.44
165,18-Apr-2021 05:25:15,7.500,26.296,12.639,4.740,7.44
166,18-Apr-2021 05:40:15,7.563,26.304,12.639,4.720,7.45
167,18-Apr-2021 05:55:15,7.563,26.293,12.639,4.750,7.45
168,18-Apr-2021 06:10:15,7.563,26.284,12.639,4.840,7.47
169,18-Apr-2021 06:25:15,7.563,26.257,12.609,4.950,7.48
170,18-Apr-2021 06:40:15,7.563,26.310,12.639,4.960,7.48
171,18-Apr-2021 06:55:15,7.563,26.314,12.609,4.910,7.48
172,18-Apr-2021 07:10:15,7.563,26.296,12.579,4.880,7.48
173,18-Apr-2021 07:25:15,7.563,26.317,12.609,4.970,7.48
174,18-Apr-2021 07:40:15,7.563,26.327,12.609,5.110,7.49
175,18-Apr-2021 07:55:15,7.563,26.313,12.609,5.150,7.51
176,18-Apr-2021 08:10:15,7.563,26.316,12.639,5.230,7.52
177,18-Apr-2021 08:25:15,7.563,26.318,12.698,5.320,7.52
178,18-Apr-2021 08:40:15,7.563,26.320,12.668,5.330,7.54
179,18-Apr-2021 08:55:15,7.563,26.317,12.698,5.400,7.54
180,18-Apr-2021 09:10:15,7.563,26.308,12.698,5.400,7.54
181,18-Apr-2021 09:25:15,7.563,26.327,12.728,5.290,7.54
182,18-Apr-2021 09:40:15,7.563,26.324,12.788,5.210,7.54
183,18-Apr-2021 09:55:15,7.563,26.330,12.847,5.360,7.53
184,18-Apr-2021 10:10:15,7.625,26.325,12.817,5.400,7.52
185,18-Apr-2021 10:25:15,7.625,26.315,12.877,5.230,7.52
186,18-Apr-2021 10:40:15,7.625,26.314,12.877,5.370,7.52
187,18-Apr-2021 10:55:15,7.625,26.318,12.907,5.130,7.51
188,18-Apr-2021 11:10:15,7.625,26.304,12.847,5.140,7.49
189,18-Apr-2021 11:25:15,7.625,26.324,12.877,5.110,7.50
190,18-Apr-2021 11:40:15,7.625,26.309,12.877,5.150,7.46
191,18-Apr-2021 11:55:15,7.625,26.315,12.966,4.670,7.43
192,18-Apr-2021 12:10:15,7.625,26.297,13.026,4.280,7.41
193,18-Apr-2021 12:25:15,7.625,26.315,13.294,4.210,7.40
194,18-Apr-2021 12:40:15,7.625,26.308,13.891,4.340,7.43
195,18-Apr-2021 12:55:15,7.625,26.308,13.175,4.840,7.45
196,18-Apr-2021 13:10:15,7.625,26.302,13.533,4.220,7.42
197,18-Apr-2021 13:25:15,7.625,26.285,13.116,4.490,7.45
198,18-Apr-2021 13:40:15,7.625,26.298,13.116,5.050,7.51
199,18-Apr-2021 13:55:15,7.625,26.303,13.473,5.030,7.48
200,18-Apr-2021 14:10:15,7.625,26.302,13.175,4.630,7.42
201,18-Apr-2021 14:25:15,7.625,26.289,13.145,4.350,7.40
202,18-Apr-2021 14:40:15,7.625,26.296,13.145,4.320,7.41
203,18-Apr-2021 14:55:15,7.625,26.294,13.175,4.150,7.42
204,18-Apr-2021 15:10:15,7.688,26.285,13.145,4.420,7.44
205,18-Apr-2021 15:25:15,7.688,26.281,13.145,4.580,7.45
206,18-Apr-2021 15:40:15,7.625,26.273,13.145,4.920,7.47
207,18-Apr-2021 15:55:15,7.688,26.280,13.145,4.610,7.42
208,18-Apr-2021 16:10:15,7.625,26.276,13.145,4.390,7.41
209,18-Apr-2021 16:25:15,7.563,26.288,13.205,4.250,7.40
210,18-Apr-2021 16:40:15,7.563,26.283,13.175,4.260,7.42
211,18-Apr-2021 16:55:15,7.563,26.289,13.175,4.900,7.50
212,18-Apr-2021 17:10:15,7.625,26.287,13.175,5.180,7.52
213,18-Apr-2021 17:25:15,7.625,26.291,13.205,4.920,7.45
214,18-Apr-2021 17:40:15,7.688,26.295,13.205,4.260,7.41
215,18-Apr-2021 17:55:15,7.625,26.291,13.205,4.220,7.41
216,18-Apr-2021 18:10:15,7.563,26.284,13.175,4.450,7.43
217,18-Apr-2021 18:25:15,7.500,26.293,13.205,4.460,7.44
218,18-Apr-2021 18:40:15,7.500,26.295,13.026,4.500,7.45
219,18-Apr-2021 18:55:15,7.500,26.286,12.996,4.490,7.44
220,18-Apr-2021 19:10:15,8.500,26.308,12.877,4.460,7.49
221,18-Apr-2021 19:25:15,7.563,26.278,12.847,4.650,7.48
222,18-Apr-2021 19:40:15,7.563,26.285,12.817,4.780,7.48
223,18-Apr-2021 19:55:15,7.563,26.284,12.788,4.830,7.50
224,18-Apr-2021 20:10:15,7.625,26.286,12.788,4.960,7.48
225,18-Apr-2021 20:25:15,7.625,26.294,12.788,4.910,7.48
226,18-Apr-2021 20:40:15,7.625,26.281,12.758,5.160,7.50
227,18-Apr-2021 20:55:15,7.625,26.285,12.758,5.220,7.53
228,18-Apr-2021 21:10:15,7.625,26.288,12.728,5.340,7.57
229,18-Apr-2021 21:25:15,7.625,26.297,12.758,5.510,7.60
230,18-Apr-2021 21:40:15,7.688,26.304,12.728,5.690,7.64
231,18-Apr-2021 21:55:15,7.625,26.286,12.698,5.760,7.64
232,18-Apr-2021 22:10:15,7.625,26.295,12.728,5.700,7.63
233,18-Apr-2021 22:25:15,7.688,26.295,12.728,5.830,7.65
234,18-Apr-2021 22:40:15,7.688,26.296,12.728,5.900,7.67
235,18-Apr-2021 22:55:15,7.750,26.290,12.698,5.950,7.68
236,18-Apr-2021 23:10:15,7.750,26.313,12.698,4.150,7.45
237,18-Apr-2021 23:25:15,7.750,26.313,12.728,4.160,7.41
238,18-Apr-2021 23:40:15,7.750,26.313,12.728,4.150,7.42
239,18-Apr-2021 23:55:15,7.688,26.308,12.698,4.270,7.42
240,19-Apr-2021 00:10:15,7.688,26.310,12.698,4.520,7.44
241,19-Apr-2021 00:25:15,7.625,26.306,12.698,4.720,7.47
242,19-Apr-2021 00:40:15,7.625,26.291,12.698,4.920,7.51
243,19-Apr-2021 00:55:15,7.625,26.295,12.668,4.870,7.51
244,19-Apr-2021 01:10:15,7.625,26.292,12.668,4.940,7.52
245,19-Apr-2021 01:25:15,7.625,26.290,12.698,4.810,7.48
246,19-Apr-2021 01:40:15,8.563,26.313,12.639,4.720,7.53
247,19-Apr-2021 01:55:15,7.688,26.305,12.668,4.190,7.50
248,19-Apr-2021 02:10:15,7.688,26.291,12.668,3.970,7.49
249,19-Apr-2021 02:25:15,7.625,26.297,12.668,4.010,7.49
250,19-Apr-2021 02:40:15,7.625,26.291,12.668,4.110,7.49
251,19-Apr-2021 02:55:15,7.625,26.291,12.668,4.320,7.45
252,19-Apr-2021 03:10:15,7.625,26.289,12.639,4.380,7.45
253,19-Apr-2021 03:25:15,7.563,26.313,12.668,4.570,7.46
254,19-Apr-2021 03:40:15,7.625,26.306,12.639,4.770,7.48
255,19-Apr-2021 03:55:15,7.563,26.307,12.639,4.860,7.50
256,19-Apr-2021 04:10:15,7.625,26.316,12.639,4.970,7.51
257,19-Apr-2021 04:25:15,7.625,26.312,12.639,4.960,7.52
258,19-Apr-2021 04:40:15,7.563,26.298,12.609,4.990,7.52
259,19-Apr-2021 04:55:15,7.563,26.275,12.579,4.550,7.51
260,19-Apr-2021 05:10:15,7.563,26.313,12.609,4.300,7.49
261,19-Apr-2021 05:25:15,7.563,26.312,12.609,4.300,7.48
262,19-Apr-2021 05:40:15,7.563,26.319,12.609,4.620,7.50
263,19-Apr-2021 05:55:15,7.625,26.318,12.579,4.680,7.50
264,19-Apr-2021 06:10:15,7.625,26.309,12.579,4.830,7.51
265,19-Apr-2021 06:25:15,7.563,26.293,12.579,5.040,7.53
266,19-Apr-2021 06:40:15,7.625,26.318,12.609,5.340,7.55
267,19-Apr-2021 06:55:15,7.625,26.302,12.579,5.270,7.55
268,19-Apr-2021 07:10:15,7.563,26.300,12.579,5.160,7.53
269,19-Apr-2021 07:25:15,7.563,26.316,12.579,5.110,7.54
270,19-Apr-2021 07:40:15,7.563,26.314,12.579,5.260,7.55
271,19-Apr-2021 07:55:15,7.563,26.294,12.579,5.270,7.55
272,19-Apr-2021 08:10:15,7.625,26.308,12.579,5.350,7.57
273,19-Apr-2021 08:25:15,7.625,26.316,12.639,5.420,7.59
274,19-Apr-2021 08:40:15,7.625,26.316,12.788,5.450,7.59
275,19-Apr-2021 08:55:15,7.625,26.316,12.817,5.450,7.59
276,19-Apr-2021 09:10:15,7.688,26.313,12.937,5.450,7.58
277,19-Apr-2021 09:25:15,7.688,26.317,13.116,5.470,7.60
278,19-Apr-2021 09:40:15,7.688,26.320,13.086,5.580,7.61
279,19-Apr-2021 09:55:15,7.688,26.321,13.235,5.650,7.63
280,19-Apr-2021 10:10:15,7.750,26.317,13.265,5.570,7.60
281,19-Apr-2021 10:25:15,7.750,26.319,13.294,5.170,7.53
282,19-Apr-2021 10:40:15,7.750,26.318,13.682,4.060,7.45
283,19-Apr-2021 10:55:15,7.750,26.309,13.354,3.920,7.43
284,19-Apr-2021 11:10:15,7.750,26.307,13.622,3.820,7.41
285,19-Apr-2021 11:25:15,7.688,26.299,13.205,4.030,7.42
286,19-Apr-2021 11:40:15,7.688,26.305,13.056,4.110,7.43
287,19-Apr-2021 11:55:15,7.625,26.314,13.026,3.900,7.43
288,19-Apr-2021 12:10:15,7.625,26.314,13.026,3.700,7.43
289,19-Apr-2021 12:25:15,7.625,26.304,13.086,3.840,7.43
290,19-Apr-2021 12:40:15,7.625,26.295,13.920,4.480,7.49
291,19-Apr-2021 12:55:15,7.625,26.302,13.920,4.540,7.47
292,19-Apr-2021 13:10:15,8.125,26.311,13.950,4.370,7.48
293,19-Apr-2021 13:25:15,8.125,26.309,13.920,4.250,7.48
294,19-Apr-2021 13:40:15,7.625,26.300,13.443,4.330,7.48
295,19-Apr-2021 13:55:15,7.625,26.298,13.682,4.350,7.47
296,19-Apr-2021 14:10:15,7.625,26.303,13.920,4.450,7.48
297,19-Apr-2021 14:25:15,8.125,26.283,13.563,4.570,7.48
298,19-Apr-2021 14:40:15,7.625,26.285,13.891,4.630,7.48
299,19-Apr-2021 14:55:15,8.125,26.286,13.891,4.660,7.48
300,19-Apr-2021 15:10:15,8.250,26.295,13.443,4.750,7.51
301,19-Apr-2021 15:25:15,7.688,26.295,13.652,4.800,7.52
302,19-Apr-2021 15:40:15,7.813,26.295,13.771,4.790,7.52
303,19-Apr-2021 15:55:15,8.125,26.298,13.592,4.820,7.54
304,19-Apr-2021 16:10:15,8.188,26.289,13.861,5.030,7.55
305,19-Apr-2021 16:25:15,8.250,26.297,13.920,4.910,7.55
306,19-Apr-2021 16:40:15,8.250,26.279,13.712,4.960,7.56
307,19-Apr-2021 16:55:15,7.750,26.287,13.324,4.850,7.54
308,19-Apr-2021 17:10:15,7.688,26.291,13.920,4.670,7.54
309,19-Apr-2021 17:25:15,7.625,26.309,13.235,4.820,7.56
310,19-Apr-2021 17:40:15,8.125,26.310,13.235,4.890,7.58
311,19-Apr-2021 17:55:15,7.688,26.280,13.205,4.930,7.58
312,19-Apr-2021 18:10:15,8.188,26.283,13.205,4.930,7.56
313,19-Apr-2021 18:25:15,7.688,26.249,13.145,4.340,7.49
314,19-Apr-2021 18:40:15,7.625,26.298,13.026,4.460,7.48
315,19-Apr-2021 18:55:15,7.625,26.278,12.966,3.840,7.43
316,19-Apr-2021 19:10:15,7.625,26.285,12.877,4.020,7.45
317,19-Apr-2021 19:25:15,7.625,26.282,12.847,4.270,7.47
318,19-Apr-2021 19:40:15,7.688,26.310,12.847,4.430,7.49
319,19-Apr-2021 19:55:15,7.625,26.308,12.847,4.600,7.49
320,19-Apr-2021 20:10:15,7.625,26.313,12.817,4.560,7.50
321,19-Apr-2021 20:25:15,7.625,26.319,12.817,4.570,7.48
322,19-Apr-2021 20:40:15,7.625,26.329,12.847,4.250,7.45
323,19-Apr-2021 20:55:15,7.625,26.330,12.817,3.950,7.44
324,19-Apr-2021 21:10:15,7.625,26.304,12.788,3.880,7.44
325,19-Apr-2021 21:25:15,7.625,26.344,12.817,4.120,7.46
326,19-Apr-2021 21:40:15,7.625,26.341,12.817,4.510,7.52
327,19-Apr-2021 21:55:15,7.625,26.328,12.788,4.630,7.57
328,19-Apr-2021 22:10:15,7.625,26.349,12.758,4.840,7.59
329,19-Apr-2021 22:25:15,7.625,26.350,12.788,5.070,7.60
330,19-Apr-2021 22:40:15,7.688,26.332,12.758,5.280,7.62
331,19-Apr-2021 22:55:15,7.750,26.331,12.758,5.410,7.62
