Advanced Calibration Data
,Temperature,date,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9
,,,0,0,0,0,0,0,0,0,0
,Pressure,date,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9
,,26-Jul-2012 19:25:42,0.0000010000001111620804,-0.000219000008655712,1.0031330585479736,-0.000022000000171829015,0.0019970000721514225,0.42111098766326904,0,1,0
,Power,date,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9
,,,1,0,0,0,0,0,0,0,0
,DO,date,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9
,,,1,0,0,0,0,0,0,0,0
,DO Temp,date,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9
,,,1,0,0,0,0,0,0,0,0

Field Calibration Data
,Temperature,date,coef1,coef2,coef3,coef4,coef5
,,,1,0,0,0,0
,Pressure,date,coef1,coef2,coef3,coef4,coef5
,,,1,0,0,0,0
,Power,date,coef1,coef2,coef3,coef4,coef5
,,,1,0,0,0,0
,DO,date,coef1,coef2,coef3,coef4,coef5
,,19-Feb-2018 12:42:00,1,0.559999942779541,0,0,0
,DO Temp,date,coef1,coef2,coef3,coef4,coef5
,,,1,0,0,0,0

Sensor/File information
Sensor SN,0021230023,,Modbus Addr.,3
Sensor Type,DO2,,Initialized w/fw Rev,v2.131
Sensor Name,FCR DO 1m  (3)
File Name,FCR_DO_1m_20200902

# Records,1814
Statistical Data,,Temperature (°C),Pressure (psi),Power (V),DO (ppm),DO Temp (°C)
116,03-Sep-2020 21:06:10,27.250,-14.048,12.907,7.390,25.33
117,03-Sep-2020 21:21:10,27.188,-13.688,12.937,7.230,25.33
118,03-Sep-2020 21:36:10,27.125,-13.766,12.937,7.010,25.26
119,03-Sep-2020 21:51:10,27.063,-13.646,12.937,6.890,25.22
120,03-Sep-2020 22:06:10,27.063,-13.458,12.907,6.880,25.19
121,03-Sep-2020 22:21:10,27.000,-13.245,12.937,6.850,25.34
122,03-Sep-2020 22:36:10,27.063,-13.231,12.937,6.800,25.48
123,03-Sep-2020 22:51:10,26.938,-12.932,12.907,6.860,25.33
124,03-Sep-2020 23:06:10,26.938,-13.266,12.877,7.010,25.07
125,03-Sep-2020 23:21:10,26.875,-12.917,12.907,7.110,24.97
126,03-Sep-2020 23:36:10,26.813,-13.124,12.877,7.270,24.77
127,03-Sep-2020 23:51:10,26.750,-12.831,12.937,7.380,24.54
128,04-Sep-2020 00:06:10,26.750,-12.751,12.877,7.350,24.69
129,04-Sep-2020 00:21:10,26.750,-16.695,12.907,7.280,24.87
130,04-Sep-2020 00:36:10,26.688,-16.078,12.877,7.360,25.00
131,04-Sep-2020 00:51:10,26.625,-15.876,12.877,7.550,24.82
132,04-Sep-2020 01:06:10,26.563,-15.897,12.847,7.640,24.94
133,04-Sep-2020 01:21:10,26.438,-16.088,12.877,7.730,24.84
134,04-Sep-2020 01:36:10,26.438,-15.936,12.877,7.570,24.82
135,04-Sep-2020 01:51:10,26.375,-15.885,12.877,7.670,24.75
136,04-Sep-2020 02:06:10,26.313,-15.677,12.847,7.800,24.48
137,04-Sep-2020 02:21:10,26.188,-15.752,12.877,7.580,24.27
138,04-Sep-2020 02:36:10,26.188,-15.782,12.847,7.510,24.15
139,04-Sep-2020 02:51:10,26.125,-15.896,12.877,7.380,24.10
140,04-Sep-2020 03:06:10,26.000,-15.653,12.788,7.520,24.15
141,04-Sep-2020 03:21:10,26.000,-15.299,12.847,7.770,24.17
142,04-Sep-2020 03:36:10,25.875,-15.839,12.847,7.670,24.12
143,04-Sep-2020 03:51:10,25.813,-15.764,12.847,7.450,24.31
144,04-Sep-2020 04:06:10,25.750,-15.711,12.847,7.380,24.33
145,04-Sep-2020 04:21:10,25.750,-15.414,12.847,7.490,24.43
146,04-Sep-2020 04:36:10,25.688,-15.453,12.847,7.530,24.49
147,04-Sep-2020 04:51:10,25.688,-15.551,12.817,7.560,24.45
148,04-Sep-2020 05:06:10,25.625,-15.638,12.817,7.130,24.49
149,04-Sep-2020 05:21:10,25.500,-15.385,12.847,6.990,24.66
150,04-Sep-2020 05:36:10,25.500,-15.442,12.847,7.040,24.95
151,04-Sep-2020 05:51:10,25.438,-15.260,12.847,7.040,24.99
152,04-Sep-2020 06:06:10,25.313,-15.479,12.788,6.880,24.98
153,04-Sep-2020 06:21:10,25.313,-15.841,12.817,6.870,24.92
154,04-Sep-2020 06:36:10,25.250,-15.752,12.847,6.850,24.91
155,04-Sep-2020 06:51:10,25.250,-15.921,12.817,6.860,24.89
156,04-Sep-2020 07:06:10,25.188,-15.374,12.788,6.870,24.86
157,04-Sep-2020 07:21:10,25.188,-15.212,12.817,6.940,24.84
158,04-Sep-2020 07:36:10,25.125,-19.639,12.817,7.050,24.79
159,04-Sep-2020 07:51:10,25.125,-19.162,12.788,7.120,24.75
160,04-Sep-2020 08:06:10,25.063,-19.066,12.788,7.210,24.73
161,04-Sep-2020 08:21:10,25.063,-18.813,12.877,7.240,24.69
162,04-Sep-2020 08:36:10,25.063,-18.912,12.966,7.250,24.70
163,04-Sep-2020 08:51:10,25.000,-18.801,13.116,7.310,24.69
164,04-Sep-2020 09:06:10,25.125,-18.888,13.175,7.640,24.69
165,04-Sep-2020 09:21:10,25.188,-18.719,13.294,7.910,24.74
166,04-Sep-2020 09:36:10,25.250,-18.429,13.414,8.120,24.75
167,04-Sep-2020 09:51:10,25.375,-18.538,13.443,8.320,24.74
168,04-Sep-2020 10:06:10,25.438,-18.561,13.503,8.440,24.78
169,04-Sep-2020 10:21:10,25.500,-18.544,13.801,8.840,24.86
170,04-Sep-2020 10:36:10,25.563,-18.355,13.861,9.180,25.06
171,04-Sep-2020 10:51:10,25.625,-18.666,13.652,8.900,25.22
172,04-Sep-2020 11:06:10,25.813,-18.427,13.652,9.050,25.30
173,04-Sep-2020 11:21:10,25.875,-18.638,13.891,9.110,25.43
174,04-Sep-2020 11:36:10,25.938,-16.913,13.891,10.210,25.54
175,04-Sep-2020 11:51:10,26.063,-17.379,13.891,10.490,25.21
176,04-Sep-2020 12:06:10,26.250,-17.363,13.920,11.180,24.77
177,04-Sep-2020 12:21:10,26.438,-17.414,13.891,12.110,24.70
178,04-Sep-2020 12:36:10,26.563,-17.329,13.891,12.840,24.80
179,04-Sep-2020 12:51:10,26.813,-19.136,13.920,13.350,24.86
180,04-Sep-2020 13:06:10,26.938,-19.617,13.891,14.200,24.92
181,04-Sep-2020 13:21:10,27.063,-19.440,13.920,15.180,25.00
182,04-Sep-2020 13:36:10,27.313,-18.980,13.891,15.780,25.03
183,04-Sep-2020 13:51:10,27.563,-25.055,13.891,15.150,24.86
184,04-Sep-2020 14:06:10,27.750,-24.683,13.920,13.300,24.78
185,04-Sep-2020 14:21:10,27.750,-24.517,13.920,11.930,24.97
186,04-Sep-2020 14:36:10,27.875,-24.234,13.920,14.340,24.92
187,04-Sep-2020 14:51:10,27.875,-24.606,13.891,15.170,24.93
188,04-Sep-2020 15:06:10,27.938,-24.209,13.920,14.710,24.94
189,04-Sep-2020 15:21:10,27.688,-24.220,13.920,12.140,24.99
190,04-Sep-2020 15:36:10,27.625,-23.803,13.920,12.660,24.99
191,04-Sep-2020 15:51:10,27.688,-23.789,13.920,13.780,25.07
192,04-Sep-2020 16:06:10,27.688,-23.729,13.920,13.880,25.09
193,04-Sep-2020 16:21:10,27.688,-23.360,13.920,14.330,25.22
194,04-Sep-2020 16:36:10,27.750,-23.765,13.920,13.350,25.21
195,04-Sep-2020 16:51:10,27.875,-23.745,13.920,13.610,25.18
196,04-Sep-2020 17:06:10,28.125,-23.648,13.891,13.700,25.18
197,04-Sep-2020 17:21:10,28.188,-23.485,13.891,13.120,25.15
198,04-Sep-2020 17:36:10,28.125,-24.346,13.920,12.290,24.98
199,04-Sep-2020 17:51:10,28.063,-24.062,13.622,10.400,25.01
200,04-Sep-2020 18:06:10,27.938,-22.641,13.056,8.990,25.10
201,04-Sep-2020 18:21:10,27.813,-22.734,13.116,8.560,25.38
202,04-Sep-2020 18:36:10,27.750,-22.223,12.996,8.200,25.29
203,04-Sep-2020 18:51:10,27.625,-22.315,12.937,7.910,25.44
204,04-Sep-2020 19:06:10,27.563,-21.639,12.966,7.870,26.70
205,04-Sep-2020 19:21:10,27.563,-22.406,12.937,7.610,27.09
206,04-Sep-2020 19:36:10,27.500,-22.230,12.996,7.350,27.12
207,04-Sep-2020 19:51:10,27.500,-22.311,12.966,7.160,27.09
208,04-Sep-2020 20:06:10,27.438,-22.221,12.907,7.090,26.49
209,04-Sep-2020 20:21:10,27.375,-21.728,12.966,7.040,27.00
210,04-Sep-2020 20:36:10,27.375,-22.080,12.966,6.940,27.01
211,04-Sep-2020 20:51:10,27.313,-21.379,12.937,6.950,26.95
212,04-Sep-2020 21:06:10,27.313,-21.222,12.907,6.870,26.91
213,04-Sep-2020 21:21:10,27.250,-21.100,12.937,6.870,26.88
214,04-Sep-2020 21:36:10,27.188,-21.204,12.937,6.910,26.79
215,04-Sep-2020 21:51:10,27.125,-21.403,12.937,6.840,26.75
216,04-Sep-2020 22:06:10,27.063,-21.049,12.877,6.820,26.70
217,04-Sep-2020 22:21:10,27.000,-22.120,12.907,6.850,26.63
218,04-Sep-2020 22:36:10,26.938,-22.065,12.877,6.920,26.56
219,04-Sep-2020 22:51:10,26.875,-22.152,12.907,6.930,26.51
220,04-Sep-2020 23:06:10,26.813,-21.892,12.877,6.970,26.46
221,04-Sep-2020 23:21:10,26.750,-21.646,12.877,6.990,26.35
222,04-Sep-2020 23:36:10,26.688,-21.466,12.907,6.920,26.28
223,04-Sep-2020 23:51:10,26.625,-18.615,12.877,6.940,26.22
224,05-Sep-2020 00:06:10,26.500,-19.099,12.847,7.020,26.14
225,05-Sep-2020 00:21:10,26.438,-18.407,12.877,7.050,26.10
226,05-Sep-2020 00:36:10,26.375,-18.623,12.877,7.090,26.03
227,05-Sep-2020 00:51:10,26.313,-18.060,12.877,7.040,25.96
228,05-Sep-2020 01:06:10,26.250,-18.311,12.817,7.030,25.90
229,05-Sep-2020 01:21:10,26.188,-18.577,12.847,7.070,25.83
230,05-Sep-2020 01:36:10,26.125,-20.618,12.877,7.130,25.74
231,05-Sep-2020 01:51:10,26.063,-18.503,12.877,7.120,25.68
232,05-Sep-2020 02:06:10,26.000,-18.833,12.817,7.090,25.63
233,05-Sep-2020 02:21:10,25.938,-18.988,12.847,7.030,25.57
234,05-Sep-2020 02:36:10,25.875,-18.533,12.877,6.980,25.53
235,05-Sep-2020 02:51:10,25.813,-18.204,12.847,7.000,25.49
236,05-Sep-2020 03:06:10,25.750,-17.997,12.788,6.960,25.41
237,05-Sep-2020 03:21:10,25.688,-18.016,12.817,6.910,25.37
238,05-Sep-2020 03:36:10,25.688,-17.978,12.817,6.900,25.30
239,05-Sep-2020 03:51:10,25.563,-17.368,12.847,6.880,25.25
240,05-Sep-2020 04:06:10,25.563,-17.659,12.758,6.880,25.22
241,05-Sep-2020 04:21:10,25.500,-18.193,12.817,6.840,25.19
242,05-Sep-2020 04:36:10,25.500,-17.634,12.817,6.840,25.17
243,05-Sep-2020 04:51:10,25.438,-18.038,12.817,6.820,25.11
244,05-Sep-2020 05:06:10,25.438,-17.458,12.758,6.820,25.05
245,05-Sep-2020 05:21:10,25.375,-17.736,12.788,6.780,25.01
246,05-Sep-2020 05:36:10,25.313,-17.896,12.817,6.800,24.93
247,05-Sep-2020 05:51:10,25.250,-17.377,12.788,6.780,24.88
248,05-Sep-2020 06:06:10,25.188,-17.337,12.758,6.800,24.83
249,05-Sep-2020 06:21:10,25.125,-17.209,12.758,6.790,24.78
250,05-Sep-2020 06:36:10,25.063,-17.238,12.788,6.800,24.73
251,05-Sep-2020 06:51:10,25.063,-16.835,12.788,6.810,24.71
252,05-Sep-2020 07:06:10,25.000,-16.859,12.728,6.820,24.66
253,05-Sep-2020 07:21:10,24.938,-16.781,12.728,6.800,24.62
254,05-Sep-2020 07:36:10,24.938,-16.457,12.758,6.870,24.57
255,05-Sep-2020 07:51:10,24.875,-16.618,12.788,6.950,24.54
256,05-Sep-2020 08:06:10,24.875,-16.342,12.788,7.050,24.48
257,05-Sep-2020 08:21:10,24.813,-16.354,12.907,7.130,24.43
258,05-Sep-2020 08:36:10,24.750,-16.175,13.116,7.180,24.40
259,05-Sep-2020 08:51:10,24.750,-16.000,13.205,7.120,24.39
260,05-Sep-2020 09:06:10,24.750,-15.965,13.265,7.420,24.37
261,05-Sep-2020 09:21:10,24.875,-15.867,13.414,7.740,24.41
262,05-Sep-2020 09:36:10,24.938,-16.120,13.473,7.900,24.43
263,05-Sep-2020 09:51:10,24.938,-15.878,13.473,7.950,24.47
264,05-Sep-2020 10:06:10,24.938,-15.615,13.384,7.950,24.51
265,05-Sep-2020 10:21:10,24.875,-15.486,13.443,7.950,24.56
266,05-Sep-2020 10:36:10,24.938,-15.635,13.443,8.090,24.58
267,05-Sep-2020 10:51:10,25.000,-15.680,13.473,8.210,24.63
268,05-Sep-2020 11:06:10,25.063,-15.736,13.414,8.380,24.69
269,05-Sep-2020 11:21:10,25.125,-15.210,13.473,8.660,24.77
270,05-Sep-2020 11:36:10,25.125,-15.121,13.473,9.140,24.84
271,05-Sep-2020 11:51:10,25.250,-15.561,13.622,9.800,24.90
272,05-Sep-2020 12:06:10,25.313,-15.523,13.592,10.570,24.98
273,05-Sep-2020 12:21:10,25.438,-15.385,13.920,11.570,25.07
274,05-Sep-2020 12:36:10,25.438,-15.252,13.891,12.360,25.13
275,05-Sep-2020 12:51:10,25.563,-15.260,13.891,13.100,25.24
276,05-Sep-2020 13:06:10,25.750,-15.260,13.920,14.020,25.32
277,05-Sep-2020 13:21:10,25.813,-15.287,13.891,14.430,25.48
278,05-Sep-2020 13:36:10,25.938,-15.173,13.891,13.440,25.52
279,05-Sep-2020 13:51:10,26.000,-15.645,13.891,14.060,25.55
280,05-Sep-2020 14:06:10,26.188,-15.463,13.920,14.710,25.58
281,05-Sep-2020 14:21:10,26.313,-15.163,13.891,15.230,25.66
282,05-Sep-2020 14:36:10,26.438,-15.538,13.920,15.440,25.74
283,05-Sep-2020 14:51:10,26.625,-15.703,13.920,15.280,25.70
284,05-Sep-2020 15:06:10,26.750,-15.675,13.891,15.050,25.78
285,05-Sep-2020 15:21:10,26.875,-15.824,13.891,14.880,25.56
286,05-Sep-2020 15:36:10,27.000,-16.075,13.891,14.600,25.42
287,05-Sep-2020 15:51:10,27.125,-15.216,13.920,14.410,25.31
288,05-Sep-2020 16:06:10,27.188,-15.369,13.920,14.250,25.32
289,05-Sep-2020 16:21:10,27.250,-15.014,13.891,13.990,25.33
290,05-Sep-2020 16:36:10,27.375,-26.888,13.920,13.700,25.43
291,05-Sep-2020 16:51:10,27.375,-26.145,13.891,13.450,25.35
292,05-Sep-2020 17:06:10,27.375,-27.113,13.920,13.290,25.44
293,05-Sep-2020 17:21:10,27.375,-26.996,13.920,13.150,25.43
294,05-Sep-2020 17:36:10,27.375,-26.651,13.891,12.200,25.45
295,05-Sep-2020 17:51:10,27.250,-26.650,13.682,9.920,25.40
296,05-Sep-2020 18:06:10,27.063,-25.939,13.086,8.810,25.33
297,05-Sep-2020 18:21:10,27.000,-25.035,13.145,8.370,25.23
298,05-Sep-2020 18:36:10,26.875,-25.842,13.086,8.210,25.19
299,05-Sep-2020 18:51:10,26.813,-25.780,13.026,8.170,25.29
300,05-Sep-2020 19:06:10,26.813,-25.732,12.937,8.130,25.17
301,05-Sep-2020 19:21:10,26.688,-25.273,12.937,7.910,25.23
302,05-Sep-2020 19:36:10,26.563,-23.350,12.907,7.900,25.13
303,05-Sep-2020 19:51:10,26.438,-22.633,12.937,7.870,25.15
304,05-Sep-2020 20:06:10,26.375,-21.902,12.877,7.860,25.23
305,05-Sep-2020 20:21:10,26.188,-21.742,12.937,7.730,25.53
306,05-Sep-2020 20:36:10,26.125,-21.122,12.966,7.790,25.47
307,05-Sep-2020 20:51:10,26.063,-21.291,12.937,7.680,25.47
308,05-Sep-2020 21:06:10,26.000,-20.030,12.877,7.660,25.49
309,05-Sep-2020 21:21:10,25.938,-19.747,12.907,7.620,25.41
310,05-Sep-2020 21:36:10,25.875,-17.751,12.907,7.560,25.39
311,05-Sep-2020 21:51:10,25.813,-17.405,12.907,7.560,25.37
312,05-Sep-2020 22:06:10,25.750,-16.916,12.877,7.580,25.34
313,05-Sep-2020 22:21:10,25.688,-17.025,12.847,7.530,25.28
314,05-Sep-2020 22:36:10,25.625,-16.858,12.907,7.520,25.24
315,05-Sep-2020 22:51:10,25.563,-16.751,12.877,7.500,25.17
316,05-Sep-2020 23:06:10,25.500,-16.570,12.847,7.460,25.12
317,05-Sep-2020 23:21:10,25.438,-16.431,12.877,7.440,25.07
318,05-Sep-2020 23:36:10,25.438,-26.256,12.877,7.400,25.01
319,05-Sep-2020 23:51:10,25.313,-26.356,12.847,7.390,24.96
320,06-Sep-2020 00:06:10,25.250,-27.330,12.847,7.400,24.91
321,06-Sep-2020 00:21:10,25.188,-25.389,12.847,7.370,24.85
