ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2020 - 29,0.3,153.2,53.0,314.3,"1,116.7",3.4,-1.0,-0.3,133.7,121.6,4.4,0.2,0.1,179.1,15.3,0.1,0.1,0.0,1.2,0.1,-0.3,1.0,0.1,0.0,0.0,0.0,4.7,0.2,0.0
4/16/2021 - 29,0.2,124.5,44.6,110.3,727.1,2.5,-0.8,-0.4,83.9,104.5,1.7,0.0,0.1,94.5,11.4,0.0,0.1,0.1,1.1,0.0,-0.2,0.7,0.1,0.0,0.1,0.1,2.7,0.3,0.0
4/16/2021 - 30,0.2,114.3,40.6,71.8,639.6,0.6,-0.8,-0.5,61.3,93.8,1.1,0.0,0.1,63.5,8.3,0.0,0.0,-0.1,0.6,0.0,-0.1,0.7,0.1,0.0,0.1,0.1,2.0,0.2,0.0
4/26/2021 - 29,0.1,119.8,42.7,94.1,684.5,-1.0,-0.8,-0.5,64.6,103.4,1.3,0.0,0.1,86.8,11.3,0.0,0.0,-0.1,0.6,0.0,-0.1,0.7,0.0,0.0,0.0,0.0,2.4,0.2,0.0
Waterblank,0.1,-1.0,-0.4,-1.3,188.2,-5.1,-0.7,-0.6,-1.0,-3.5,0.2,-0.1,0.0,-14.3,0.0,0.0,0.0,-0.1,-0.3,0.0,-0.1,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.0
5/11/2020 - 29,0.2,111.8,42.3,118.8,714.9,-1.1,-0.8,-0.5,81.5,94.6,1.5,0.0,0.1,72.7,7.3,0.0,0.0,-0.1,0.6,0.0,-0.2,0.7,0.0,-0.1,0.0,0.0,2.5,0.1,0.0
5/11/2020 - 30,0.1,114.8,41.3,85.7,656.5,-2.6,-0.7,-0.6,70.5,96.4,1.0,0.0,0.1,45.4,4.8,0.0,0.0,-0.1,0.6,0.0,-0.1,0.7,0.0,-0.1,0.0,0.0,1.9,0.1,0.0
5/25/2020 - 29,0.2,112.7,45.4,190.2,821.0,-1.0,-0.8,-0.6,95.4,100.4,2.5,0.0,0.1,116.9,9.4,0.0,0.0,0.5,0.4,0.0,-0.2,0.8,0.0,-0.1,0.0,0.0,3.4,0.1,0.0
