ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/2023 - 1,0.5,"3,287.4","1,147.0",31.4,"8,716.0",23.0,0.5,0.9,"1,082.8","2,634.2",2.4,0.4,0.1,648.3,21.1,0.2,0.2,1.4,3.5,0.4,1.1,16.8,0.0,0.0,0.0,18.6,0.2,0.1
07/31/2023 - 2,0.5,"3,880.7","1,153.4",24.6,"8,749.3",6.4,0.4,1.0,"1,177.2","2,570.5",1.8,0.3,0.1,468.0,6.4,0.1,0.2,1.2,3.3,0.3,1.0,16.2,0.0,0.0,0.0,12.5,0.1,0.1
07/31/2023 - 3,0.4,"3,326.3","1,164.4",40.7,"8,800.4",23.8,0.5,0.7,"1,082.1","2,599.1",1.9,0.3,0.1,688.4,20.9,0.2,0.2,1.3,3.1,0.3,0.6,16.8,0.0,0.0,0.0,18.2,0.1,0.0
07/31/2023 - 4,0.5,"3,697.9","1,203.1",13.3,"9,084.2",4.3,0.3,0.8,"1,180.5","2,682.8",1.4,0.3,0.1,500.2,5.9,0.1,0.2,1.1,6.3,0.2,0.4,17.0,0.0,0.0,0.0,14.4,0.1,0.0
07/31/2023 - 6,0.4,"3,666.1","1,241.4",19.7,"9,003.5",1.5,0.5,1.1,"1,267.1","3,024.1",1.2,0.1,0.1,253.5,471.9,0.8,0.2,0.6,4.4,0.2,0.4,19.7,0.0,0.0,0.0,35.4,0.1,0.0
07/31/2023 - 8,0.3,"3,703.4","1,286.4",18.2,"9,199.1",-2.8,0.9,1.1,"1,257.4","3,246.4",1.0,0.0,0.1,60.5,771.8,1.1,0.6,0.6,5.6,0.1,0.2,21.1,0.0,0.0,-0.1,47.8,0.1,0.0
07/31/2023 - 10,0.4,"3,450.8","1,244.7",14.0,"8,983.1",-0.6,0.7,0.9,"1,173.3","3,060.9",1.0,0.0,0.1,121.8,556.5,0.7,0.3,0.9,3.9,0.1,0.0,20.0,0.0,0.0,0.0,38.8,0.1,0.0
07/31/2023 - 12,0.3,"3,500.0","1,270.6",13.5,"9,123.5",-1.4,0.8,0.9,"1,139.9","3,152.6",0.8,0.0,0.1,61.8,650.4,0.8,0.3,0.8,3.1,0.1,-0.1,20.5,0.0,0.0,-0.1,39.5,0.1,0.0
07/31/2023 - 13,0.3,"3,183.3","1,256.4",5.5,"9,146.7",16.3,0.8,0.8,"1,123.5","3,102.7",0.8,0.0,0.0,"1,631.1",721.6,1.2,0.2,1.6,2.7,0.1,0.0,20.2,0.0,0.0,-0.1,43.4,0.1,0.0
07/31/2023 - 14,0.4,"3,393.6","1,266.5",2.5,"9,125.6",-1.1,0.8,0.8,"1,147.6","3,106.7",0.8,0.0,0.0,89.0,669.5,0.9,0.3,1.1,5.4,0.1,0.2,20.2,0.0,0.1,0.0,42.9,0.1,0.0
07/31/2023 - 16,0.7,"4,537.8","1,109.6",17.1,"12,296.0",19.4,0.0,0.8,"1,276.4","2,991.6",1.5,0.3,1.9,26.6,10.7,0.1,1.5,0.5,2.5,0.2,0.8,18.8,0.0,0.1,0.0,15.5,0.1,0.1
07/31/2023 - 19,0.2,"2,338.2",842.6,17.6,"5,018.7",4.1,0.5,0.5,"1,277.4","1,647.9",0.7,0.1,0.1,333.9,11.4,0.1,0.3,1.1,4.3,0.3,0.5,11.7,0.0,0.1,0.0,17.4,0.1,0.0
07/31/2023 - 20,0.3,"2,878.9",865.8,30.0,"5,077.7",-0.7,0.4,0.6,"1,307.2","1,718.8",0.6,0.1,0.4,115.6,1.2,0.1,0.5,0.9,16.2,0.5,0.5,11.5,0.0,0.1,0.0,10.9,0.3,0.0
