ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2023 - 1,0.4,"3,290.1","1,214.0",1.9,"5,580.0",34.6,0.6,1.1,"1,293.5","2,883.0",1.7,0.1,0.0,183.9,81.2,0.1,0.0,0.9,1.4,0.2,0.7,18.9,0.0,0.0,0.0,24.8,0.0,0.1
11/14/2023 - 2,0.3,"3,560.5","1,214.2",-1.3,"5,469.5",0.7,0.6,1.0,"1,281.7","2,953.6",1.1,0.0,0.0,14.1,3.0,0.0,0.0,0.4,0.8,0.1,0.1,18.6,0.0,0.0,0.0,19.3,0.0,0.1
11/14/2023 - 3,0.4,"3,374.4","1,241.1",1.6,"5,611.5",37.7,0.7,1.0,"1,312.5","2,937.0",0.9,0.1,0.0,180.4,80.2,0.1,0.0,0.9,1.7,0.1,-0.1,18.8,0.0,0.0,0.0,24.8,0.0,0.0
11/14/2023 - 4,0.3,"3,728.4","1,271.1",-1.2,"5,545.0",1.8,0.8,1.0,"1,308.1","3,014.7",0.6,0.0,0.0,15.9,3.3,0.0,0.0,0.6,1.0,0.1,-0.1,18.8,0.0,0.0,0.0,18.8,0.0,0.0
11/14/2023 - 5,0.3,"3,466.5","1,274.4",1.7,"5,642.2",39.0,0.7,0.9,"1,345.2","2,970.9",0.6,0.0,0.0,199.6,85.1,0.1,0.0,1.0,0.9,0.0,-0.3,19.2,0.0,-0.1,-0.1,25.4,0.0,0.0
11/14/2023 - 6,0.3,"3,805.8","1,266.9",-0.9,"5,629.1",1.3,0.7,1.0,"1,308.9","2,993.9",0.4,0.0,0.0,13.3,1.6,0.0,0.0,0.5,1.5,0.0,-0.5,18.7,0.0,0.2,0.3,18.8,0.0,0.0
11/14/2023 - 7,0.4,"3,392.8","1,258.6",2.4,"5,579.4",38.4,0.6,0.9,"1,300.2","2,945.0",0.6,0.0,0.0,216.1,85.6,0.2,0.0,1.0,2.3,0.1,0.0,19.0,0.0,0.0,0.0,25.4,0.0,0.0
11/14/2023 - 8,0.3,"3,690.5","1,267.4",-1.5,"5,605.7",1.4,0.6,0.9,"1,302.8","3,018.6",0.3,0.0,0.0,13.2,1.7,0.0,0.0,0.4,0.8,0.0,-0.4,18.9,0.0,-0.1,-0.1,20.3,0.0,0.0
11/14/2023 - 9,0.3,"3,420.0","1,253.5",2.9,"5,645.4",37.2,0.5,0.9,"1,310.3","2,928.8",0.5,0.0,0.0,225.3,84.7,0.2,0.0,1.0,0.9,0.0,-0.2,18.9,0.0,-0.1,-0.1,25.0,0.0,0.0
11/14/2023 - 10,0.3,"3,626.1","1,249.4",-1.9,"5,459.0",0.7,0.4,0.9,"1,297.5","2,935.7",0.1,0.0,0.0,11.0,1.7,0.0,0.0,0.4,1.2,-0.1,-0.6,18.6,0.0,-0.1,-0.1,20.2,0.0,0.0
11/14/2023 - 11,0.3,"3,366.4","1,238.7",5.1,"5,656.0",37.2,0.5,0.9,"1,301.4","2,908.0",0.7,0.1,0.0,254.4,88.1,0.2,-0.1,1.0,0.8,0.0,-0.2,18.6,0.0,-0.1,0.0,24.9,0.0,0.1
11/14/2023 - 12,0.3,"3,691.2","1,254.8",-1.8,"5,539.9",0.3,0.5,0.9,"1,291.2","2,952.7",0.2,0.0,0.0,16.0,2.5,0.0,-0.1,0.4,0.5,-0.1,-0.5,18.6,0.0,-0.1,-0.1,20.1,0.0,0.0
11/14/2023 - 13,0.3,"3,368.3","1,254.0",12.4,"5,662.5",35.9,0.4,0.9,"1,302.3","2,913.9",0.5,0.1,0.0,398.5,96.1,0.2,-0.1,1.4,0.9,-0.1,-0.7,18.6,0.0,-0.1,-0.1,25.6,0.0,0.0
