FlowmeterSensorID,Date,Site,Width_m,WidthInterval_m,Depth_cm,Velocity,Velocity_unit,Depth_m,Velocity_m/s,Discharge,Notes
flowmate new,2020-03-30,F200,0,0.1,0,0,m/s,0,,,
flowmate new,2020-03-30,F200,0.1,0.1,0,0,m/s,0,,,
flowmate new,2020-03-30,F200,0.2,0.1,0,0,m/s,0,,,
flowmate new,2020-03-30,F200,0.3,0.1,0,0,m/s,0,,,
flowmate new,2020-03-30,F200,0.4,0.1,0,0,m/s,0,,,
flowmate new,2020-03-30,F200,0.5,0.1,0,0,m/s,0,,,
flowmate new,2020-03-30,F200,0.6,0.1,0,0,m/s,0,,,
flowmate new,2020-03-30,F200,0.7,0.1,10,0.15,m/s,0.1,,,
flowmate new,2020-03-30,F200,0.8,0.1,10,0.04,m/s,0.1,,,
flowmate new,2020-03-30,F200,0.9,0.1,14,0.08,m/s,0.14,,,
flowmate new,2020-03-30,F200,1,0.1,17,0.05,m/s,0.17,,,
flowmate new,2020-03-30,F200,1.1,0.1,19.5,0.09,m/s,0.195,,,
flowmate new,2020-03-30,F200,1.2,0.1,20,0.08,m/s,0.2,,,
flowmate new,2020-03-30,F200,1.3,0.1,20,0.15,m/s,0.2,,,
flowmate new,2020-03-30,F200,1.4,0.1,18.5,0.13,m/s,0.185,,,
flowmate new,2020-03-30,F200,1.5,0.1,18,0.11,m/s,0.18,,,
flowmate new,2020-03-30,F200,1.6,0.1,16,0.14,m/s,0.16,,,
flowmate new,2020-03-30,F200,1.7,0.1,15.5,0.08,m/s,0.155,,,
flowmate new,2020-03-30,F200,1.8,0.1,14,0.1,m/s,0.14,,,
flowmate new,2020-03-30,F200,1.9,0.1,10,0,m/s,0.1,,,
flowmate new,2020-03-30,F200,2,0.1,0,0,m/s,0,,,
flowmate new,2020-06-22,F200,0,0.1,9,0,m/s,0.09,,,
flowmate new,2020-06-22,F200,0.1,0.1,11,0,m/s,0.11,,,
flowmate new,2020-06-22,F200,0.2,0.1,9.5,0.09,m/s,0.095,,,
flowmate new,2020-06-22,F200,0.3,0.1,10,0.21,m/s,0.1,,,
flowmate new,2020-06-22,F200,0.4,0.1,11,0.2,m/s,0.11,,,
flowmate new,2020-06-22,F200,0.5,0.1,13,0.21,m/s,0.13,,,
flowmate new,2020-06-22,F200,0.6,0.1,10,0.29,m/s,0.1,,,
flowmate new,2020-06-22,F200,0.7,0.1,10,0.3,m/s,0.1,,,
flowmate new,2020-06-22,F200,0.8,0.1,11.5,0.28,m/s,0.115,,,
flowmate new,2020-06-22,F200,0.9,0.1,12,0.26,m/s,0.12,,,
flowmate new,2020-06-22,F200,1,0.1,12,0.33,m/s,0.12,,,
flowmate new,2020-06-22,F200,1.1,0.1,13,0.41,m/s,0.13,,,
flowmate new,2020-06-22,F200,1.2,0.1,16,0.39,m/s,0.16,,,
flowmate new,2020-06-22,F200,1.3,0.1,16,0.33,m/s,0.16,,,
flowmate new,2020-06-22,F200,1.4,0.1,15,0.11,m/s,0.15,,,
flowmate new,2020-06-22,F200,1.5,0.1,12.5,0.23,m/s,0.125,,,
flowmate new,2020-06-22,F200,1.6,0.1,12,0.22,m/s,0.12,,,
flowmate new,2020-09-02,F200,0,0.1,0,0,m/s ,0,,,
flowmate new,2020-09-02,F200,0.1,0.1,0,0,m/s ,0,,,
flowmate new,2020-09-02,F200,0.2,0.1,0,0,m/s ,0,,,
flowmate new,2020-09-02,F200,0.3,0.1,7.5,0.03,m/s ,0.075,,,
flowmate new,2020-09-02,F200,0.4,0.1,5.5,0.01,m/s ,0.055,,,
flowmate new,2020-09-02,F200,0.5,0.1,6,0.01,m/s ,0.06,,,
flowmate new,2020-09-02,F200,0.6,0.1,6.5,0.02,m/s ,0.065,,,
flowmate new,2020-09-02,F200,0.7,0.1,5.5,0.01,m/s ,0.055,,,
flowmate new,2020-09-02,F200,0.8,0.1,4,0,m/s ,0.04,,,
flowmate new,2020-09-02,F200,0.9,0.1,3,0,m/s ,0.03,,,
flowmate new,2020-09-02,F200,1,0.1,3.5,0,m/s ,0.035,,,
flowmate new,2020-09-02,F200,1.1,0.1,7,0.06,m/s ,0.07,,,
flowmate new,2020-09-02,F200,1.2,0.1,9,0.11,m/s ,0.09,,,
flowmate new,2020-09-02,F200,1.3,0.1,12,0.13,m/s ,0.12,,,
flowmate new,2020-09-02,F200,1.4,0.1,13.5,0.12,m/s ,0.135,,,
flowmate new,2020-09-02,F200,1.5,0.1,14.5,0.09,m/s ,0.145,,,
flowmate new,2020-09-02,F200,1.6,0.1,13.5,0.06,m/s ,0.135,,,
flowmate new,2020-09-02,F200,1.7,0.1,14,0.06,m/s ,0.14,,,
flowmate new,2020-09-02,F200,1.8,0.1,12,0.02,m/s ,0.12,,,
flowmate new,2020-11-02,F200,0.3,0.1,7,0.01,m/s,0.07,,,
flowmate new,2020-11-02,F200,0.4,0.1,9,0,m/s,0.09,,,
flowmate new,2020-11-02,F200,0.5,0.1,9.5,0,m/s,0.095,,,
flowmate new,2020-11-02,F200,0.6,0.1,9,0,m/s,0.09,,,
flowmate new,2020-11-02,F200,0.7,0.1,10,0.02,m/s,0.1,,,
flowmate new,2020-11-02,F200,0.8,0.1,13.5,0.05,m/s,0.135,,,
flowmate new,2020-11-02,F200,0.9,0.1,16,0.04,m/s,0.16,,,
flowmate new,2020-11-02,F200,1,0.1,20,0.07,m/s,0.2,,,
flowmate new,2020-11-02,F200,1.1,0.1,20,0.05,m/s,0.2,,,
flowmate new,2020-11-02,F200,1.2,0.1,20,0.08,m/s,0.2,,,
flowmate new,2020-11-02,F200,1.3,0.1,20.5,0.06,m/s,0.205,,,
flowmate new,2020-11-02,F200,1.4,0.1,22,0.09,m/s,0.22,,,
flowmate new,2020-11-02,F200,1.5,0.1,23.5,0.1,m/s,0.235,,,
flowmate new,2020-11-02,F200,1.6,0.1,21.8,0.07,m/s,0.218,,,
flowmate new,2020-11-02,F200,1.7,0.1,18.5,0.02,m/s,0.185,,,
flowmate new,2020-11-02,F200,1.8,0.1,18,0.01,m/s,0.18,,,
flowmate new,2020-12-02,F200,0.1,0.1,4,0,m/s,0.04,,,
flowmate new,2020-12-02,F200,0.2,0.1,6.5,0,m/s,0.065,,,
flowmate new,2020-12-02,F200,0.3,0.1,8,0,m/s,0.08,,,
flowmate new,2020-12-02,F200,0.4,0.1,10.5,0.05,m/s,0.105,,,
flowmate new,2020-12-02,F200,0.5,0.1,10.5,0.01,m/s,0.105,,,
flowmate new,2020-12-02,F200,0.6,0.1,14,0.01,m/s,0.14,,,
flowmate new,2020-12-02,F200,0.7,0.1,16,0.13,m/s,0.16,,,
flowmate new,2020-12-02,F200,0.8,0.1,18,0.07,m/s,0.18,,,
flowmate new,2020-12-02,F200,0.9,0.1,19,0.08,m/s,0.19,,,
flowmate new,2020-12-02,F200,1,0.1,19,0.12,m/s,0.19,,,
flowmate new,2020-12-02,F200,1.1,0.1,19.5,0.1,m/s,0.195,,,
flowmate new,2020-12-02,F200,1.2,0.1,21,0.11,m/s,0.21,,,
flowmate new,2020-12-02,F200,1.3,0.1,23,0.07,m/s,0.23,,,
flowmate new,2020-12-02,F200,1.4,0.1,24,0.1,m/s,0.24,,,
flowmate new,2020-12-02,F200,1.5,0.1,25,0.1,m/s,0.25,,,
flowmate new,2020-12-02,F200,1.6,0.1,21,0.1,m/s,0.21,,,
flowmate new,2020-12-02,F200,1.7,0.1,20.5,0.06,m/s,0.205,,,
flowmate new,2020-12-02,F200,1.8,0.1,18,0,m/s,0.18,,,
flowmate new,2020-05-25,F200,0,0.1,4,NA,m/s,0.04,,,
flowmate new,2020-05-25,F200,0.1,0.1,9,NA,m/s,0.09,,,
flowmate new,2020-05-25,F200,0.2,0.1,11,0.01,m/s,0.11,,,
flowmate new,2020-05-25,F200,0.3,0.1,15,0.1,m/s,0.15,,,
flowmate new,2020-05-25,F200,0.4,0.1,14,0.04,m/s,0.14,,,
flowmate new,2020-05-25,F200,0.5,0.1,15,0.07,m/s,0.15,,,
flowmate new,2020-05-25,F200,0.6,0.1,13,0.19,m/s,0.13,,,
flowmate new,2020-05-25,F200,0.7,0.1,12.5,0.23,m/s,0.125,,,
flowmate new,2020-05-25,F200,0.8,0.1,14,0.14,m/s,0.14,,,
flowmate new,2020-05-25,F200,0.9,0.1,15,0.24,m/s,0.15,,,
flowmate new,2020-05-25,F200,1,0.1,16,0.37,m/s,0.16,,,
flowmate new,2020-05-25,F200,1.1,0.1,17,0.4,m/s,0.17,,,
flowmate new,2020-05-25,F200,1.2,0.1,17,0.35,m/s,0.17,,,
flowmate new,2020-05-25,F200,1.3,0.1,19,0.36,m/s,0.19,,,
flowmate new,2020-05-25,F200,1.4,0.1,20,0.39,m/s,0.2,,,
flowmate new,2020-05-25,F200,1.5,0.1,20,0.4,m/s,0.2,,,
flowmate new,2020-05-25,F200,1.6,0.1,17,0.61,m/s,0.17,,,
flowmate new,2020-05-25,F200,1.7,0.1,14,0.35,m/s,0.14,,,
flowmate new,2020-05-25,F200,1.8,0.1,12,0.25,m/s,0.12,,,
flowmate new,2020-05-25,F200,1.9,0.1,5,0.07,m/s,0.05,,,
flowmate new,2020-05-25,F200,2,0.1,NA,NA,m/s,NA,,,
flowmate new,2020-07-06,F200,0.3,0.1,6,0,m/s,0.06,,,
flowmate new,2020-07-06,F200,0.4,0.1,7,0.11,m/s,0.07,,,
flowmate new,2020-07-06,F200,0.5,0.1,6,0.11,m/s,0.06,,,
flowmate new,2020-07-06,F200,0.6,0.1,6,0.12,m/s,0.06,,,
flowmate new,2020-07-06,F200,0.7,0.1,6,0.21,m/s,0.06,,,
flowmate new,2020-07-06,F200,0.8,0.1,5,0.16,m/s,0.05,,,
flowmate new,2020-07-06,F200,0.9,0.1,5,0.15,m/s,0.05,,,
flowmate new,2020-07-06,F200,1,0.1,6,0.1,m/s,0.06,,,
flowmate new,2020-07-06,F200,1.1,0.1,7,0.31,m/s,0.07,,,
flowmate new,2020-07-06,F200,1.2,0.1,6,0.29,m/s,0.06,,,
flowmate new,2020-07-06,F200,1.3,0.1,7,0.26,m/s,0.07,,,
flowmate new,2020-07-06,F200,1.4,0.1,8,0.17,m/s,0.08,,,
flowmate new,2020-07-06,F200,1.5,0.1,10,0.1,m/s,0.1,,,
flowmate new,2020-07-06,F200,1.6,0.1,7,0.19,m/s,0.07,,,
flowmate new,2020-07-06,F200,1.7,0.1,7,0.1,m/s,0.07,,,
flowmate new,2020-07-06,F200,1.8,0.1,4,0.03,m/s,0.04,,,
flowmate new,2020-07-06,F200,1.9,0.1,0,0,m/s,0,,,
