No. ,Hole  Pos.,Weight  [mg],Name  ,Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Memo  ,Info  ,Date,Time
1,1,100,clean out blank,blank [O2],147,239,0.051,0.046,1,1,0,0,0.9073,,Cu,2019-APR-10,12:51:04 PM
2,2,100,clean out blank,blank [O2],109,2740,0.036,0.842,1,1,0,0,23.6463,,,2019-APR-10,12:58:46 PM
3,3,100,clean out blank,blank [O2],45,191,0.01,0.037,1,1,0,0,3.8027,,Cu,2019-APR-10,1:06:15 PM
4,4,25.17,RunIn,aspartic acid 1,7731,29674,10.639,36.17,1,1,0,0,3.3996,,,2019-APR-10,1:17:05 PM
5,5,25.43,RunIn,aspartic acid 1,7715,29902,10.509,36.073,1,1,0,0,3.4326,,,2019-APR-10,1:27:46 PM
6,6,25.11,aspartic acid,aspartic acid 1,7891,29836,10.52,36.06,0.9669,0.9892,0,0,3.4278,,,2019-APR-10,1:38:39 PM
7,7,25.21,aspartic acid,aspartic acid 1,7731,29590,10.52,36.06,0.9904,1.0014,0,0,3.4278,,,2019-APR-10,1:49:19 PM
8,8,25.03,aspartic acid,aspartic acid 1,7883,29697,10.52,36.06,0.9648,0.9907,0,0,3.4278,,,2019-APR-10,2:00:13 PM
9,9,44.54,fcr_sed_8m_r2_7/29/18,soil,1112,13891,0.942,9.551,0.974,0.9938,0,0,10.1444,,,2019-APR-10,2:08:50 PM
10,10,41.39,fcr_4m_7/16/18,soil,1586,18713,1.419,13.815,0.974,0.9938,0,0,9.7346,,,2019-APR-10,2:17:35 PM
11,11,23.6,f_sed_4m_r2_70218,soil,546,7716,0.864,10.085,0.974,0.9938,0,0,11.6734,,,2019-APR-10,2:26:13 PM
12,12,45.64,f_sed_4m_r1_62518,soil,1682,18717,1.357,12.531,0.974,0.9938,0,0,9.2363,,,2019-APR-10,2:35:01 PM
13,13,46.96,f_sed_4m_r2_62518,soil,1562,18577,1.235,12.088,0.974,0.9938,0,0,9.791,,,2019-APR-10,2:43:36 PM
14,14,44.03,f_sed_4m_r2_8/20/18,soil,1847,18534,1.529,12.863,0.974,0.9938,0,0,8.4136,,,2019-APR-10,2:52:27 PM
15,15,43.84,f_sed_8m_r1_5-14-18,soil,2117,22050,1.738,15.354,0.974,0.9938,0,0,8.8343,,,2019-APR-10,3:01:10 PM
