sep=,
No. ,Hole  Pos.,Weight  [mg],Name  ,Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Memo  ,Info  ,Date,Time,
1,1,50.00,machine blank,blank,0,1550,0.000,0.939,1.0000,1.0000,0,0,0.0000,,Npe,2022/03/24,09:48:59 AM,
2,2,50.00,machine blank,blank,141,4689,0.097,2.782,1.0000,1.0000,0,0,28.7706,,,2022/03/24,09:56:37 AM,
3,3,50.00,crucible blank,very low,144,127,0.099,0.049,1.0000,1.0000,0,0,0.4962,,Cu,2022/03/24,10:07:12 AM,
4,4,9.80,RunIn,very low,3033,11534,11.136,36.336,1.0000,1.0000,0,0,3.2629,,,2022/03/24,10:17:52 AM,
5,5,10.07,aspartic acid,very low,3175,11827,10.520,36.060,0.9299,0.9948,0,0,3.4278,,,2022/03/24,10:28:28 AM,
6,6,9.76,aspartic acid,very low,3133,11373,10.520,36.060,0.9126,1.0022,0,0,3.4278,,,2022/03/24,10:39:06 AM,
7,7,10.52,aspartic acid,very low,3343,12446,10.520,36.060,0.9253,0.9880,0,0,3.4278,,,2022/03/24,10:49:44 AM,
8,8,600.02,internal reference zzyzx,very low,495,4821,0.029,0.236,0.9226,0.9950,0,0,8.1225,,,2022/03/24,11:00:18 AM,
9,9,616.71,internal reference zzyzx,very low,403,4811,0.023,0.230,0.9226,0.9950,0,0,10.0519,,,2022/03/24,11:10:54 AM,
10,10,618.19,internal reference zzyzx,very low,506,4878,0.029,0.232,0.9226,0.9950,0,0,8.0199,,,2022/03/24,11:21:35 AM,
11,11,100.24,F25Oct21_sedtrap_ext,very low,2790,26997,0.929,8.224,0.9226,0.9950,0,0,8.8519,,,2022/03/24,11:32:13 AM,
12,12,102.55,F31Mar21_r2_con,very low,1510,15006,0.520,4.484,0.9226,0.9950,0,0,8.6270,,,2022/03/24,11:42:56 AM,
13,13,83.38,B6Dec21_sedtrap_ext,very low,3034,26802,1.208,9.816,0.9226,0.9950,0,0,8.1255,,,2022/03/24,11:53:34 AM,
14,14,50.00,F17Jun19_4m_F1,very low,2748,6719,1.837,4.160,0.9226,0.9950,0,0,2.2654,,,2022/03/24,12:04:13 PM,
15,15,50.00,F10Jun19_4m_F2,very low,4513,7926,2.935,4.894,0.9226,0.9950,0,0,1.6671,,,2022/03/24,12:14:52 PM,
16,16,50.00,F27May19_8m_F2,very low,4516,9946,2.937,6.121,0.9226,0.9950,0,0,2.0840,,,2022/03/24,12:25:33 PM,
17,17,50.00,B16May19_10m_F2,very low,5697,15346,3.674,9.404,0.9226,0.9950,0,0,2.5598,,,2022/03/24,12:36:11 PM,
18,18,50.00,B22Aug19_10m_F2,very low,4459,10428,2.902,6.414,0.9226,0.9950,0,0,2.2103,,,2022/03/24,12:46:51 PM,
19,19,50.00,F2Sep19_4m_F2,very low,3682,5212,2.418,3.034,0.9226,0.9950,0,0,1.2548,,,2022/03/24,12:57:30 PM,
20,20,50.00,B8Aug19_10m_F1,very low,6778,10539,4.347,6.481,0.9226,0.9950,0,0,1.4910,,,2022/03/24,01:08:09 PM,
21,21,50.00,B8Aug19_5m_F2,very low,3953,10194,2.587,6.272,0.9226,0.9950,0,0,2.4247,,,2022/03/24,01:18:50 PM,
22,22,9.52,aa as unknown,very low,3082,11210,10.739,36.185,0.9226,0.9950,0,0,3.3695,,,2022/03/24,01:29:39 PM,
23,23,50.00,F27Sep19_4m_F2,very low,3058,8893,2.030,5.481,0.9226,0.9950,0,0,2.7008,,,2022/03/24,01:40:18 PM,
24,24,50.00,F5Aug19_4m_F1,very low,2518,10669,1.693,6.561,0.9226,0.9950,0,0,3.8752,,,2022/03/24,01:51:04 PM,
25,25,50.00,F11Oct19_8m_F1,very low,2705,9274,1.810,5.713,0.9226,0.9950,0,0,3.1565,,,2022/03/24,02:01:46 PM,
26,26,50.00,B20Sep19_10m_F1,very low,3202,9871,2.119,6.076,0.9226,0.9950,0,0,2.8674,,,2022/03/24,02:12:30 PM,
27,27,50.00,B16May19_5m_F1,very low,3837,11846,2.515,7.276,0.9226,0.9950,0,0,2.8932,,,2022/03/24,02:23:15 PM,
28,28,50.00,F8Nov19_4m_F2,very low,3451,15329,2.274,9.393,0.9226,0.9950,0,0,4.1302,,,2022/03/24,02:34:02 PM,
29,29,50.00,F8Jul19_4m_F2,very low,7205,25037,4.613,15.296,0.9226,0.9950,0,0,3.3155,,,2022/03/24,02:44:49 PM,
30,30,70.79,F31Mar21_r2_ext,very low,928,9452,0.468,4.111,0.9226,0.9950,0,0,8.7824,,,2022/03/24,02:55:34 PM,
31,31,94.96,B9Nov21_sedtrap_ext,very low,2780,26043,0.977,8.376,0.9226,0.9950,0,0,8.5702,,,2022/03/24,03:06:17 PM,
32,32,100.86,B6Dec21_sedtrap_con,very low,3686,31574,1.200,9.554,0.9226,0.9950,0,0,7.9630,,,2022/03/24,03:17:08 PM,
33,33,77.38,B28Jun21_sedtrap_ext,very low,4818,37855,2.020,14.923,0.9226,0.9950,0,0,7.3893,,,2022/03/24,03:27:55 PM,
34,34,10.46,aa as unknown,very low,3368,12453,10.624,36.543,0.9226,0.9950,0,0,3.4398,,,2022/03/24,03:38:45 PM,
35,35,111.16,F31Aug21_sedtrap_con,very low,4788,41152,1.398,11.291,0.9226,0.9950,0,0,8.0791,,,2022/03/24,03:49:35 PM,
36,36,122.29,B9Nov21_sedtrap_init,very low,3877,35679,1.038,8.901,0.9226,0.9950,0,0,8.5732,,,2022/03/24,04:00:27 PM,
