"x","cast","Reservoir","Site","DateTime","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","MixedAlgae_ugL","YellowSubstances_ugL","TotalConc_ugL","Transmission","Depth_m","Temp_degC","RFU_525nm","RFU_570nm","RFU_610nm","RFU_370nm","RFU_590nm","RFU_470nm"
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:11:52,25.97,0.49,2.72,0,0.08,29.18,100,0.23,5.84,22.96,6.68,29.24,42.75,28.3,95.76
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:11:55,26.02,0.96,2.29,0,0.18,29.28,100,0.37,5.75,22.67,6.17,30.69,43.49,30.42,95.03
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:11:57,24.11,0.92,2.93,0,0.17,27.95,100,0.47,5.8,23.04,5.87,29.67,41.76,29.16,91.63
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:11:59,23.78,0.7,2.93,0,0.18,27.41,100,0.55,5.9,22.61,6.15,28.07,41.24,28.29,90.59
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:02,24.73,0.94,2.63,0,0.18,28.3,100,0.55,6.08,22.6,6.97,29.68,42.26,29.58,92.41
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:04,25.56,0.97,2.22,0,0.15,28.75,100,0.57,6.53,22.17,6.64,30.92,42.47,29.15,93.03
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:06,24.72,0.92,2.43,0,0,28.07,100,0.62,6.83,21.63,7.07,29.93,39.99,28.51,89.97
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:09,24.05,0.97,2.62,0,0.18,27.64,100,0.65,6.7,22.24,6.62,29.43,41.28,28.98,90.17
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:11,24.47,0.68,2.73,0,0.15,27.88,100,0.7,6.56,22.34,7.06,28.23,41.53,28.52,91.65
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:14,23.51,0.78,2.75,0,0.23,27.04,100,0.75,6.6,22.17,6.26,27.7,41.08,28.6,89.34
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:16,23.22,0.7,2.82,0,0.13,26.75,100,0.78,6.57,21.87,6.18,27.66,39.67,27.45,87.86
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:18,22.42,0.7,3.02,0,0.17,26.14,100,0.83,6.75,21.99,5.69,26.77,39.29,27.5,86.51
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:21,23.68,0.8,2.09,0,0.23,26.57,100,0.88,6.85,20.65,6.79,27.6,40.18,27.58,86.96
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:23,22.89,0.77,2.59,0,0.21,26.24,100,0.96,6.46,21.35,6.42,27.38,39.73,27.27,86.47
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:26,22.12,0.84,2.63,0,0.13,25.59,100,1.05,5.79,20.85,6.49,27.31,37.93,26.63,83.55
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:28,21.92,0.71,2.43,0,0.17,25.06,100,1.12,5.49,20.27,6.05,26.16,37.63,25.96,82.35
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:30,20.43,0.75,2.74,0,0.19,23.91,100,1.15,5.51,20.25,5.59,25.51,36.26,25.18,79.07
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:33,20.66,0.66,2.68,0,0.09,24.01,100,1.16,5.53,19.82,6.24,25,35.41,24.99,78.75
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:35,19.96,0.75,2.96,0,0.21,23.66,100,1.18,5.65,20.44,6.73,25.34,36.2,24.85,78.69
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:37,20.06,0.74,2.8,0,0.15,23.6,100,1.24,5.81,20,6.09,25.14,35.43,24.89,77.82
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:40,21.01,0.75,2.56,0,0.14,24.31,100,1.25,5.82,20,6.1,26.13,36.23,25.01,79.69
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:42,20.67,0.72,2.61,0,0.25,24,100,1.3,5.77,20.23,5.73,25.92,36.98,24.71,79.73
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:45,20.92,0.84,2.37,0,0.23,24.13,100,1.33,5.89,19.79,6.12,26.26,36.76,25.22,79.33
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:47,20.79,0.82,2.26,0,0.19,23.86,100,1.42,5.75,19.28,5.97,25.26,35.98,25.59,78.12
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:49,20.64,0.79,2.44,0,0.18,23.88,100,1.49,5.5,19.65,5.61,25.58,35.95,25.23,78.35
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:52,20.4,0.77,2.74,0,0.16,23.91,100,1.57,5.56,20.12,5.97,25.43,35.94,25.31,78.76
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:54,19.99,0.83,2.7,0,0.19,23.53,100,1.68,5.49,19.89,6.11,25.34,35.58,25.19,77.48
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:56,20.17,0.73,2.68,0,0.17,23.58,100,1.77,5.54,19.83,5.88,24.98,35.59,24.94,77.82
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:12:59,20.13,0.83,2.54,0,0.24,23.51,100,1.84,5.71,19.74,6.02,25.4,36.05,25.12,77.65
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:01,20.49,0.86,2.42,0,0.23,23.77,100,1.9,5.7,19.65,6.28,25.93,36.28,25.13,78.19
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:04,21.48,0.91,2.31,0,0.22,24.7,100,1.97,5.61,20,6.22,26.66,37.47,26.28,80.86
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:06,21.16,0.85,2.42,0,0.25,24.44,100,2.02,5.72,20.16,5.99,26.53,37.47,25.67,80.55
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:08,21.39,0.77,2.63,0,0.13,24.78,100,2.08,5.89,20.35,6.06,26.15,36.8,25.98,81.15
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:11,21.46,0.75,2.63,0,0.12,24.84,100,2.15,5.96,20.39,5.76,26.04,36.84,26.08,81.34
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:13,21.58,0.79,2.74,0,0.11,25.11,100,2.24,6.04,20.68,6.35,26.55,37.07,26.25,82.1
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:16,20.99,0.73,2.94,0,0.21,24.66,100,2.3,5.9,21.01,6.18,25.72,37.53,26.13,81.87
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:18,20.92,0.76,2.61,0,0.18,24.29,100,2.37,5.75,20.14,6.07,25.75,36.58,25.56,79.94
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:20,20.99,0.81,2.61,0,0.18,24.41,100,2.49,5.62,20.24,6.22,26.03,36.81,25.79,80.27
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:23,21.33,0.72,2.49,0,0.16,24.54,100,2.55,5.44,20.04,6.02,25.95,36.81,25.42,80.6
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:25,20.62,0.91,2.61,0,0.23,24.14,100,2.63,5.41,20.22,6.21,26.22,36.82,25.92,79.46
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:27,20.54,0.86,2.68,0,0.22,24.08,100,2.74,5.43,20.31,5.99,26.04,36.69,25.7,79.43
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:30,20.32,0.83,2.65,0,0.22,23.8,100,2.87,5.35,20.04,6.12,25.54,36.31,25.46,78.57
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:32,20.59,0.86,2.53,0,0.21,23.99,100,3,5.28,19.94,6.05,25.91,36.41,25.61,78.86
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:35,20.34,0.81,2.52,0,0.21,23.66,100,3.11,5.38,19.72,6.01,25.43,36.02,25.12,77.99
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:37,20.49,0.88,2.42,0,0.25,23.8,100,3.19,5.45,19.73,6.19,25.81,36.52,25.5,78.4
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:39,20.67,0.81,2.72,0,0.15,24.2,100,3.26,5.39,20.24,6.12,25.89,36.22,25.63,79.46
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:42,21.2,0.9,2.62,0,0.21,24.72,100,3.32,5.47,20.57,6.31,26.87,37.49,26.14,81.25
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:44,20.2,0.82,2.66,0,0.25,23.69,100,3.51,5.45,20.05,6.2,25.39,36.41,25.41,78.46
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:46,20.85,0.94,2.48,0,0.25,24.27,100,3.65,5.35,20.15,5.99,26.36,37.15,26.17,79.8
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:49,20.52,0.9,2.52,0,0.25,23.93,100,3.81,5.34,20,5.97,25.98,36.72,25.72,78.89
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:51,20.24,0.9,2.75,0,0.24,23.89,100,3.96,5.28,20.32,6.36,25.79,36.64,25.92,78.96
