Reservoir,Site,Site_code,Date,Time,Depth_m,Rep,label,samp_Id_eems,Totals (TNTP),Solubles,VT_Metals,Ions,Alkalinity,Chla,EEMs,Isotope
CCR,50,C50,5/22/2024,10:30:00,0.1,1,C50_22MAY24_01R1,,X,X,,,,X,X,X
CCR,50,C50,5/22/2024,10:30:00,0.1,2,C50_22MAY24_01R2,20241118_C50_22MAY24_01R2.csv,X,X,,,,,X,
CCR,50,C50,5/22/2024,10:30:00,1.5,1,C50_22MAY24_15R1,,X,X,,,,,X,X
CCR,50,C50,5/22/2024,10:30:00,1.5,2,C50_22MAY24_15R2,20241118_C50_22MAY24_15R2.csv,X,X,,,,,X,
CCR,50,C50,5/22/2024,10:30:00,6,1,C50_22MAY24_6R1,20241118_C50_22MAY24_6R1.csv,X,X,,,,,X,X
CCR,50,C50,5/22/2024,10:30:00,6,2,C50_22MAY24_6R2,,X,X,,,,,X,
CCR,50,C50,5/22/2024,10:30:00,9,1,C50_22MAY24_9R1,,X,X,,,,,X,X
CCR,50,C50,5/22/2024,10:30:00,9,2,C50_22MAY24_9R2,20241118_C50_22MAY24_9R2.csv,X,X,,,,,X,
CCR,50,C50,5/22/2024,10:30:00,20,1,C50_22MAY24_20R1,20241118_C50_22MAY24_20R1.csv,X,X,,,,,X,X
CCR,50,C50,5/22/2024,10:30:00,20,2,C50_22MAY24_20R2,,X,X,,,,,X,
CCR,88,CC4,5/22/2024,11:57:00,0.1,1,CC5_22may24_01r1,20240726_CC5_22may24_01r1.csv,X,X,,,,X,X,X
CCR,88,CC4,5/22/2024,11:57:00,0.1,2,CC5_22may24_01r2,,X,X,,,,,X,
CCR,88,CC4,5/22/2024,11:57:00,1.5,1,CC5_22may24_15r1,,X,X,,,,,X,X
CCR,88,CC4,5/22/2024,11:57:00,1.5,2,CC5_22may24_15r2,20240726_CC5_22may24_15r2.csv,X,X,,,,,X,
CCR,88,CC4,5/22/2024,11:57:00,6,1,CC5_22may24_6r1,,X,X,,,,,X,X
CCR,88,CC4,5/22/2024,11:57:00,6,2,CC5_22may24_6r2,20240726_CC5_22may24_6r2.csv,X,X,,,,,X,
CCR,88,CC4,5/22/2024,11:57:00,9,1,CC5_22may24_9r1,,X,X,,,,,X,X
CCR,88,CC4,5/22/2024,11:57:00,9,2,CC5_22may24_9r2,20240726_CC5_22may24_9r2.csv,X,X,,,,,X,
CCR,88,CC4,5/22/2024,11:57:00,13,1,CC5_22may24_13r1,20240726_CC5_22may24_13r1.csv,X,X,,,,,X,X
CCR,88,CC4,5/22/2024,11:57:00,13,2,CC5_22may24_13r2,,X,X,,,,,X,
CCR,90,CC3,5/22/2024,12:50:00,0.1,1,CC4_22may24_01r1,20240614_CC4_22may24_01r1.csv,X,X,,,,X,X,X
CCR,90,CC3,5/22/2024,12:50:00,0.1,2,CC4_22may24_01r2,,X,X,,,,,X,
CCR,90,CC3,5/22/2024,12:50:00,1.5,1,CC4_22may24_15r1,,X,X,,,,,X,X
CCR,90,CC3,5/22/2024,12:50:00,1.5,2,CC4_22may24_15r2,20240614_CC4_22may24_15r2.csv,X,X,,,,,X,
CCR,90,CC3,5/22/2024,12:50:00,6,1,CC4_22may24_BOTr1,20240614_CC4_22may24_BOTr1.csv,X,X,,,,,X,X
CCR,90,CC3,5/22/2024,12:50:00,6,2,CC4_22may24_BOTr2,,X,X,,,,,X,
CCR,92,CC2,5/22/2024,13:55:00,0.1,1,CC2_22may24_01r1,20240614_CC2_22may24_01r1.csv,X,X,,,,X,X,X
CCR,92,CC2,5/22/2024,13:55:00,0.1,2,CC2_22may24_01r2,,X,X,,,,,X,
CCR,92,CC2,5/22/2024,13:55:00,2,1,CC2_22may24_BOTr1,20240614_CC2_22may24_BOTr1.csv,X,X,,,,,X,X
CCR,92,CC2,5/22/2024,13:55:00,2,2,CC2_22may24_BOTr2,20240823_CC2_22may24_BOTr2.csv,X,X,,,,,X,
CCR,94,CC1,5/22/2024,14:17:00,0.1,1,CC1_22may24_01r1,,X,X,,,,X,X,X
CCR,94,CC1,5/22/2024,14:17:00,0.1,2,CC1_22may24_01r2,20240614_CC1_22may24_01r2.csv,X,X,,,,,X,
CCR,94,CC1,5/22/2024,14:17:00,1.5,1,CC1_22may24_BOTr1,20240614_CC1_22may24_BOTr1.csv,X,X,,,,,X,X
CCR,94,CC1,5/22/2024,14:17:00,1.5,2,CC1_22may24_BOTr2,,X,X,,,,,X,
CCR,96,CP2,5/22/2024,14:37:00,0.1,1,CP2_22may24_01r1,20240614_CP2_22may24_01r1.csv,X,X,,,,X,X,X
CCR,96,CP2,5/22/2024,14:37:00,0.1,2,CP2_22may24_01r2,,X,X,,,,,X,
CCR,96,CP2,5/22/2024,14:37:00,1.5,1,CP2_22may24_BOTr1,,X,X,,,,,X,X
CCR,96,CP2,5/22/2024,14:37:00,1.5,2,CP2_22may24_BOTr2,20240614_CP2_22may24_BOTr2.csv,X,X,,,,,X,
CCR,98,CP1,5/22/2024,14:56:00,0.1,1,CP1_22may24_01r1,,X,X,,,,X,X,X
CCR,98,CP1,5/22/2024,14:56:00,0.1,2,CP1_22may24_01r2,20240614_CP1_22may24_01r2.csv,X,X,,,,,X,
CCR,98,CP1,5/22/2024,14:56:00,0.5,1,CP1_22may24_BOTr1,20240614_CP1_22may24_BOTr1.csv,X,X,,,,,X,X
CCR,98,CP1,5/22/2024,14:56:00,0.5,2,CP1_22may24_BOTr2,,X,X,,,,,X,
CCR,100,CS2,5/22/2024,16:05:00,0.1,1,CS2_22MAY24_01R1,20241118_CS2_22MAY24_01R1.csv,X,X,,,,X,X,X
CCR,100,CS2,5/22/2024,16:05:00,0.1,2,CS2_22may24_01r2,20240614_CS2_22may24_01r2.csv,X,X,,,,,X,
CCR,101,CS1,5/22/2024,15:25:00,0.1,1,CS1_22may24_01r1,,X,X,,,,X,X,X
CCR,101,CS1,5/22/2024,15:25:00,0.1,2,CS1_22may24_01r2,20240614_CS1_22may24_01r2.csv,X,X,,,,,X,
CCR,50,C50,6/19/2024,9:10:00,0.1,1,C50_19JUN24_01R1,,X,X,,,,X,X,X
CCR,50,C50,6/19/2024,9:10:00,0.1,2,C50_19JUN24_01R2,20241118_C50_19JUN24_01R2.csv,X,X,,,,,X,
CCR,50,C50,6/19/2024,9:10:00,1.5,1,C50_19JUN24_15R1,,X,X,,,,,X,X
CCR,50,C50,6/19/2024,9:10:00,1.5,2,C50_19JUN24_15R2,20241118_C50_19JUN24_15R2.csv,X,X,,,,,X,
CCR,50,C50,6/19/2024,9:10:00,6,1,C50_19JUN24_6R1,20241118_C50_19JUN24_6R1.csv,X,X,,,,,X,X
CCR,50,C50,6/19/2024,9:10:00,6,2,C50_19JUN24_6R2,,X,X,,,,,X,
CCR,50,C50,6/19/2024,9:10:00,9,1,C50_19JUN24_9R1,,X,X,,,,,X,X
CCR,50,C50,6/19/2024,9:10:00,9,2,C50_19JUN24_9R2,20241118_C50_19JUN24_9R2.csv,X,X,,,,,X,
CCR,50,C50,6/19/2024,9:10:00,20,1,C50_19JUN24_20R1,,X,X,,,,,X,X
