Reservoir,Site,Date,Depth_m,Rep,NH4_ugL,PO4_ugL,NO3NO2_ugL,DIC_mgL,DC_mgL,DOC_mgL,DN_mgL,TP_ugL,TN_ugL
BVR,50,10/31/2023,3,1,18.2,188,4.85,3.72853967,15.28549173,11.55695206,0.264199689,NA,NA
FCR,100,1/29/2024,0.1,1,3.6,13.2,1.5,2.967347307,6.022209686,3.054862379,0.12702253,16.1,100
FCR,50,1/29/2024,0.1,1,47.7,4.7,27.8,4.36415094,8.463969897,4.099818957,0.368600203,17.9,311
FCR,50,1/29/2024,1.6,1,47.7,6.2,17.9,4.06495699,8.440363633,4.375406643,0.35579964,24,371
FCR,50,1/29/2024,3.8,1,41.4,4.3,17.3,4.146417207,8.456342197,4.30992499,0.31829737,28.1,411
FCR,50,1/29/2024,5,1,34.8,4.1,15.3,4.083545228,8.47232076,4.388775533,0.351301799,20.9,361
FCR,50,1/29/2024,6.2,1,42.1,6.59,16.2,4.2011771,8.162133512,3.960956412,0.31186883,32.8,356.3793052
FCR,50,1/29/2024,8,1,41.3,6.31,14.4,4.350401502,8.539032174,4.188630672,0.335703329,27.3,385.7262396
FCR,50,1/29/2024,9,1,42.9,4.92,15,4.280353515,8.441430393,4.161076878,0.339115815,26.4,384
FCR,100,2/13/2024,0.1,1,6.12,12.1,1.07,2.887456837,6.5816921,3.694235263,0.174119125,23.4,140.7872163
FCR,50,2/13/2024,0.1,1,6.6,4.5,6.6,4.152617138,7.922086326,3.769469189,0.255133736,28.7,434.8205971
FCR,50,2/13/2024,1.6,1,7.4,5.4,1,4.247892416,8.18755454,3.939662124,0.28393909,29.4,342.0398265
FCR,50,2/13/2024,3.8,1,4,5.9,2.8,3.91435548,7.970776188,4.056420708,0.247838879,27.4,320.8633231
FCR,50,2/13/2024,5,1,10.5,5.68,-2.04,3.985043942,7.840149563,3.855105622,0.261858258,27.1,358.4274135
FCR,50,2/13/2024,6.2,1,9.52,6.54,1.14,4.289928419,8.165068827,3.875140407,0.266136509,19.9,317
FCR,50,2/13/2024,8,1,16.4,9.44,2.2,4.315125537,8.218113273,3.902987736,0.282899598,32,318.1301153
FCR,50,2/13/2024,9,1,1.37,5.26,3.63,4.441111127,8.384142391,3.943031264,0.285234457,21.8,364
FCR,50,2/27/2024,8,1,6.09,5.28,0.971,3.978151313,8.089150483,4.110999171,0.270443506,27.3,308.5625278
FCR,100,2/27/2024,0.1,1,5.2,14.1,2.9,4.081160679,6.1842274,2.103066721,0.102574289,19.8,79.67980539
FCR,50,2/27/2024,0.1,1,7.7,5.4,1.4,3.954520992,7.933457479,3.978936487,0.256847135,25.6,321.546598
FCR,50,2/27/2024,1.6,1,2.4,5.7,1.8,4.180313404,8.163769188,3.983455784,0.260858723,27.4,380
FCR,50,2/27/2024,3.8,1,1.7,4.8,-0.1,4.160631741,8.003432568,3.842800826,0.249431776,30.5,337.9419581
FCR,50,2/27/2024,5,1,7.5,5,-0.8,4.129365433,8.076988398,3.947622965,0.278008576,13.8,333
FCR,50,2/27/2024,6.2,1,8.79,6.21,1.35,4.188132063,7.967213041,3.764970592,0.257455624,17.8,303
FCR,50,2/27/2024,9,1,10.2,6.3,-0.2,4.066064687,8.096133929,4.030069242,0.245749338,31.5,346.8201818
BVR,50,3/5/2024,0.1,1,20.2,5.5,18.6,3.280970745,7.338393733,4.057422988,0.282618549,62.9,374
BVR,50,3/5/2024,3,1,35,6,19.6,3.380472486,7.710308574,4.329836088,0.326320546,24.6,307.8790477
BVR,50,3/5/2024,6,1,64.7,4.9,18.7,3.177082323,7.214746979,4.037664656,0.337863262,22.4,283.9504435
BVR,50,3/5/2024,9,1,59.3,4.7,20.5,3.312133378,7.486057699,4.173924322,0.363397344,17.1,349
FCR,100,3/5/2024,0.1,1,4.5,14,2.6,4.101009695,6.040272472,1.939262776,0.117642635,17.1,85.2
FCR,50,3/5/2024,0.1,1,7.2,5.5,1.7,4.304603891,6.897433756,2.592829865,0.223121063,17.7,266.1663477
FCR,50,3/5/2024,1.6,1,11,5.67,1.08,4.042996664,7.530126803,3.487130139,0.257156283,18.5,416
FCR,50,3/5/2024,3.8,1,5.59,6.13,-0.483,3.982089958,8.538318091,4.556228133,0.252012238,31.2,342.7227668
FCR,50,3/5/2024,5,1,10.2,5.1,5.84,4.022953402,7.822440446,3.799487044,0.242586476,30.9,299
FCR,50,3/5/2024,6.2,1,7,4.7,-0.5,3.993337605,7.907561186,3.914223581,0.278424616,20.3,256
FCR,50,3/5/2024,8,1,8.19,5.17,1.04,4.11909196,8.627085955,4.507993995,0.266615455,18.5,365
FCR,50,3/5/2024,9,1,6.4,4.7,2.3,3.941226483,7.889792868,3.948566385,0.251147319,24.5,414
BVR,50,3/18/2024,0.1,1,12.2,4.7,2.1,2.991784361,7.273543088,4.281758726,0.27604768,NA,NA
BVR,50,3/18/2024,3,1,33.7,7.5,3.9,3.100388,8.090587126,4.990199126,0.431834555,23.7,324.9628109
BVR,50,3/18/2024,6,1,19.7,6.3,6.4,3.180375578,7.572562336,4.392186759,0.354827133,20.4,281.2149038
BVR,50,3/18/2024,9,1,74.2,5.82,13.5,4.018030096,7.491333619,3.473303524,0.265220313,19.4,337.2589423
FCR,100,3/18/2024,0.1,1,4.9,13.7,1.5,4.094615128,5.877967527,1.783352399,0.067035557,18,63.18676309
FCR,50,3/18/2024,0.1,1,10.4,5.15,-0.571,4.215848893,7.871733038,3.655884145,0.26775295,30.8,348.1859004
FCR,50,3/18/2024,1.6,1,7.32,6.27,2.27,4.171501965,7.833010592,3.661508627,0.259491142,27.6,303.0943849
FCR,50,3/18/2024,3.8,1,5,5.6,-0.4,4.180405761,7.867897969,3.687492209,0.248779614,26.8,314.7133627
FCR,50,3/18/2024,5,1,17.7,4.7,-0.2,3.929470419,7.771645971,3.842175552,0.2416283,22.4,332
FCR,50,3/18/2024,6.2,1,24.6,5.41,2.23,4.085971726,7.787558852,3.701587126,0.260297303,24.8,377
FCR,50,3/18/2024,8,1,33.6,5.5,2.2,4.025758181,7.784403617,3.758645435,0.263684564,27.6,344.7715229
FCR,50,3/18/2024,9,1,30.1,-3.7,-0.1,4.092839346,7.903704292,3.810864945,0.284381217,37,396
FCR,100,3/25/2024,0.1,1,5.01,12,1.18,3.698300091,5.842252516,2.143952425,0.123350912,31.5,129.8079192
FCR,50,3/25/2024,0.1,1,10.5,8.1,2.4,3.877967662,8.223155711,4.345188048,0.306636236,25.6,331.1113138
FCR,50,3/25/2024,1.6,1,9.1,4.9,-0.9,4.043731105,7.963685469,3.919954364,0.27595105,30.8,313.3465861
FCR,50,3/25/2024,3.8,1,9.15,5.6,1.68,3.967812369,7.601344802,3.633532433,0.25507411,23.6,324.2795899
FCR,50,3/25/2024,5,1,6.5,5.4,-0.1,3.991049802,7.579171917,3.588122115,0.216089468,30.6,309.9294556
FCR,50,3/25/2024,6.2,1,11,5.74,2.16,4.401803623,8.042536155,3.640732533,0.274877263,36,344.088615
FCR,50,3/25/2024,8,1,12.6,-6.8,0.3,4.070385499,7.797836255,3.727450756,0.271836,30.8,359
FCR,50,3/25/2024,9,1,18.8,5.77,0.0654,4.05150858,7.439816188,3.388307607,0.248950367,27.9,365
BVR,50,4/1/2024,0.1,1,10.3,10,0.2,3.11774219,7.635194624,4.517452434,0.291312936,28,384.3617085
BVR,50,4/1/2024,3,1,9.16,8.61,0.0205,3.071770575,7.573439526,4.501668951,0.29421804,22.9,320.8633231
BVR,50,4/1/2024,6,1,2.7,7.9,0.7,3.087434391,8.569294112,5.481859721,0.362424838,24.4,346.8201818
BVR,50,4/1/2024,9,1,13.8,4.3,1.2,3.110396331,8.394631882,5.284235551,0.302858834,22.7,306.5120552
FCR,100,4/1/2024,0.1,1,9.04,14,2.79,4.952077472,6.518091854,1.566014382,0.046529662,19.6,156
FCR,50,4/1/2024,3.8,1,13.7,6.44,4.56,5.056483558,8.404367038,3.34788348,0.243661503,27.1,338
