Reservoir,Site,DateTime,WeirWaterLevel_cm,Flag_WeirWaterLevel
FCR,100,4/20/20 11:55,24.8,2
FCR,100,6/8/20 15:50,28.1,2
FCR,100,8/10/20 13:52,0,2
FCR,100,8/24/20 15:30,12,1
FCR,100,9/14/20 14:56,10,1
FCR,100,9/30/20 13:15,12.8,1
FCR,100,10/19/20 16:30,10,1
FCR,100,11/2/20 13:10,15,1
FCR,100,11/9/20 13:14,11,1
FCR,100,12/2/20 13:31,20.05,1
