"Num","Date","Start","End","Gas","Slope","R2","Ta","Flux","Reservoir","Site","Date_real","Time"
1,"2001-12-31","19:06:50","19:10:49","CO2",-0.01,0.83,31.74,-0.057,"FCR","50",2023-05-08,""
2,"2001-12-31","19:17:02","19:21:01","CO2",-0.007,0.76,33.14,-0.04,"FCR","50",2023-05-08,""
1,"2001-12-31","19:06:50","19:10:49","CH4",0.002,0.98,31.74,0.011,"FCR","50",2023-05-08,""
2,"2001-12-31","19:17:02","19:21:01","CH4",0.001,0.99,33.14,0.006,"FCR","50",2023-05-08,""
