"Num","Date","Start","End","Gas","Slope","R2","Ta","Flux","Reservoir","Site","Date_real","Time"
1,"2001-12-31","19:04:43","19:08:42","CO2",0.155,0.98,20.14,0.926,"FCR","50",2023-11-14,"13:05"
2,"2001-12-31","19:11:37","19:15:35","CO2",0.153,0.94,20.62,0.913,"FCR","50",2023-11-14,"13:05"
1,"2001-12-31","19:04:43","19:08:42","CH4",0,0.98,20.14,0,"FCR","50",2023-11-14,"13:05"
2,"2001-12-31","19:11:37","19:15:35","CH4",0,0.95,20.62,0,"FCR","50",2023-11-14,"13:05"
