sep=	
No. 	Hole  Pos.	Name  	Method  	Coefficients  	NPOC vol. [ml]	TIC vol. [ml]	TC vol. [ml]	TIC  Area	TC  Area	NPOC  Area	TNb  Area	TIC [mg/l]	TC [mg/l]	TOC (Diff.) [mg/l]	NPOC [mg/l]	TNb [mg/l]	Dilut.  Factor	TC  Blank	TIC  Blank	NPOC  Blank	TNb  Blank	Memo  	Info  	Date	Time	
1	1	RunIn	TIC/TC/TNb			0.300	0.300	6179	11825		5552	8.593	17.162	8.569		0.774	1.00	0	0		0			2023-03-27	09:46:08	
2	1	RunIn	TIC/TC/TNb			0.300	0.300	6347	11870		5567	8.806	17.225	8.418		0.777	1.00	0	0		0			2023-03-27	09:56:17	
3	1	RunIn	TIC/TC/TNb			0.300	0.300	6387	11881		5647	8.859	17.241	8.382		0.791	1.00	0	0		0			2023-03-27	10:07:02	
4	3	Rinse	TIC/TC/TNb			0.500	0.500	2765	1152		580	2.536	1.255	0.000		0.000	1.00	0	0		0			2023-03-27	10:24:52	
5	3	Rinse	TIC/TC/TNb			0.500	0.500	614	1061		516	0.886	1.177	0.291		0.000	1.00	0	0		0			2023-03-27	10:34:07	
6	3	Rinse	TIC/TC/TNb			0.500	0.500	560	1050		551	0.845	1.168	0.323		0.000	1.00	0	0		0			2023-03-27	10:43:52	
7	3		Flush																					2023-03-27	10:49:21	
8	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	70	271		378	0.468	0.508	0.039		0.000	1.00	0	0		0			2023-03-27	11:04:37	
9	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	67	241		306	0.466	0.483	0.017		0.000	1.00	0	0		0			2023-03-27	11:12:43	
10	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	68	208		340	0.467	0.455	0.000		0.000	1.00	0	0		0			2023-03-27	11:21:25	
11	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	553	2005		1114	2.097	4.944	2.846		0.001	1.00	0	0		0			2023-03-27	11:37:08	
12	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1102	2049		1081	3.151	5.035	1.885		0.000	1.00	0	0		0			2023-03-27	11:46:05	
13	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1101	2097		1071	3.149	5.138	1.989		0.000	1.00	0	0		0			2023-03-27	11:55:34	
14	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3572	6866		3042	2.630	5.079	2.450		0.168	1.00	0	0		0			2023-03-27	12:14:41	
15	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3636	6973		3084	2.670	5.155	2.485		0.172	1.00	0	0		0			2023-03-27	12:25:21	
16	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3611	7013		3151	2.655	5.184	2.529		0.178	1.00	0	0		0			2023-03-27	12:36:32	
17	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	4403	10652		4599	5.694	13.969	8.274		0.548	1.00	0	0		0			2023-03-27	12:55:20	
18	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5510	10707		4607	6.970	14.038	7.069		0.549	1.00	0	0		0			2023-03-27	13:05:42	
19	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5577	10712		4704	7.048	14.044	6.996		0.565	1.00	0	0		0			2023-03-27	13:16:40	
20	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	7977	15648		6735	6.996	14.492	7.496		0.630	1.00	0	0		0			2023-03-27	13:37:33	
21	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8146	15791		6830	7.135	14.622	7.487		0.641	1.00	0	0		0			2023-03-27	13:48:49	
22	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8188	16065		7005	7.169	14.870	7.701		0.660	1.00	0	0		0			2023-03-27	14:01:20	
23	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10408	19992		8508	7.000	14.346	7.346		0.645	1.00	0	0		0			2023-03-27	14:23:06	
24	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10489	20342		8729	7.051	14.593	7.542		0.664	1.00	0	0		0			2023-03-27	14:35:53	
25	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10537	20209		8664	7.083	14.500	7.417		0.658	1.00	0	0		0			2023-03-27	14:48:06	
26	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	5087	11142		5715	7.196	16.197	9.001		0.803	1.00	0	0		0			2023-03-27	15:07:19	
27	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	5305	11214		5843	7.475	16.298	8.823		0.825	1.00	0	0		0			2023-03-27	15:17:34	
28	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	5304	11080		5874	7.474	16.110	8.636		0.831	1.00	0	0		0			2023-03-27	15:28:21	
29	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	12916	17443		12021	10.324	15.056	4.732		1.141	1.00	0	0		0			2023-03-27	15:48:42	
30	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	14271	17327		12058	11.364	14.958	3.594		1.145	1.00	0	0		0			2023-03-27	15:59:33	
31	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	14136	17225		11974	11.259	14.872	3.612		1.136	1.00	0	0		0			2023-03-27	16:10:56	
32	3		Flush																					2023-03-27	16:17:02	
33	9	F100 16nov22 0.1m S	TIC/TC/TNb			0.500	0.500	3118	6111		1073	2.807	5.456	2.649		0.000	1.00	0	0		0			2023-03-27	16:36:10	
34	9	F100 16nov22 0.1m S	TIC/TC/TNb			0.500	0.500	3546	6055		1036	3.135	5.408	2.273		0.000	1.00	0	0		0			2023-03-27	16:46:34	
35	9	F100 16nov22 0.1m S	TIC/TC/TNb			0.500	0.500	3522	5962		908	3.117	5.330	2.212		0.000	1.00	0	0		0			2023-03-27	16:57:33	
36	10	F50 16nov22 8m S	TIC/TC/TNb			0.500	0.500	4175	8019		2910	3.618	7.072	3.454		0.188	1.00	0	0		0			2023-03-27	17:16:18	
37	10	F50 16nov22 8m S	TIC/TC/TNb			0.500	0.500	4435	8029		2878	3.817	7.080	3.263		0.185	1.00	0	0		0			2023-03-27	17:26:38	
38	10	F50 16nov22 8m S	TIC/TC/TNb			0.500	0.500	4530	8044		2931	3.891	7.093	3.203		0.191	1.00	0	0		0			2023-03-27	17:37:50	
39	11	CCR 17nov22 SMB S	TIC/TC/TNb			0.500	0.500	1349	2549		1031	1.450	2.438	0.988		0.000	1.00	0	0		0			2023-03-27	17:55:54	
40	11	CCR 17nov22 SMB S	TIC/TC/TNb			0.500	0.500	460	2475		1029	0.768	2.375	1.607		0.000	1.00	0	0		0			2023-03-27	18:05:21	
41	11	CCR 17nov22 SMB S	TIC/TC/TNb			0.500	0.500	481	2446		1040	0.784	2.350	1.567		0.000	1.00	0	0		0			2023-03-27	18:15:13	
42	12	F50 8nov22 3.8m S	TIC/TC/TNb			0.500	0.500	3733	7732		2775	3.279	6.829	3.550		0.174	1.00	0	0		0			2023-03-27	18:33:38	
43	12	F50 8nov22 3.8m S	TIC/TC/TNb			0.500	0.500	4666	7750		2848	3.994	6.844	2.850		0.182	1.00	0	0		0			2023-03-27	18:44:01	
