sep=	
No. 	Hole  Pos.	Name  	Method  	Coefficients  	NPOC vol. [ml]	TIC vol. [ml]	TC vol. [ml]	TIC  Area	TC  Area	NPOC  Area	TNb  Area	TIC [mg/l]	TC [mg/l]	TOC (Diff.) [mg/l]	NPOC [mg/l]	TNb [mg/l]	Dilut.  Factor	TC  Blank	TIC  Blank	NPOC  Blank	TNb  Blank	Memo  	Info  	Date	Time	
1	1	RunIn	TIC/TC/TNb			0.300	0.300	4115	11439		6179	5.953	16.616	10.663		0.884	1.00	0	0		0			2023-03-24	12:12:22	
2	1	RunIn	TIC/TC/TNb			0.300	0.300	6345	11543		6093	8.805	16.763	7.958		0.869	1.00	0	0		0			2023-03-24	12:22:13	
3	1	RunIn	TIC/TC/TNb			0.300	0.300	6476	11838		6142	8.972	17.180	8.207		0.877	1.00	0	0		0			2023-03-24	12:32:36	
4	3	Rinse	TIC/TC/TNb			0.500	0.500	2703	1295		746	2.488	1.375	0.000		0.000	1.00	0	0		0			2023-03-24	12:51:27	
5	3	Rinse	TIC/TC/TNb			0.500	0.500	643	1070		612	0.908	1.185	0.277		0.000	1.00	0	0		0			2023-03-24	13:00:42	
6	3	Rinse	TIC/TC/TNb			0.500	0.500	545	2216		706	0.833	2.156	1.323		0.000	1.00	0	0		0			2023-03-24	13:10:31	
7	3		Flush																					2023-03-24	13:16:02	
8	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	79	283		411	0.475	0.518	0.043		0.000	1.00	0	0		0			2023-03-24	13:32:19	
9	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	115	254		357	0.503	0.494	0.000		0.000	1.00	0	0		0			2023-03-24	13:40:38	
10	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	93	414		339	0.486	0.629	0.143		0.000	1.00	0	0		0			2023-03-24	13:49:34	
11	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	642	2042		1180	2.269	5.021	2.751		0.019	1.00	0	0		0			2023-03-24	14:05:26	
12	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	228	2108		1260	1.475	5.162	3.687		0.039	1.00	0	0		0			2023-03-24	14:13:51	
13	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1250	2063		1166	3.436	5.066	1.631		0.015	1.00	0	0		0			2023-03-24	14:23:32	
14	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3661	7148		3440	2.686	5.279	2.593		0.203	1.00	0	0		0			2023-03-24	14:43:03	
15	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3807	7216		3493	2.780	5.327	2.547		0.208	1.00	0	0		0			2023-03-24	14:53:26	
16	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3782	7159		3513	2.763	5.286	2.523		0.209	1.00	0	0		0			2023-03-24	15:04:30	
17	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	4520	10812		5226	5.829	14.172	8.343		0.646	1.00	0	0		0			2023-03-24	15:23:07	
18	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5678	10950		5189	7.163	14.347	7.183		0.641	1.00	0	0		0			2023-03-24	15:33:16	
19	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5816	10962		5148	7.322	14.362	7.040		0.634	1.00	0	0		0			2023-03-24	15:44:20	
20	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8066	15871		7554	7.070	14.694	7.624		0.722	1.00	0	0		0			2023-03-24	16:04:50	
21	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8307	16070		7679	7.268	14.874	7.607		0.736	1.00	0	0		0			2023-03-24	16:15:56	
22	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8323	16051		7640	7.281	14.857	7.576		0.731	1.00	0	0		0			2023-03-24	16:27:39	
23	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10533	20299		9483	7.080	14.563	7.483		0.730	1.00	0	0		0			2023-03-24	16:48:59	
24	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10610	20591		9433	7.129	14.769	7.640		0.726	1.00	0	0		0			2023-03-24	17:01:16	
25	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10717	20636		9423	7.197	14.801	7.604		0.725	1.00	0	0		0			2023-03-24	17:14:15	
26	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4967	10909		5813	7.042	15.867	8.825		0.820	1.00	0	0		0			2023-03-24	17:33:17	
27	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4992	10925		5784	7.074	15.891	8.816		0.815	1.00	0	0		0			2023-03-24	17:43:22	
28	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	5033	10874		5798	7.127	15.818	8.690		0.817	1.00	0	0		0			2023-03-24	17:54:16	
29	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	12465	17048		12044	9.978	14.721	4.743		1.144	1.00	0	0		0			2023-03-24	18:14:15	
30	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	13924	17098		12123	11.097	14.764	3.667		1.152	1.00	0	0		0			2023-03-24	18:25:17	
31	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	13910	17035		12145	11.086	14.710	3.624		1.154	1.00	0	0		0			2023-03-24	18:36:54	
32	3		Flush																					2023-03-24	18:43:01	
33	9	F3feb23 1.6m S	TIC/TC/TNb			0.500	0.500	3630	7187		2242	3.200	6.367	3.167		0.119	1.00	0	0		0			2023-03-24	19:02:06	
34	9	F3feb23 1.6m S	TIC/TC/TNb			0.500	0.500	4269	7136		2199	3.690	6.324	2.634		0.114	1.00	0	0		0			2023-03-24	19:12:28	
35	9	F3feb23 1.6m S	TIC/TC/TNb			0.500	0.500	4290	7224		2058	3.706	6.399	2.693		0.099	1.00	0	0		0			2023-03-24	19:23:26	
36	10	F3feb23 3.8m S	TIC/TC/TNb			0.500	0.500	3930	6891		2243	3.430	6.117	2.687		0.119	1.00	0	0		0			2023-03-24	19:41:58	
37	10	F3feb23 3.8m S	TIC/TC/TNb			0.500	0.500	3927	6908		2159	3.427	6.131	2.703		0.110	1.00	0	0		0			2023-03-24	19:52:17	
38	10	F3feb23 3.8m S	TIC/TC/TNb			0.500	0.500	4351	6854		2044	3.753	6.085	2.332		0.098	1.00	0	0		0		TICpe	2023-03-24	20:08:19	
39	11	F50 3feb23 9m S	TIC/TC/TNb			0.500	0.500	3943	6820		1893	3.440	6.056	2.616		0.082	1.00	0	0		0			2023-03-24	20:27:31	
40	11	F50 3feb23 9m S	TIC/TC/TNb			0.500	0.500	4028	6814		1871	3.505	6.052	2.547		0.080	1.00	0	0		0			2023-03-24	20:37:54	
41	11	F50 3feb23 9m S	TIC/TC/TNb			0.500	0.500	3995	6730		1769	3.480	5.980	2.501		0.069	1.00	0	0		0			2023-03-24	20:48:48	
42	12	B50 21mar23 0.1m S	TIC/TC/TNb			0.500	0.500	2799	5278		2628	2.562	4.750	2.188		0.159	1.00	0	0		0			2023-03-24	21:06:53	
43	12	B50 21mar23 0.1m S	TIC/TC/TNb			0.500	0.500	2516	5315		2652	2.345	4.782	2.436		0.161	1.00	0	0		0			2023-03-24	21:16:51	
44	12	B50 21mar23 0.1m S	TIC/TC/TNb			0.500	0.500	2538	5219		2578	2.362	4.700	2.338		0.154	1.00	0	0		0			2023-03-24	21:27:31	
45	13	B50 16nov22 3m S	TIC/TC/TNb			0.500	0.500	3345	7000		6106	2.981	6.209	3.228		0.523	1.00	0	0		0			2023-03-24	21:45:50	
46	13	B50 16nov22 3m S	TIC/TC/TNb			0.500	0.500	3659	7039		6188	3.222	6.242	3.020		0.531	1.00	0	0		0			2023-03-24	21:56:02	
47	13	B50 16nov22 3m S	TIC/TC/TNb			0.500	0.500	3662	6979		6077	3.225	6.191	2.966		0.520	1.00	0	0		0			2023-03-24	22:06:51	
48	14	F50 8nov22 5m S	TIC/TC/TNb			0.500	0.500	4563	7711		4755	3.915	6.811	2.895		0.381	1.00	0	0		0			2023-03-24	22:25:43	
49	14	F50 8nov22 5m S	TIC/TC/TNb			0.500	0.500	4962	7741		4761	4.221	6.837	2.615		0.382	1.00	0	0		0			2023-03-24	22:36:08	
50	14	F50 8nov22 5m S	TIC/TC/TNb			0.500	0.500	4914	7728		4709	4.185	6.825	2.641		0.376	1.00	0	0		0			2023-03-24	22:46:55	
51	15	B50 21mar23 3m S	TIC/TC/TNb			0.500	0.500	3068	5233		2808	2.769	4.712	1.943		0.178	1.00	0	0		0			2023-03-24	23:05:18	
52	15	B50 21mar23 3m S	TIC/TC/TNb			0.500	0.500	2544	5222		2861	2.366	4.702	2.336		0.183	1.00	0	0		0			2023-03-24	23:15:17	
53	15	B50 21mar23 3m S	TIC/TC/TNb			0.500	0.500	2592	5239		2804	2.403	4.717	2.314		0.177	1.00	0	0		0			2023-03-24	23:25:56	
54	16	B50 21mar23 9m S	TIC/TC/TNb			0.500	0.500	2608	5176		2703	2.415	4.663	2.248		0.167	1.00	0	0		0			2023-03-24	23:43:55	
