keyword	keywordThesaurus
greenhouse gas	carey lab controlled vocabulary
Virginia Tech	carey lab controlled vocabulary
Stream Team	carey lab controlled vocabulary
Western Virginia Water Authority	carey lab controlled vocabulary
Falling Creek Reservoir	carey lab controlled vocabulary
Beaverdam Reservoir	carey lab controlled vocabulary
reservoir	cuahsi controlled vocabulary
lake	cuahsi controlled vocabulary
methane	lter controlled vocabulary
carbon dioxide	lter controlled vocabulary
diffusion	carey lab controlled vocabulary
carbon flux	lter controlled vocabulary
gas flux	lter controlled vocabulary
diffusive flux	carey lab controlled vocabulary
Virginia Reservoirs LTREB	carey lab controlled vocabulary
LTREB	carey lab controlled vocabulary
Virginia Reservoirs	carey lab controlled vocabulary
FCR	carey lab controlled vocabulary
BVR	carey lab controlled vocabulary
UGGA	carey lab controlled vocabulary
