"Reservoir","Site","Date","Rep","Start_time","End_time","Temp_C","CO2Slope_ppmS","CO2_R2","CO2Flux_umolCm2s","CH4Slope_ppmS","CH4_R2","CH4Flux_umolCm2s","Flag_CO2Flux_umolCm2s","Flag_CH4Flux_umolCm2s","Flag_Start_time","Flag_End_time"
"FCR",50,2023-04-18,1,"11:20:00","11:23:00",21.21,0.033,0.97,0.196,0.006,0.98,0.036,0,0,0,0
"FCR",50,2023-04-18,2,"11:42:00","11:46:00",22.9,0.022,0.96,0.13,0.004,0.99,0.024,0,0,0,0
"FCR",50,2023-04-18,3,"11:48:00","11:52:00",23.14,0.033,0.96,0.195,0.005,0.97,0.03,0,0,0,0
"BVR",50,2023-04-24,1,"10:43:00","10:46:00",16.14,-0.003,0.47,-0.018,0,0.97,0,1,0,0,0
"BVR",50,2023-04-24,2,"10:50:00","10:54:00",17.61,-0.001,0.1,-0.006,0,0.94,0,1,0,0,0
"BVR",50,2023-04-24,3,"10:57:00","11:01:00",18.29,-0.002,0.12,-0.012,0,0.94,0,1,0,0,0
"BVR",50,2023-05-01,1,"11:12:00","11:15:00",16.21,0.034,0.92,0.206,0.001,0.94,0.006,0,0,0,0
"BVR",50,2023-05-01,2,"11:19:00","11:23:00",17.23,0.013,0.92,0.078,0.001,0.98,0.006,0,0,0,0
"FCR",50,2023-05-01,1,"12:00:00","12:03:00",15.64,0.016,0.92,0.097,0.002,0.96,0.012,0,0,1,1
"FCR",50,2023-05-01,2,"12:00:00","12:04:00",16.72,0.023,0.98,0.139,0.003,1,0.018,0,0,1,1
"FCR",50,2023-05-01,3,"12:00:00","12:04:00",17.12,0.047,0.97,0.284,0.005,0.97,0.03,0,0,1,1
"BVR",50,2023-05-08,1,"12:00:00","12:03:00",27.15,0.022,0.94,0.128,0.001,0.98,0.006,0,0,1,1
"BVR",50,2023-05-08,2,"12:00:00","12:04:00",28.8,0.019,0.95,0.11,0.001,0.99,0.006,0,0,1,1
"FCR",50,2023-05-08,1,"12:00:00","12:03:00",31.74,-0.01,0.83,-0.057,0.002,0.98,0.011,1,0,1,1
"FCR",50,2023-05-08,2,"12:00:00","12:04:00",33.14,-0.007,0.76,-0.04,0.001,0.99,0.006,1,0,1,1
"FCR",50,2023-05-16,1,"12:00:00","12:03:00",25,-0.032,0.98,-0.188,0.002,0.99,0.012,0,0,1,1
"FCR",50,2023-05-16,2,"12:00:00","12:04:00",25.78,-0.032,0.98,-0.188,0.002,0.97,0.012,0,0,1,1
"BVR",50,2023-05-22,1,"12:00:00","12:03:00",27.51,0.033,0.95,0.192,0.004,0.96,0.023,0,0,1,1
"BVR",50,2023-05-22,2,"12:00:00","12:04:00",29.11,0.03,0.98,0.174,0.004,0.99,0.023,0,0,1,1
