ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2020 - 1,0.4,"3,065.5","1,109.3",45.6,"8,901.4",19.7,2.3,1.3,"1,201.6","2,436.2",2.2,0.1,0.2,283.9,81.9,0.2,0.2,1.5,1.7,0.1,0.1,14.5,0.0,0.0,0.0,0.0,16.5,0.0,0.0
01/31/2020 - 2,0.4,"3,049.6","1,096.0",20.2,"8,741.0",12.3,2.3,1.4,"1,169.7","2,420.4",1.7,0.0,0.2,37.5,37.3,0.1,0.2,1.2,8.3,0.1,-0.1,14.4,0.0,0.0,0.0,0.0,15.2,0.1,0.0
01/31/2020 - 3,0.4,"3,039.4","1,100.9",49.2,"8,890.6",27.2,2.4,1.3,"1,184.3","2,408.4",2.4,0.1,0.2,298.8,81.9,0.2,0.2,1.5,1.3,0.1,-0.1,14.4,0.0,0.0,0.0,0.0,16.3,0.0,0.0
01/31/2020 - 4,0.4,"3,062.8","1,096.4",18.5,"8,780.2",9.4,2.6,1.4,"1,177.7","2,397.7",1.6,0.0,0.1,30.7,36.6,0.1,0.2,0.9,2.7,0.1,0.0,14.4,0.0,0.0,0.0,0.0,15.1,0.0,0.0
01/31/2020 - 5,0.4,"3,080.7","1,112.7",59.9,"8,850.7",23.4,2.0,1.3,"1,198.3","2,412.1",2.2,0.1,0.3,296.7,84.3,0.2,0.2,1.5,1.0,0.1,-0.1,14.5,0.0,0.0,0.0,0.0,16.6,0.0,0.0
01/31/2020 - 6,0.4,"3,007.1","1,080.0",17.9,"8,719.0",13.5,2.2,1.3,"1,152.3","2,357.5",1.6,0.0,0.1,34.2,36.1,0.0,0.1,0.9,5.6,0.1,-0.2,14.2,0.0,0.0,0.0,0.0,15.2,0.0,0.0
01/31/2020 - 7,0.4,"3,036.7","1,101.6",87.5,"8,911.6",24.0,2.0,1.3,"1,192.9","2,386.7",3.0,0.1,0.2,308.9,81.8,0.2,0.2,1.5,1.0,0.1,-0.1,14.5,0.0,0.0,0.0,0.0,16.4,0.1,0.0
01/31/2020 - 8,0.4,"3,058.2","1,097.4",19.8,"8,816.9",1.7,1.9,1.3,"1,175.9","2,378.8",1.5,0.0,0.1,21.3,36.9,0.1,0.1,0.9,3.1,0.1,0.0,14.4,0.0,0.0,0.0,0.0,15.1,0.0,0.0
