ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3   05/11/2020,0.4,"2,503.0",887.7,77.9,"7,312.3",13.7,0.3,-0.4,928.1,"2,070.1",1.3,0.2,0.3,366.6,30.8,0.1,0.2,0.9,8.7,0.1,0.7,13.5,0.0,0.0,0.0,0.5,16.4,0.4,0.0
4   05/11/2020,0.4,"2,515.4",875.9,24.1,"7,224.9",6.3,0.2,-0.3,930.7,"2,073.8",0.7,0.1,0.2,83.9,25.1,0.1,0.2,0.7,16.7,0.0,0.5,13.2,0.0,0.0,0.0,0.5,15.5,0.4,0.0
7   05/11/2020,0.4,"2,678.2",983.4,53.4,"7,908.8",18.6,0.0,-0.4,980.4,"2,404.8",1.2,0.2,0.2,"1,121.2",191.8,0.4,0.2,1.4,8.9,0.1,0.5,15.3,0.0,0.0,0.0,0.3,21.7,0.4,0.0
8   05/11/2020,0.4,"2,660.4",952.8,36.2,"7,640.8",5.0,0.0,0.3,955.7,"2,266.3",0.7,0.0,0.2,130.0,122.6,0.2,0.2,0.6,21.6,0.0,0.4,14.7,0.0,0.0,0.0,0.4,19.3,0.3,0.0
13   05/11/2020,0.4,"2,828.1","1,078.7",45.1,"8,396.8",24.2,-0.3,-0.3,"1,047.0","2,780.5",1.4,0.1,0.3,"4,706.2",866.5,2.0,0.3,2.0,10.0,0.1,0.5,18.4,0.2,0.0,0.0,0.4,37.3,0.4,0.0
14   05/11/2020,0.4,"2,876.5","1,084.3",28.4,"8,259.1",7.7,-0.1,-0.2,"1,045.2","2,777.7",0.8,0.0,0.2,"3,379.4",797.4,1.8,0.3,0.7,14.3,0.1,0.4,18.2,0.1,0.0,0.0,0.3,34.0,0.3,0.0
29   05/11/2020,0.8,"2,062.9",722.6,750.6,"6,774.0",38.4,-0.9,-0.5,"1,170.2","1,702.5",14.0,1.1,0.8,"1,174.2",132.3,0.5,0.5,1.4,12.0,0.1,0.1,12.0,0.0,0.0,0.1,0.3,30.2,1.4,0.0
30   05/11/2020,0.6,"2,061.5",690.1,497.9,"6,448.2",29.1,-0.8,-0.5,"1,128.2","1,628.0",9.0,0.7,0.6,748.4,82.3,0.3,0.4,0.9,12.0,0.1,0.2,11.2,0.0,0.0,0.0,0.3,23.7,1.1,0.0
