ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),,54Fe (STDR),,55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),,Y (ppb),,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/17/2020 - 1,0.4,"2,448.6",905.5,28.7,"6,892.2",14.2,1.5,1.3,"1,191.4","1,959.3",1.1,0.3,0.1,0.4452,445.2,0.0330,33.0,0.1,0.1,0.7,0.2,0.1,0.0,12.9,0.1,0.0,0.0,0.0,18.7,0.2,0.0
08/17/2020 - 2,0.4,"2,502.3",905.8,21.6,"7,017.4",0.9,1.4,1.2,"1,216.4","1,962.7",0.9,0.2,0.1,0.2518,251.8,0.0081,8.1,0.0,0.1,1.4,5.8,0.1,0.1,12.8,0.0,0.0,0.0,0.0,18.8,0.2,0.0
08/17/2020 - 3,0.4,"2,463.5",921.7,23.3,"7,009.2",23.9,1.4,1.1,"1,230.0","2,012.9",1.0,0.3,0.1,0.4508,450.8,0.0321,32.1,0.1,0.1,0.8,0.3,0.1,0.1,13.0,0.0,0.0,0.0,0.0,18.8,0.2,0.0
08/17/2020 - 4,0.4,"2,610.2",914.6,19.0,"7,063.3",3.4,1.6,1.3,"1,339.5","2,002.6",1.0,0.2,0.1,0.2588,258.8,0.0154,15.4,0.1,0.3,4.4,24.1,0.1,0.2,12.8,0.0,0.0,0.0,0.0,21.6,0.5,0.0
08/17/2020 - 5,0.4,"2,668.2","1,147.5",23.5,"7,356.7",25.2,1.7,1.5,"1,387.5","2,996.4",1.0,0.1,0.1,2.3970,"2,397.0",1.0979,"1,097.9",2.1,0.2,0.7,0.5,0.1,0.1,20.2,0.1,0.0,0.0,0.0,59.7,0.2,0.0
08/17/2020 - 6,0.4,"2,609.1","1,107.3",12.7,"7,112.3",-1.5,1.4,1.5,"1,358.9","2,887.1",0.8,0.1,0.0,0.6457,645.7,0.9690,969.0,1.8,0.1,0.4,31.4,0.1,0.1,19.6,0.0,0.0,0.0,0.0,60.8,0.2,0.0
08/17/2020 - 7,0.4,"2,647.2","1,089.7",24.1,"7,494.5",30.2,1.1,1.3,"1,275.6","2,713.1",1.0,0.2,0.1,2.7267,"2,726.7",0.8183,818.3,1.8,0.2,0.6,0.3,0.2,0.1,18.0,0.1,0.0,0.0,0.0,38.2,0.2,0.0
08/17/2020 - 8,0.4,"2,669.8","1,086.8",16.6,"7,455.6",-0.8,1.4,1.3,"1,293.1","2,702.5",0.8,0.0,0.1,1.1502,"1,150.2",0.8064,806.4,1.8,0.1,0.6,16.7,0.1,0.0,17.8,0.0,0.0,0.0,0.0,41.7,0.2,0.0
