ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),,54Fe (STDR),,55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),,Y (ppb),,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 - 07/02/2020,0.2,"1,832.8",709.3,34.9,"4,713.8",6.2,-0.2,0.7,"1,145.9","1,397.1",-1.5,0.2,0.4,0.3129,312.9,0.0188,18.8,0.1,0.1,0.5,8.8,0.1,0.1,9.6,0.0,0.0,0.0,0.0,18.5,0.3,0.0
20 - 07/02/2020,0.2,"1,830.7",702.0,19.4,"4,701.3",1.1,-0.3,0.7,"1,132.6","1,367.1",0.5,0.1,0.2,0.1201,120.1,0.0042,4.2,0.0,0.1,0.3,18.9,0.1,-0.1,9.5,0.0,0.0,0.0,0.0,18.2,0.3,0.0
21 - 07/02/2020,0.3,"1,826.3",713.0,55.9,"4,876.3",17.1,-0.4,0.8,"1,132.5","1,434.3",1.0,0.3,0.3,0.3536,353.6,0.0194,19.4,0.1,0.2,0.4,8.5,0.1,0.1,9.5,0.1,0.0,0.0,0.3,19.8,0.4,0.1
22 - 07/02/2020,0.2,"1,784.2",685.1,21.8,"4,715.9",8.1,-0.5,0.8,"1,099.6","1,368.2",0.5,0.1,0.2,0.1352,135.2,0.0037,3.7,0.0,0.2,0.3,13.6,0.1,0.0,9.3,0.0,0.0,0.0,0.1,18.3,0.3,0.0
23 - 07/02/2020,0.2,"1,757.2",715.5,90.6,"4,646.8",14.1,-0.4,0.8,"1,126.7","1,501.6",1.3,0.3,0.3,0.4397,439.7,0.1602,160.2,0.1,0.2,0.3,7.9,0.1,0.0,10.3,0.0,0.0,0.0,0.0,27.1,0.4,0.0
24 - 07/02/2020,0.2,"1,758.8",709.4,24.1,"4,605.0",7.2,-0.4,0.8,"1,118.8","1,476.6",0.5,0.1,0.3,0.0997,99.7,0.1431,143.1,0.1,0.2,0.3,25.5,0.1,0.0,10.2,0.0,0.0,0.0,0.0,26.3,0.3,0.0
25 - 07/02/2020,0.2,"1,984.1",772.6,47.8,"5,736.9",22.0,-0.8,0.8,"1,232.1","1,843.2",0.9,0.3,0.2,5.0137,"5,013.7",0.8838,883.8,1.7,0.2,0.3,9.1,0.3,0.0,12.4,0.1,0.0,0.0,0.0,55.1,0.5,0.0
26 - 07/02/2020,0.2,"1,994.5",775.3,18.5,"5,676.0",7.8,-0.7,0.8,"1,235.6","1,845.4",0.5,0.2,0.3,4.3286,"4,328.6",0.8489,848.9,1.6,0.2,0.1,22.6,0.3,0.0,12.2,0.1,0.0,0.0,0.0,44.9,0.3,0.0
