"","ICP-MS Data","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32"
"1","44069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Nick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,"7Li (STDR)","23Na (STDR)","24Mg (STDR)","27Al (STDR)","29Si (STDR)","31P (STDR)","34S (STDR)","35Cl (STDR)","39K (STDR)","44Ca (STDR)","47Ti (STDR)","51V (STDR)","52Cr (STDR)",NA,"54Fe (STDR)",NA,"55Mn (STDR)","59Co (STDR)","60Ni (STDR)","65Cu (STDR)","66Zn (STDR)","75As (STDR)","78Se (STDR)","88Sr (STDR)","95Mo (STDR)","107Ag (STDR)","111Cd (STDR)","120Sn (STDR)","138Ba (STDR)","208Pb (STDR)","238U (STDR)"
"4",NA,"Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppm)","Y (ppm)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)",NA,"Y (ppb)",NA,"Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)","Y (ppb)"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","3   05/11/2020","0.39268528120004192","2503.0042548751599","887.6550940534479","77.908787621745958","7312.2591640537985","13.739450736337","0.28402977682160835","-0.40115266594585597","928.1029189396337","2070.0880316502326","1.3237827036835876","0.18160266257406496","0.26284177147589127",0.366635382808346,"366.63538280834626",0.0307603612567495,"30.760361256749498","8.8763220334942328E-2","0.1790740324080124","0.88984937993758972","8.6506872610984953","5.1000629059221245E-2","0.68028313813227037","13.457737595463565","-2.6351484218078772E-3","1.1306332758490992E-3","4.5125558551722964E-3","0.52224333970414949","16.445039793167521","0.37103347349273991","4.2731140095163996E-3"
"7","4   05/11/2020","0.3725419958269181","2515.432561474699","875.88248790765385","24.144561269069364","7224.949994392352","6.2825576146797886","0.19030732497139904","-0.28485540586054103","930.73059659904357","2073.8432459325068","0.68024651590049934","5.6312307298972672E-2","0.16928549199737766",0.0839192127714361,"83.919212771436122",0.0250971782424562,"25.097178242456209","5.6068990957018922E-2","0.1832601157973546","0.68140710169842567","16.708282807505892","3.4161517168830598E-2","0.46888684601628994","13.209198618704551","-7.0748426946934499E-3","-8.6135577925760816E-4","6.4899365860601682E-3","0.48484711544300824","15.524346281637532","0.39163209144410382","2.0860497853108385E-3"
"8","7   05/11/2020","0.38123074894373954","2678.1529651686319","983.42570236874701","53.438945046591094","7908.7623197658249","18.593535277400395","1.7130589490948273E-2","-0.35701149026388485","980.37305452537123","2404.7609927899889","1.226003958286477","0.16094191911900782","0.15720627341038532",1.12123344538042,"1121.2334453804203",0.191786207907018,"191.78620790701788","0.3509560320163097","0.22723084616864678","1.3822059019667645","8.9189052748595472","7.1259782056844301E-2","0.51685555257810911","15.305502195648904","1.0681820432275693E-2","1.1929531247641758E-3","1.742503833621073E-2","0.33519169941470561","21.708204349245367","0.35881875619631259","3.8253613251536677E-3"
"9","8   05/11/2020","0.38389446014591566","2660.3725671145062","952.75859267333055","36.186904125883338","7640.7720449107283","5.0048758774986721","1.3649989141872626E-2","0.29763787021187349","955.65491122912397","2266.3131399134204","0.6951432080688188","2.4959960043907974E-2","0.15530773424060218",0.129976872864302,"129.97687286430218",0.122557834912804,"122.55783491280384","0.19569951431397919","0.19555609317475262","0.6404476759707024","21.640182125930568","4.4413901942642033E-2","0.43695126416926761","14.688295634703506","-9.217475900300807E-5","-3.9806773520056583E-3","7.7000730741360983E-3","0.38336637018620728","19.265406661189918","0.33261460030440543","1.5616534748020201E-3"
"10","13   05/11/2020","0.35727534335450423","2828.0995728879693","1078.6853555025757","45.055104283180697","8396.7932363581895","24.183074873925559","-0.2606571482217323","-0.28211384269085804","1047.0466356776149","2780.4663632254073","1.386499016815727","0.12111359636556676","0.26100809859316848",4.70617058323692,"4706.1705832369207",0.86650261452708,"866.5026145270798","2.0163784494177364","0.28767942273106184","2.0326225312488369","9.9706469460407732","0.11030810019755956","0.46359165074247022","18.416626227905009","0.17962033914128628","1.7852987434815219E-2","9.7877337512414665E-3","0.3683877983680357","37.291439881724031","0.40317761682928371","1.3037385007436252E-2"
"11","14   05/11/2020","0.38162173042296826","2876.5088913617615","1084.3059656650723","28.350543065335042","8259.072347666417","7.7192110980124582","-0.1049126688632788","-0.24071454398879774","1045.2054811083169","2777.7487879671216","0.79115931847026133","3.4745478378625308E-2","0.1969281309635986",3.37941400799314,"3379.4140079931399",0.797379729317746,"797.37972931774561","1.8001579090385584","0.27405269357078543","0.71247729880908406","14.345101180704534","8.3016923680848342E-2","0.41230693600440466","18.224635171125218","0.14178750419218078","6.8810785653058764E-3","7.8615634181119966E-3","0.28388387649065944","34.013969758164492","0.34959399187764484","5.4591378167485848E-3"
"12","29   05/11/2020","0.77789721857397331","2062.9064394830839","722.63088389697646","750.63945793098378","6773.9663563994245","38.360203129610987","-0.88886351722454349","-0.51438657574658753","1170.2484830537412","1702.4850053522784","13.964918942653707","1.06114324994336","0.76899559888622515",1.17421294282224,"1174.2129428222365",0.132315501487988,"132.31550148798843","0.54130294096227116","0.48695537993092236","1.3640572402689564","12.036995200898442","0.11972811178222295","6.6859752377935941E-2","12.028548173865428","-1.012493199573183E-3","7.692289925839247E-3","5.2463880671757689E-2","0.25166564840510647","30.189700202373604","1.35663401932878","2.6186136721391352E-2"
"13","30   05/11/2020","0.6360490215542437","2061.4831536131469","690.12817884204003","497.91137091170287","6448.1643188268217","29.105955797750116","-0.81180876162536164","-0.50173855833809144","1128.1899124948063","1627.9907604041393","9.000922321483678","0.67489255259462366","0.55039746151561819",0.748372250649427,"748.37225064942709",0.0823302060002201,"82.330206000220116","0.34294098009746454","0.35656594317892687","0.91800812043356317","11.967236334583717","8.2324115872929426E-2","0.15317406826117655","11.231886847718302","-4.5845053312640691E-3","4.9729635856397541E-3","4.1026077741382845E-2","0.25929906686564869","23.728610059281152","1.055121480572532","1.7801150200694272E-2"
"14","19   05/14/2020","0.23160917016858931","1904.3638246765859","651.55469766563726","52.9454516209234","5050.9545488045242","7.666055866597306","-0.9063041552045773","-0.51537335915832738","1119.8350347610344","1394.9406671350487","0.76364615456349649","3.9370930842800272E-2","0.16654729350756894",0.23334358026952,"233.34358026951969",0.0396477642370795,"39.647764237079507","7.5858956046705367E-2","0.12210461559587814","0.5780322695651513","1.7258000825512363","6.2492528866725801E-2","0.24619702215984901","9.5127505849515064","-9.3946973776680587E-3","1.0605616791985123E-3","4.3600695940476161E-3","0.2017996985815132","18.263689126908254","6.5496013112833665E-2","4.9293153162862898E-3"
"15","20   05/14/2020","0.2202754521237176","1929.9368888877748","651.52310265560686","34.030571397107259","5062.2438183978584","3.071444054040513","-0.8003250279457047","-0.48876140076995195","1130.6538748697365","1391.6576877877017","0.59237506912827198","1.7526861341326156E-2","0.17747224041065157",0.149006155754383,"149.00615575438349",0.0317097888057215,"31.709788805721519","5.5506993117280648E-2","0.12289850682427379","0.40985956577500599","13.76342241763861","5.9265364630090966E-2","0.20334409708402679","9.4639773823407349","-1.2949304659234625E-2","-7.3262284943801336E-4","3.8847083434698565E-3","0.18213835002009746","18.296297384949749","4.7983284686345766E-2","2.9541019569193534E-3"
"16","21   05/14/2020","0.19838014088332692","1889.8876289104378","645.62376519954751","37.270689649657172","5035.7544806954902","6.3868797455928306","-1.015085959432239","-0.5487812956149799","1112.7056725342097","1389.3350130033321","0.6829061535715043","3.4769886768154054E-2","0.20588384074117813",0.233879392437618,"233.87939243761784",0.0430506709764014,"43.050670976401427","7.3390155618305489E-2","0.13559700777478101","0.43793473554054724","1.3041823858500243","6.0597722303546722E-2","0.24804585585053623","9.4701562294223436","-1.2779433470248125E-2","9.3245997963247612E-4","2.2173438806221556E-3","0.16578296178473154","18.32328176365851","6.3088369077685488E-2","4.1277134140522915E-3"
"17","22   05/14/2020","0.23230308754376136","1935.4773644579261","655.36582479330355","24.713270498626766","5099.8310880657182","1.1653053236957445","-0.96234210511702845","-0.50040447729120563","1130.7068633563442","1393.3423998470878","0.47599027975395014","-1.5540943959173438E-2","0.12067469696014085",0.0775837949734573,"77.58379497345733",0.0310493354538712,"31.049335453871194","4.1007609076044844E-2","0.11691878491281184","0.39616357001611346","8.4704262268511137","5.667415647041503E-2","0.44307511515120496","9.4565343819534764","-1.4758257483825839E-2","-1.4648439604677285E-3","1.5743766637382692E-3","0.16112409723116589","17.998516482581028","2.3013714930552216E-2","2.0977602035338978E-3"
"18","23   05/14/2020","0.22428559406096016","1918.7411939246151","659.73555493670165","48.349801609086043","5109.185576079135","5.9512805183732578","-1.0332719943254323","-0.55019183669601934","1117.0795294133102","1396.4340977771787","0.74114205182186865","4.6845560426580377E-2","0.15258245356177991",0.29036432618967,"290.36432618966978",0.0596704101216665,"59.670410121666514","9.9199522149180264E-2","0.18372145129016976","0.50780282348116801","1.682586149345124","6.8533137466525368E-2","0.27970900977504515","9.6745529988362691","-1.209583675914909E-2","4.9685758944524496E-4","1.923310199275999E-3","0.14168283864267345","19.004144666815616","7.4696012687462718E-2","4.2798753836482554E-3"
"19","24   05/14/2020","0.22022466408368988","1914.4014522062253","654.33192205155842","23.333475618197461","5066.7437201638513","1.2362516638696257","-1.0081260966094638","-0.53167141694117137","1124.9407876802568","1398.1892710606808","0.47705807565990016","6.8376094611663594E-4","0.15336095386754309",0.0761966915824002,"76.196691582400234",0.0406150686018192,"40.615068601819218","4.8036978177285063E-2","0.12002577431954932","0.40848290487838812","14.431039264056682","5.769122275898237E-2","0.29000186931080613","9.5303470063386353","-1.5865332834938364E-2","-3.0957147007657656E-3","2.2906317900902337E-3","0.15372537309154957","19.633899603282888","2.5062948151657178E-2","1.7979397704330289E-3"
"20","25   05/14/2020","0.21491560918831928","1934.9523352357146","700.02595737664979","36.117483091005141","5326.0038043886134","13.542445495278573","-1.1398682041788732","-0.51537889141329574","1194.5640324888609","1586.756311479267","0.67228778615444662","2.4099818113707556E-2","0.13752543138231121",1.63242115138541,"1632.4211513854123",0.552149015527175,"552.14901552717458","0.86332693558868345","0.16339608754025325","0.38628585043950114","2.3924729454013707","0.10626364267465072","0.23850553101733871","11.026977452710776","2.7145397746755701E-2","1.0795693350412755E-2","7.3939448315994217E-3","0.22034789599243146","37.595910707994264","6.6627761798992283E-2","1.2276015967948807E-2"
"21","26   05/14/2020","0.21974277270771514","2023.8504891414864","712.00193043029867","34.652025563154488","5283.338411545481","1.7673089655771128","-1.256774728922625","-0.42437744480750011","1270.6893281996543","1620.4471667517766","0.46135189994097114","-6.7474556475710684E-2","0.19071278863586741",0.043965979313902,"43.965979313901997",0.6514200034566,"651.42000345659994","0.92125327363921872","0.22190145217113919","0.52427970038477523","25.554794265640204","7.1198705337277943E-2","0.18265242889164343","11.286077312330526","-9.3782227546832086E-3","-5.357710909912203E-4","1.2897606520995216E-2","0.18030817369803523","41.344143265391779","5.9612742950248855E-2","4.6084194223596454E-3"
"22","27   05/14/2020","0.21276261132987129","1983.4619009594526","735.61284807069137","31.534698803152473","5512.6551501293934","18.232803867765924","-1.266175759305463","-0.49835566353614952","1241.3956956018492","1718.3089438773131","0.63778568795487944","3.8748937073963326E-2","0.17975177305360179",5.30778359695259,"5307.7835969525877",0.863850392260202,"863.85039226020228","1.2426069538890769","0.19766340629558482","0.40529447215533249","3.2518013229024394","0.1366919014350762","0.18571131932622462","12.116120261930806","9.1374756995280901E-2","1.2337055256178422E-2","5.8066956595698525E-3","0.15118561812808468","49.279919519720416","9.0560210772054686E-2","6.5473186244978873E-3"
"23","28   05/14/2020","0.2001018070195692","2002.7756100993938","744.12848235173772","24.351774265702971","5583.8197414332872","3.3248445814175835","-1.2250348633161543","-0.43621976795901041","1282.8949642614166","1791.3979403132387","0.49631996967956865","2.5767755451288395E-2","0.15806941390154217",7.90408935146013,"7904.0893514601348",1.04294391663603,"1042.9439166360273","1.4678857534045491","0.23205467511163172","0.21047566537311782","16.568086224500316","0.15566414572983189","0.23485297154909546","12.561898749179507","0.14335158053987274","4.6367026353933321E-3","2.1470904280339372E-3","0.13529307942668389","58.04147761322352","4.400501810516938E-2","3.6047043567088263E-3"
"24","3   05/18/2020","0.46504367668701757","2462.4622046071308","860.35288123251803","44.09503373081256","7087.2050202208111","9.3112679216893888","-0.10049159996267501","-0.60398234596270439","900.91417762452397","2038.706101048361","0.99953020981366558","8.047591197800999E-2","0.17731382416488237",0.308425751261709,"308.42575126170863",0.0201545057950369,"20.154505795036929","6.6873084888737971E-2","0.14447400401740992","0.8260982920489004","23.1595969180106","3.4209605461052998E-2","0.12570917931953995","13.27933587168793","-7.488153614777943E-3","4.8431459737870173E-5","5.8611612736909225E-3","0.14330250491495863","14.010030858676071","0.11996341415561176","4.1220143868926137E-3"
