ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),,54Fe (STDR),,55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),,Y (ppb),,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2020 - 19,0.4,"2,012.2",796.1,38.4,"5,567.4",11.0,1.5,-1.3,"1,387.4","1,646.4",1.1,0.2,0.2,0.5355,535.5,0.1202,120.2,0.2,0.1,0.4,2.7,0.2,0.3,11.9,0.1,0.0,0.0,0.3,27.0,0.4,0.0
10/01/2020 - 20,0.4,"2,010.8",775.9,16.5,"5,440.2",3.9,1.6,-1.4,"1,370.5","1,592.9",0.7,0.1,0.1,0.0816,81.6,0.0106,10.6,0.0,0.2,1.5,9.0,0.1,0.2,11.6,0.1,0.0,0.0,0.2,27.3,0.4,0.0
10/01/2020 - 21,0.3,"1,984.4",789.4,35.4,"5,488.6",11.7,1.3,-1.6,"1,361.2","1,628.0",1.0,0.2,0.1,0.5261,526.1,0.1208,120.8,0.2,0.1,0.2,1.0,0.2,0.1,11.7,0.1,0.0,0.0,0.1,26.5,0.3,0.0
10/01/2020 - 22,0.4,"2,029.5",791.7,17.1,"5,586.1",2.8,1.2,-1.5,"1,381.4","1,602.1",0.7,0.1,0.1,0.0467,46.7,0.0047,4.7,0.0,0.1,0.4,9.8,0.1,0.2,11.7,0.0,0.0,0.0,0.1,28.0,0.5,0.0
10/01/2020 - 23,0.3,"1,969.3",801.5,26.7,"5,492.0",13.8,1.3,-1.7,"1,362.4","1,793.2",0.7,0.1,0.2,1.6063,"1,606.3",0.9142,914.2,1.5,0.3,0.2,2.2,0.2,0.3,12.7,0.1,0.1,0.0,0.1,51.5,0.3,0.0
10/01/2020 - 24,0.3,"2,013.3",806.9,30.7,"5,544.6",2.7,1.5,-1.6,"1,386.0","1,775.9",0.6,0.1,0.2,0.7456,745.6,0.7301,730.1,1.1,0.1,0.2,8.7,0.1,0.2,12.7,0.1,0.0,0.0,0.1,47.8,0.4,0.0
10/01/2020 - 25,0.2,"1,992.0",824.9,21.8,"6,337.3",13.7,1.3,-1.9,"1,412.9","2,104.0",0.7,0.2,0.1,18.3357,"18,335.7",1.3125,"1,312.5",2.0,0.2,0.2,1.0,0.3,0.3,15.0,0.3,0.2,0.0,0.1,79.6,0.3,0.0
10/01/2020 - 26,0.2,"2,022.7",829.9,23.9,"6,462.3",3.0,1.1,-1.8,"1,448.8","2,197.8",0.6,0.1,0.1,21.1432,"21,143.2",1.3804,"1,380.4",2.0,0.2,0.2,10.6,0.3,0.3,15.8,0.3,0.1,0.0,0.1,85.7,0.3,0.0
