ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),,54Fe (STDR),,55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),,Y (ppb),,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020 - 1,0.4,"2,294.9",821.9,39.0,"6,252.8",22.4,1.7,1.2,"1,176.7","1,782.3",1.3,0.4,0.2,0.4035,403.5,0.0176,17.6,0.1,0.2,1.0,10.8,0.1,0.2,11.9,0.1,0.0,0.0,0.1,14.9,0.4,0.0
08/03/2020 - 2,0.4,"2,354.3",759.7,28.0,"6,254.0",6.4,1.5,1.2,"1,191.3","1,610.8",1.0,0.3,0.3,0.2224,222.4,0.0037,3.7,0.1,0.2,1.5,14.2,0.1,0.3,10.8,0.0,0.0,0.0,0.1,14.1,0.4,0.0
08/03/2020 - 3,0.4,"2,431.2",905.1,44.2,"6,760.5",20.2,1.5,1.1,"1,189.8","1,993.4",1.4,0.4,0.2,0.6377,637.7,0.0249,24.9,0.1,0.1,0.8,8.5,0.1,0.3,13.4,0.1,0.0,0.0,0.1,20.2,0.4,0.0
08/03/2020 - 4,0.4,"2,438.5",886.4,26.3,"6,719.1",6.2,1.5,1.1,"1,185.3","1,949.4",1.0,0.3,0.2,0.2958,295.8,0.0041,4.1,0.0,0.1,0.8,15.2,0.1,0.3,13.3,0.0,0.0,0.0,0.1,19.6,0.4,0.0
08/03/2020 - 5,0.5,"2,497.9","1,097.1",28.8,"6,884.7",24.8,2.1,1.3,"1,094.9","2,759.0",1.2,0.2,0.2,0.6671,667.1,0.4490,449.0,0.7,0.2,1.3,9.4,0.1,0.3,19.2,0.0,0.0,0.0,0.1,50.5,0.3,0.0
08/03/2020 - 6,0.4,"2,504.5","1,094.1",18.3,"6,826.9",3.5,1.9,1.2,"1,091.6","2,761.9",1.0,0.1,0.2,0.1222,122.2,0.4203,420.3,0.6,0.2,0.7,17.4,0.1,0.3,19.4,0.0,0.0,0.0,0.1,48.0,0.3,0.0
08/03/2020 - 7,0.4,"2,729.8","1,149.4",26.2,"7,742.3",22.1,1.6,1.2,"1,213.2","2,952.9",1.2,0.2,0.1,2.3138,"2,313.8",1.0550,"1,055.0",2.6,0.2,0.7,9.3,0.1,0.4,20.3,0.1,0.0,0.0,0.0,37.3,0.3,0.0
08/03/2020 - 8,0.4,"2,750.8","1,151.2",14.3,"7,729.0",1.0,1.5,1.3,"1,226.4","2,975.6",1.0,0.1,0.1,0.6049,604.9,1.0388,"1,038.8",2.5,0.2,0.4,35.0,0.1,0.4,20.1,0.0,0.0,0.0,0.0,36.3,0.3,0.0
