Reservoir,Transect,DateTime,Sed_turb,Surf_turb,Flag_sed_turb,Flag_surf_turb
FCR,T1,2017-05-15,6.37E-08,2.16E-10,0,0
FCR,T1,2017-05-22,2.12E-08,1.27E-10,0,0
FCR,T1,2017-05-29,8.91E-08,2.67E-06,0,0
FCR,T1,2017-06-05,6.17E-08,2.05E-06,0,0
FCR,T1,2017-06-12,3.23E-08,6.29E-08,0,0
FCR,T1,2017-06-19,1.32E-08,5.89E-06,0,0
FCR,T1,2017-06-26,1.27E-08,6.58E-06,0,0
FCR,T1,2017-07-03,1.24E-07,7.08E-07,0,0
FCR,T1,2017-07-10,1.69E-07,3.13E-06,0,0
FCR,T1,2017-07-17,6.32E-08,2.58E-06,0,0
FCR,T1,2017-07-24,1.07E-07,1.78E-06,0,0
FCR,T1,2017-07-31,5.96E-06,1.90E-05,0,0
FCR,T1,2017-08-07,9.97E-07,2.40E-07,0,0
FCR,T1,2017-08-14,2.08E-07,2.28E-06,0,0
FCR,T1,2017-08-22,8.45E-06,2.30E-06,0,0
FCR,T1,2017-09-04,1.67E-05,2.31E-06,0,0
FCR,T1,2017-09-11,5.74E-07,1.32E-05,0,0
FCR,T1,2017-09-18,1.29E-06,7.74E-06,0,0
FCR,T1,2017-09-25,1.56E-07,3.52E-05,0,0
FCR,T1,2017-10-02,3.40E-06,1.78E-05,0,0
FCR,T1,2017-10-09,1.66E-07,4.27E-08,0,0
FCR,T1,2017-10-16,1.15E-07,2.14E-08,0,0
FCR,T1,2017-10-23,6.38E-08,1.96E-10,0,0
FCR,T2,2017-05-15,3.28E-11,6.58E-08,0,0
FCR,T2,2017-05-22,3.27E-11,1.21E-07,0,0
FCR,T2,2017-05-29,1.86E-13,2.93E-06,0,0
FCR,T2,2017-06-05,1.03E-10,2.12E-06,0,0
FCR,T2,2017-06-12,2.45E-11,1.20E-06,0,0
FCR,T2,2017-06-19,3.06E-11,4.29E-06,0,0
FCR,T2,2017-06-26,2.67E-11,2.74E-06,0,0
FCR,T2,2017-07-03,2.37E-11,2.04E-06,0,0
FCR,T2,2017-07-10,4.60E-11,7.64E-07,0,0
FCR,T2,2017-07-17,5.09E-11,1.33E-06,0,0
FCR,T2,2017-07-24,2.23E-12,1.72E-07,0,0
FCR,T2,2017-07-31,1.84E-11,1.07E-05,0,0
FCR,T2,2017-08-07,2.05E-11,1.21E-06,0,0
FCR,T2,2017-08-14,1.35E-11,1.93E-06,0,0
FCR,T2,2017-08-22,2.85E-10,8.44E-07,0,0
FCR,T2,2017-09-04,9.59E-11,7.82E-06,0,0
FCR,T2,2017-09-11,1.57E-10,7.82E-06,0,0
