Reservoir,Site,Transect,DateTime,Depth_m,Ebu_rate,Diff_rate,Flag_depth,Flag_ebu,Flag_diff
FCR,s3,NT,2015-05-25,1,9.7701,NA,0,0,1
FCR,s3,NT,2015-05-25,1,9.9979,NA,0,0,1
FCR,s3,NT,2015-05-25,1,11.4325,NA,0,0,1
FCR,s3,NT,2015-05-25,1,12.3068,NA,0,0,1
FCR,s3,NT,2015-06-01,1,15.4420,NA,0,0,1
FCR,s3,NT,2015-06-01,1,16.3196,NA,0,0,1
FCR,s3,NT,2015-06-01,1,18.8989,NA,0,0,1
FCR,s3,NT,2015-06-01,1,23.0998,NA,0,0,1
FCR,s3,NT,2015-06-01,1,23.3028,NA,0,0,1
FCR,s3,NT,2015-06-01,1,23.6829,NA,0,0,1
FCR,s3,NT,2015-06-08,1,21.2626,NA,0,0,1
FCR,s3,NT,2015-06-08,1,24.6830,NA,0,0,1
FCR,s3,NT,2015-06-08,1,25.0494,NA,0,0,1
FCR,s3,NT,2015-06-08,1,27.2069,NA,0,0,1
FCR,s3,NT,2015-06-08,1,27.3178,NA,0,0,1
FCR,s3,NT,2015-06-08,1,29.0113,NA,0,0,1
FCR,s3,NT,2015-06-08,1,30.4963,NA,0,0,1
FCR,s3,NT,2015-06-08,1,32.3026,NA,0,0,1
FCR,s3,NT,2015-06-08,1,32.3710,NA,0,0,1
FCR,s3,NT,2015-06-08,1,33.7417,NA,0,0,1
FCR,s3,NT,2015-06-08,1,37.3132,NA,0,0,1
FCR,s3,NT,2015-06-08,1,38.9786,NA,0,0,1
FCR,s3,NT,2015-06-08,1,41.0798,NA,0,0,1
FCR,s3,NT,2015-06-08,1,53.5938,NA,0,0,1
FCR,s3,NT,2015-06-15,1,36.7747,NA,0,0,1
FCR,s3,NT,2015-06-15,1,47.5951,NA,0,0,1
FCR,s3,NT,2015-06-15,1,54.4108,NA,0,0,1
FCR,s3,NT,2015-06-15,1,58.8133,NA,0,0,1
FCR,s3,NT,2015-06-15,1,16.0047,NA,0,0,1
FCR,s3,NT,2015-06-22,1,73.2326,NA,0,0,1
FCR,s3,NT,2015-06-22,1,74.2281,NA,0,0,1
FCR,s3,NT,2015-06-22,1,77.5005,NA,0,0,1
FCR,s3,NT,2015-06-22,1,88.4036,NA,0,0,1
FCR,s3,NT,2015-06-29,1,49.4494,NA,0,0,1
FCR,s3,NT,2015-06-29,1,68.8390,NA,0,0,1
FCR,s3,NT,2015-06-29,1,81.4145,NA,0,0,1
FCR,s3,NT,2015-06-29,1,82.3284,NA,0,0,1
FCR,s3,NT,2015-07-06,1,50.8266,NA,0,0,1
FCR,s3,NT,2015-07-06,1,52.8561,NA,0,0,1
FCR,s3,NT,2015-07-06,1,51.7126,NA,0,0,1
FCR,s3,NT,2015-07-06,1,63.9721,NA,0,0,1
FCR,s3,NT,2015-07-13,1,36.0429,NA,0,0,1
FCR,s3,NT,2015-07-13,1,66.7593,NA,0,0,1
FCR,s3,NT,2015-07-13,1,79.5893,NA,0,0,1
FCR,s3,NT,2015-07-13,1,88.6079,NA,0,0,1
FCR,s3,NT,2015-07-20,1,32.4607,NA,0,0,1
FCR,s3,NT,2015-07-20,1,35.3473,NA,0,0,1
FCR,s3,NT,2015-07-20,1,63.8741,NA,0,0,1
FCR,s3,NT,2015-07-20,1,79.8094,NA,0,0,1
FCR,s3,NT,2015-07-27,1,61.2670,NA,0,0,1
FCR,s3,NT,2015-07-27,1,93.7615,NA,0,0,1
FCR,s3,NT,2015-07-27,1,85.4292,NA,0,0,1
FCR,s3,NT,2015-07-27,1,61.5853,NA,0,0,1
FCR,s3,NT,2015-08-03,1,71.3833,NA,0,0,1
FCR,s3,NT,2015-08-03,1,47.4140,NA,0,0,1
FCR,s3,NT,2015-08-03,1,45.7060,NA,0,0,1
FCR,s3,NT,2015-08-03,1,44.5239,NA,0,0,1
FCR,s3,NT,2015-08-10,1,48.0052,NA,0,0,1
FCR,s3,NT,2015-08-10,1,78.8291,NA,0,0,1
FCR,s3,NT,2015-08-10,1,71.9290,NA,0,0,1
FCR,s3,NT,2015-08-10,1,55.8031,NA,0,0,1
FCR,s3,NT,2015-08-17,1,71.9844,NA,0,0,1
FCR,s3,NT,2015-08-17,1,69.8749,NA,0,0,1
FCR,s3,NT,2015-08-17,1,76.5372,NA,0,0,1
FCR,s3,NT,2015-08-17,1,50.8037,NA,0,0,1
FCR,s3,NT,2015-08-24,1,20.3089,NA,0,0,1
FCR,s3,NT,2015-08-24,1,13.6171,NA,0,0,1
FCR,s3,NT,2015-08-24,1,39.7308,NA,0,0,1
FCR,s3,NT,2015-08-24,1,19.4895,NA,0,0,1
FCR,s3,NT,2015-08-31,1,22.4851,NA,0,0,1
FCR,s3,NT,2015-08-31,1,24.4389,NA,0,0,1
FCR,s3,NT,2015-08-31,1,33.0330,NA,0,0,1
FCR,s3,NT,2015-08-31,1,47.1937,NA,0,0,1
FCR,s3,NT,2015-09-07,1,60.1170,NA,0,0,1
FCR,s3,NT,2015-09-07,1,55.2725,NA,0,0,1
FCR,s3,NT,2015-09-07,1,43.9881,NA,0,0,1
FCR,s3,NT,2015-09-07,1,19.6381,NA,0,0,1
FCR,s3,NT,2015-09-14,1,14.6089,NA,0,0,1
FCR,s3,NT,2015-09-14,1,5.2773,NA,0,0,1
FCR,s3,NT,2015-09-14,1,10.4900,NA,0,0,1
FCR,s3,NT,2015-09-14,1,24.9917,NA,0,0,1
FCR,s3,NT,2015-09-21,1,54.6175,NA,0,0,1
FCR,s3,NT,2015-09-21,1,13.0599,NA,0,0,1
FCR,s3,NT,2015-09-21,1,13.4434,NA,0,0,1
FCR,s3,NT,2015-09-21,1,23.8883,NA,0,0,1
FCR,s3,NT,2015-09-21,1,14.0360,NA,0,0,1
FCR,s3,NT,2015-09-28,1,14.4365,NA,0,0,1
FCR,s3,NT,2015-09-28,1,3.3038,NA,0,0,1
FCR,s3,NT,2015-10-05,1,8.2342,NA,0,0,1
FCR,s3,NT,2015-10-05,1,8.5837,NA,0,0,1
FCR,s3,NT,2015-10-05,1,3.6578,NA,0,0,1
FCR,s3,NT,2015-10-05,1,9.8973,NA,0,0,1
FCR,s3,NT,2015-10-19,1,3.5956,NA,0,0,1
FCR,s3,NT,2015-10-19,1,2.7345,NA,0,0,1
FCR,s3,NT,2015-10-19,1,5.3245,NA,0,0,1
FCR,s3,NT,2015-10-19,1,3.2234,NA,0,0,1
FCR,s3,NT,2015-11-09,1,2.3492,NA,0,0,1
FCR,s3,NT,2015-11-09,1,4.2889,NA,0,0,1
FCR,s3,NT,2015-11-09,1,2.0529,NA,0,0,1
FCR,s3,NT,2015-11-09,1,3.0212,NA,0,0,1
FCR,s3,NT,2015-12-07,1,0.9169,NA,0,0,1
FCR,s3,NT,2015-12-07,1,1.1720,NA,0,0,1
FCR,s3,NT,2015-12-07,1,1.5680,NA,0,0,1
FCR,s3,NT,2016-03-30,1,1.1403,NA,0,0,1
FCR,s3,NT,2016-03-30,1,0.7971,NA,0,0,1
FCR,s3,NT,2016-03-30,1,12.1395,NA,0,0,1
FCR,s3,NT,2016-03-30,1,8.8769,NA,0,0,1
FCR,s3,NT,2016-04-11,1,2.3098,NA,0,0,1
FCR,s3,NT,2016-04-11,1,3.5653,NA,0,0,1
FCR,s3,NT,2016-04-11,1,4.2582,NA,0,0,1
FCR,s3,NT,2016-04-11,1,4.4720,NA,0,0,1
FCR,s3,NT,2016-04-25,1,8.5273,NA,0,0,1
FCR,s3,NT,2016-04-25,1,5.9530,NA,0,0,1
FCR,s3,NT,2016-04-25,1,10.5332,NA,0,0,1
FCR,s3,NT,2016-04-25,1,10.6026,NA,0,0,1
FCR,s3,NT,2016-05-02,1,16.8231,NA,0,0,1
FCR,s3,NT,2016-05-02,1,13.9418,NA,0,0,1
FCR,s3,NT,2016-05-02,1,26.5160,NA,0,0,1
FCR,s3,NT,2016-05-02,1,26.8999,NA,0,0,1
