Initials,DateFiltered,FilterID,PanMass_g,FilterMassPre_g,FilterMassPost_g,FilterVol_L,VolDiscarded_L,SedMass_g,Duration_days,Notes,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_4m_R1_F1_24Apr23,1.019,0.112,0.128,0.162,1.120,0.016,14,large chunks of rust in bottle,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_4m_R1_F2_24Apr23,1.024,0.112,0.132,0.16,1.120,0.02,14,,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_4m_R1_F3_24Apr23,1.019,0.112,0.131,0.142,1.120,0.019,14,,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_4m_R1_F4_24Apr23,1.034,0.111,0.128,0.14,1.120,0.017,14,,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_4m_R2_F1_24Apr23,1.005,0.112,0.122,0.302,0.840,0.01,14,,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_4m_R2_F2_24Apr23,1.008,0.112,0.121,0.198,0.840,0.009,14,,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_4m_R2_F3_24Apr23,1.003,0.111,0.120,0.2,0.840,0.009,14,,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_4m_R2_F4_24Apr23,0.988,0.112,0.143,0.2,0.840,0.031,14,,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_8m_R1_F1_24Apr23,0.995,0.112,0.126,0.1,1.310,0.014,14,large chunks of rust in bottle,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_8m_R1_F2_24Apr23,0.985,0.111,0.126,0.102,1.310,0.015,14,,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_8m_R1_F3_24Apr23,0.995,0.112,0.125,0.1,1.310,0.013,14,,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_8m_R1_F4_24Apr23,1.022,0.112,0.126,0.102,1.310,0.014,14,,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_8m_R2_F1_24Apr23,1.017,0.112,0.118,0.1,1.290,0.006,14,,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_8m_R2_F2_24Apr23,0.986,0.112,0.119,0.1,1.290,0.007,14,,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_8m_R2_F3_24Apr23,1.009,0.112,0.119,0.1,1.290,0.007,14,,,,,,,,,,,,,,,,,
CEW,25Apr23,B_sed_8m_R2_F4_24Apr23,1.02,0.113,0.120,0.1,1.290,0.007,14,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_4m_R1_F1_01May23,1.015,0.112,0.121,0.2,1.060,0.009,21,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_4m_R1_F2_01May23,1.032,0.112,0.121,0.2,1.060,0.009,21,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_4m_R1_F3_01May23,1.028,0.112,0.12,0.182,1.060,0.008,21,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_4m_R1_F4_01May23,1.029,0.113,0.12,0.18,1.060,0.007,21,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_4m_R2_F1_01May23,1.027,0.112,0.121,0.182,1.090,0.009,21,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_4m_R2_F2_01May23,1,0.112,0.12,0.178,1.090,0.008,21,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_4m_R2_F3_01May23,1.007,0.113,0.123,0.182,1.090,0.01,21,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_4m_R2_F4_01May23,0.991,0.112,0.12,0.184,1.090,0.008,21,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_8m_R1_F1_01May23,1.009,0.111,0.118,0.1,1.390,0.007,21,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_8m_R1_F2_01May23,1.011,0.111,0.12,0.102,1.390,0.009,21,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_8m_R1_F3_01May23,1.013,0.111,0.118,0.106,1.390,0.007,21,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_8m_R1_F4_01May23,1.013,0.112,0.12,0.1,1.390,0.008,21,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_8m_R2_F1_01May23,1.009,0.111,0.118,0.1,1.350,0.007,21,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_8m_R2_F2_01May23,1.015,0.113,0.12,0.1,1.350,0.007,21,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_8m_R2_F3_01May23,0.973,0.112,0.12,0.102,1.350,0.008,21,,,,,,,,,,,,,,,,,
CEW,04May23,F_sed_8m_R2_F4_01May23,0.974,0.111,0.117,0.1,1.350,0.006,21,,,,,,,,,,,,,,,,,
CEW,18May23,F_sed_4m_R1_F1_08May23,0.989,0.112,0.118,0.15,0.890,0.006,7,"filtered a week late because CEW was out of town, some ice in bottle",,,,,,,,,,,,,,,,
CEW,18May23,F_sed_4m_R1_F2_08May23,0.985,0.112,0.118,0.18,0.890,0.006,7,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,F_sed_4m_R1_F3_08May23,1.018,0.112,0.117,0.2,0.890,0.005,7,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,F_sed_4m_R1_F4_08May23,1.011,0.113,0.12,0.198,0.890,0.007,7,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,F_sed_4m_R2_F1_08May23,1.018,0.112,0.117,0.2,0.905,0.005,7,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,F_sed_4m_R2_F2_08May23,1.022,0.111,0.118,0.204,0.905,0.007,7,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,F_sed_4m_R2_F3_08May23,1.022,0.113,0.121,0.202,0.905,0.008,7,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,F_sed_4m_R2_F4_08May23,1.024,0.111,0.12,0.204,0.905,0.009,7,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,F_sed_8m_R1_F1_08May23,1.025,0.111,0.118,0.15,1.090,0.007,7,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,F_sed_8m_R1_F2_08May23,1.008,0.112,0.121,0.15,1.090,0.009,7,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,F_sed_8m_R1_F3_08May23,1.018,0.113,0.118,0.148,1.090,0.005,7,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,F_sed_8m_R1_F4_08May23,1.012,0.113,0.12,0.148,1.090,0.007,7,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,F_sed_8m_R2_F1_08May23,1.006,0.113,0.12,0.16,1.030,0.007,7,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,F_sed_8m_R2_F2_08May23,1.012,0.111,0.12,0.162,1.030,0.009,7,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,F_sed_8m_R2_F3_08May23,1.015,0.111,0.121,0.16,1.030,0.01,7,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,F_sed_8m_R2_F4_08May23,1.008,0.111,0.119,0.158,1.030,0.008,7,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,B_sed_4m_R1_F1_08May22,1.022,0.111,0.121,0.25,0.785,0.01,14,"filtered a week late because CEW was out of town, some ice in bottle, large rust chunks in bottle",,,,,,,,,,,,,,,,
CEW,18May23,B_sed_4m_R1_F2_08May23,1.018,0.112,0.125,0.252,0.785,0.013,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,B_sed_4m_R1_F3_08May23,1.01,0.111,0.127,0.25,0.785,0.016,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,B_sed_4m_R1_F4_08May23,1.023,0.112,0.128,0.25,0.785,0.016,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,B_sed_4m_R2_F1_08May23,1.006,0.112,0.121,0.252,0.800,0.009,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,B_sed_4m_R2_F2_08May23,1.005,0.112,0.121,0.25,0.800,0.009,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,B_sed_4m_R2_F3_08May23,1.008,0.112,0.125,0.248,0.800,0.013,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,B_sed_4m_R2_F4_08May23,1.009,0.113,0.123,0.25,0.800,0.01,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,B_sed_8m_R1_F1_08May23,1.006,0.113,0.121,0.1,1.370,0.008,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,B_sed_8m_R1_F2_08May23,0.991,0.113,0.124,0.104,1.370,0.011,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,B_sed_8m_R1_F3_08May23,0.985,0.111,0.12,0.098,1.370,0.009,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,B_sed_8m_R1_F4_08May23,1.018,0.11,0.12,0.1,1.370,0.01,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,B_sed_8m_R2_F1_08May23,0.999,0.111,0.12,0.102,1.330,0.009,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,B_sed_8m_R2_F2_08May23,1.015,0.111,0.122,0.102,1.330,0.011,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,B_sed_8m_R2_F3_08May23,0.988,0.112,0.122,0.098,1.330,0.01,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW,18May23,B_sed_8m_R2_F4_08May23,1.004,0.113,0.124,0.1,1.330,0.011,14,filtered a week late because CEW was out of town,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_4m_R1_F1_22May23,0.982,0.112,0.119,0.198,1.000,0.007,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_4m_R1_F2_22May23,1.001,0.113,0.12,0.222,1.000,0.007,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_4m_R1_F3_22May23,0.978,0.112,0.119,0.198,1.000,0.007,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_4m_R1_F4_22May23,1.003,0.11,0.117,0.192,1.000,0.007,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_4m_R2_F1_22May23,1.01,0.111,0.119,0.19,1.030,0.008,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_4m_R2_F2_22May23,1.004,0.112,0.119,0.192,1.030,0.007,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_4m_R2_F3_22May23,1.006,0.111,0.12,0.202,1.030,0.009,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_4m_R2_F4_22May23,0.988,0.112,0.119,0.198,1.030,0.007,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_8m_R1_F1_22May23,1.017,0.112,0.122,0.152,1.210,0.01,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_8m_R1_F2_22May23,1.01,0.111,0.122,0.15,1.210,0.011,14,,,,,,,,,,,,,,,,,
