Pic_File_Name,DateTime,GageHeight_cm,Notes,VT_Pressure_psia
10_Jun_19,6/10/2019 11:15,22.5,NA,0.409
24_Jun_19,6/24/2019 13:00,15,NA,0.296
R_Script,6/27/2019 15:45,14.9,NA,0.291
8_Jul_19,7/8/2019 13:45,12,NA,0.253
22_Jul_19,7/22/2019 14:15,10,NA,0.232
12_Aug_19,8/12/2019 13:30,12.5,NA,0.256
28_Aug_19,8/28/2019 16:30,10,NA,0.221
27_Sep_19,9/27/2019 15:00,8,NA,0.196
30_Oct_19,10/30/2019 13:00,9,NA,0.222
6_Dec_19,12/6/2019 12:30,13.5,Weir_obstructed_by_leaves_and_branches,0.225
29_Feb_20,2/29/2020 11:30,10.5,NA,0.23
24_Mar_20,3/24/2020 12:45,10.5,No_time_associated_with_picture,0.241
30_Mar_20,3/30/2020 17:30,10.5,NA,0.24
20_Apr_20,4/20/2020 14:00,25,Noted_erosion_on_side_of_weir_Obstructed_by_branches_No_time_associated_with_picture,0.431
22_Apr_20,4/22/2020 12:30,22.2,Erosion_on_side_of_weir_Shored_up_side_of_weir,0.395
11_May_20,5/11/2020 15:00,21,NA,0.382
18_May_20,5/18/2020 12:30,20,No_data_from_WVWA,0.344
25_May_20,5/25/2020 13:45,30,Weir_topped,0.514
12_Jun_20,6/12/2020 13:15,28.5,Weir_topped,0.478
06_Jul_20,7/6/2020 15:15,28,Weir_topped,0.47
10_Aug_20,8/10/2020 12:00,NA,Weir_completely_washed_out_No_water,0.031
13_Aug_20,8/13/2020 12:00,NA,Sensors_removed_from_weir,0
24_Aug_20,8/24/2020 16:00,12,Sensors_Moved_Post_Construction,0.156
02_Sep_20_PreMove,9/2/2020 13:00,14.5,NA,0.199
02_Sep_20_PostMove,9/2/2020 15:00,14.5,Sensors_Moved,0.109
09_Sep_20,9/9/2020 14:15,10,No_time_associated_with_picture,0.053
13_Sep_20,9/13/2020 12:00,10.2,No_time_associated_with_picture,0.056
15_Sep_20,9/15/2020 15:00,10,No_time_associated_with_picture,0.046
16_Sep_20,9/16/2020 16:00,10,No_time_associated_with_picture,0.048
30_Sep_20,9/30/2020 13:30,12.8,No_time_associated_with_picture,0.081
05_Oct_20,10/5/2020 15:45,10,No_time_associated_with_picture,0.043
19_Oct_20,10/19/2020 16:30,10,No_time_associated_with_picture,0.045
02_Nov_20,11/2/2020 13:15,15,NA,0.106
09_Nov_20,11/9/2020 13:15,11.3,No_time_associated_with_picture,0.057
27_Dec_20,12/27/2020 13:15,23,Weir_obstructed_by_branches_No_time_associated_with_picture,0.201
07_Jan_21,1/7/2021 9:00,20,NA,0.179
