Reservoir, Site, DataStream, TIMESTAMP_start, TIMESTAMP_end, start_parameter, end_parameter , flag, update_value, notes
BVR,50,Secchi,4/30/2014 11:50,4/30/2014 12:10,Secchi_m,NA,2,NA,Averaged observations from the same site at the same time
BVR,50,Secchi,7/23/2014 11:50,7/23/2014 12:10,Secchi_m,NA,2,NA,Averaged observations from the same site at the same time
FCR,50,Secchi,10/4/2014 11:50,10/4/2014 12:10,Secchi_m,NA,2,NA,Averaged observations from the same site at the same time
CCR,50,Secchi,8/19/2021 12:15,8/19/2021 12:20,Secchi_m,NA,2,NA,Averaged observations from the same site at the same time
