Site Name,FCR IN FLO
Isco Quantity,Sample Event
Label,Sample Event
Units,SU
Resolution, 0.1 
Significant Digits,0

7/6/2019 2:41:00 PM,0
7/7/2019 2:02:00 AM,0
7/7/2019 1:28:00 PM,0
7/8/2019 1:40:00 AM,0
7/9/2019 2:10:00 AM,0
7/9/2019 2:42:00 PM,0
7/10/2019 4:39:00 AM,0
7/10/2019 7:23:00 PM,0
7/11/2019 11:02:00 AM,0
7/12/2019 12:20:00 AM,0
7/12/2019 2:38:00 PM,0
7/13/2019 7:44:00 AM,0
7/14/2019 2:24:00 AM,0
7/14/2019 10:13:00 PM,0
7/16/2019 8:17:00 AM,0
7/17/2019 4:25:00 AM,0
7/17/2019 11:34:00 PM,0
7/18/2019 5:49:00 PM,0
7/19/2019 11:59:00 AM,0
7/20/2019 9:25:00 AM,0
7/21/2019 8:02:00 AM,0
7/22/2019 1:01:00 AM,0
7/23/2019 5:42:00 AM,0
7/23/2019 1:03:00 PM,0
7/23/2019 11:28:00 PM,0
7/24/2019 1:13:00 PM,0
7/25/2019 6:19:00 AM,0
7/26/2019 12:52:00 AM,0
7/26/2019 7:30:00 PM,0
7/27/2019 2:23:00 PM,0
7/28/2019 9:37:00 AM,0
7/29/2019 5:16:00 AM,0
7/30/2019 9:22:00 AM,0
7/31/2019 1:36:00 AM,0
7/31/2019 5:34:00 PM,0
7/31/2019 8:47:00 PM,0
8/1/2019 10:38:00 AM,0
8/1/2019 10:49:00 PM,0
8/2/2019 8:51:00 AM,0
8/3/2019 12:21:00 AM,0
8/3/2019 6:03:00 PM,0
8/4/2019 1:34:00 PM,0
8/5/2019 11:08:00 AM,0
8/6/2019 1:54:00 AM,0
8/6/2019 2:57:00 AM,0
8/6/2019 4:57:00 AM,0
8/6/2019 8:03:00 AM,0
8/6/2019 11:48:00 AM,0
8/6/2019 4:03:00 PM,0
8/6/2019 8:36:00 PM,0
8/7/2019 1:17:00 AM,0
8/7/2019 6:06:00 AM,0
8/7/2019 11:03:00 AM,0
8/7/2019 4:13:00 PM,0
8/7/2019 9:43:00 PM,0
8/8/2019 3:17:00 AM,0
8/8/2019 8:57:00 AM,0
8/8/2019 2:53:00 PM,0
8/8/2019 9:24:00 PM,0
8/9/2019 3:59:00 AM,0
8/9/2019 10:43:00 AM,0
8/9/2019 5:42:00 PM,0
8/10/2019 1:00:00 AM,0
8/10/2019 8:29:00 AM,0
8/10/2019 4:39:00 PM,0
8/11/2019 1:26:00 AM,0
8/11/2019 10:20:00 AM,0
8/11/2019 8:18:00 PM,0
8/12/2019 6:48:00 AM,0
8/13/2019 4:03:00 AM,0
8/13/2019 6:46:00 PM,0
8/14/2019 11:52:00 AM,0
8/15/2019 8:12:00 AM,0
8/15/2019 10:34:00 PM,0
8/16/2019 11:47:00 AM,0
8/17/2019 1:09:00 AM,0
8/17/2019 4:17:00 PM,0
8/18/2019 10:48:00 AM,0
8/19/2019 8:19:00 AM,0
8/20/2019 1:24:00 PM,0
8/21/2019 1:38:00 PM,0
8/22/2019 3:50:00 PM,0
8/23/2019 3:58:00 PM,0
8/23/2019 11:36:00 PM,0
8/24/2019 10:04:00 AM,0
8/25/2019 3:05:00 AM,0
8/25/2019 11:32:00 PM,0
8/26/2019 9:52:00 PM,0
8/27/2019 6:28:00 PM,0
8/28/2019 2:35:00 PM,0
8/29/2019 3:17:00 PM,0
8/30/2019 2:16:00 PM,0
8/31/2019 2:10:00 PM,0
9/1/2019 1:35:00 PM,0
9/2/2019 12:54:00 PM,0
9/3/2019 5:25:00 PM,0
9/4/2019 10:30:00 PM,0
9/6/2019 3:24:00 AM,0
9/7/2019 8:37:00 AM,0
9/8/2019 2:23:00 PM,0
9/9/2019 9:37:00 PM,0
9/11/2019 3:51:00 AM,0
9/11/2019 1:31:00 PM,0
9/12/2019 6:31:00 AM,0
9/12/2019 9:09:00 PM,0
9/13/2019 1:18:00 PM,0
9/14/2019 3:45:00 AM,0
9/14/2019 6:03:00 PM,0
9/15/2019 8:43:00 AM,0
9/16/2019 12:18:00 AM,0
9/16/2019 3:56:00 PM,0
9/17/2019 9:07:00 AM,0
